N	2gram	Nazirov_Tv_1	Morfolog
1	может быть	5	52
2	и т	3	49
3	таким образом	5	20
4	представляет собой	3	17
5	не может	4	17
6	в этих	2	16
7	могут быть	2	15
8	и в	21	13
9	в этом	6	13
10	так как	3	12
11	перед нами	2	11
12	прежде всего	4	9
13	так и	2	9
14	то же	13	9
15	и не	7	9
16	а не	5	9
17	с другой	3	8
18	а затем	2	8
19	что и	2	8
20	при помощи	2	8
21	в качестве	2	7
22	но если	3	7
23	все же	5	7
24	это не	4	6
25	в том	7	6
26	но не	3	6
27	а в	6	6
28	не менее	6	5
29	и другие	3	5
30	вслед за	2	5
31	далеко не	3	5
32	как бы	17	5
33	один из	4	5
34	то что	8	5
35	или в	2	5
36	потому что	5	5
37	что в	12	4
38	и как	4	4
39	вовсе не	5	4
40	об этом	2	4
41	что его	2	4
42	тем не	2	4
43	на его	3	4
44	не только	7	4
45	как в	8	4
46	так же	3	4
47	как и	12	4
48	хотя и	3	4
49	если в	2	4
50	только что	2	3
51	это уже	5	3
52	том что	11	3
53	но это	5	3
54	ее по	2	3
55	в целом	4	3
56	он не	8	3
57	в первом	2	3
58	но и	3	3
59	для этой	2	3
60	на самом	3	3
61	самом деле	2	3
62	и по	3	3
63	а по	2	3
64	из них	2	3
65	в то	15	3
66	в один	2	3
67	героя и	2	3
68	но в	7	3
69	значит что	2	3
70	в виде	3	2
71	в частности	2	2
72	однако в	2	2
73	хотя бы	5	2
74	та же	4	2
75	точно так	2	2
76	к этому	2	2
77	что он	6	2
78	можно сказать	2	2
79	в в	2	2
80	то в	2	2
81	только в	5	2
82	для него	6	2
83	одной из	4	2
84	герой в	2	2
85	не существует	3	2
86	от других	2	2
87	может не	2	2
88	не означает	2	2
89	того что	3	2
90	уже не	3	2
91	и его	6	2
92	не знает	2	2
93	настоящее время	2	2
94	о том	6	2
95	одна из	2	2
96	сказать что	2	2
