N	2gram	Losev_Vesc_1	Marksizm
1	может быть	16	28
2	и пр	6	25
3	и в	21	19
4	как бы	12	19
5	и не	29	19
6	не может	17	18
7	точки зрения	5	17
8	то же	6	16
9	и его	2	16
10	как мы	4	15
11	в этом	4	15
12	таким образом	8	14
13	в сущности	4	14
14	не только	36	13
15	с точки	3	13
16	в нем	2	11
17	если бы	5	11
18	вовсе не	10	11
19	не в	5	10
20	но и	18	10
21	том что	8	10
22	так и	3	10
23	для него	4	9
24	в основе	3	9
25	языка как	2	9
26	как и	8	9
27	это –	25	9
28	самом деле	4	9
29	а не	19	9
30	слова в	2	8
31	отнюдь не	5	8
32	в то	3	8
33	только в	14	8
34	никогда не	2	7
35	в том	8	7
36	его в	2	7
37	но в	5	7
38	прежде всего	9	7
39	одна из	5	7
40	и для	9	7
41	в смысле	12	6
42	к тому	3	6
43	и как	8	6
44	в свою	4	6
45	того чтобы	3	6
46	в самом	9	6
47	и следовательно	7	6
48	ни было	4	6
49	и все	5	6
50	мы уже	3	6
51	во всех	2	6
52	слова и	5	6
53	если мы	8	6
54	– не	9	6
55	для того	2	6
56	хотя бы	6	6
57	мы можем	4	6
58	свою очередь	4	5
59	– как	7	5
60	слово –	3	5
61	то ни	4	5
62	и здесь	4	5
63	и того	2	5
64	– и	2	5
65	того же	5	5
66	совершенно не	5	5
67	в его	2	5
68	все же	4	5
69	в той	3	5
70	в данном	5	5
71	выражение в	3	5
72	должна быть	4	4
73	тому что	2	4
74	в отношении	4	4
75	это не	5	4
76	на то	4	4
77	той или	2	4
78	то что	27	4
79	и тем	3	4
80	бы то	4	4
81	и их	7	4
82	того что	8	4
83	с ними	3	4
84	сказать что	17	4
85	бы в	5	4
86	переживания и	2	4
87	как раз	9	4
88	– в	5	4
89	к пониманию	3	4
90	было бы	14	4
91	для себя	5	4
92	только на	3	4
93	в слове	2	4
94	и ее	18	4
95	в себе	14	4
96	ничего не	3	4
97	перед нами	2	3
98	с другой	6	3
99	она является	3	3
100	и от	3	3
101	да и	3	3
102	в этой	3	3
103	– с	2	3
104	одной стороны	3	3
105	в ней	12	3
106	в котором	3	3
107	его и	2	3
108	а в	4	3
109	с этим	3	3
110	с одной	3	3
111	что оно	8	3
112	все эти	3	3
113	в другом	2	3
114	должно быть	6	3
115	и формы	2	3
116	чем же	3	3
117	но ведь	2	3
118	о том	6	3
119	так как	7	3
120	оно может	2	3
121	слово в	2	3
122	по себе	13	3
123	это мышление	2	3
124	в ее	7	3
125	у нас	7	3
126	одно и	5	3
127	еще не	8	3
128	относится к	5	3
129	и выражения	2	3
130	что и	3	3
131	не есть	49	3
132	не будет	12	3
133	в своей	5	3
134	мысли и	3	3
135	только что	2	3
136	слово и	4	3
137	той же	2	3
138	с другими	8	3
139	и то	10	3
140	во всяком	3	3
141	и это	14	3
142	и реального	2	2
143	независимо от	5	2
144	что в	9	2
145	что это	13	2
146	иное как	7	2
147	в собственном	2	2
148	они –	2	2
149	что они	6	2
150	понимания и	3	2
151	но что	2	2
152	общения и	2	2
153	и у	3	2
154	всяком случае	2	2
155	быть понято	2	2
156	другими словами	5	2
157	жизни и	2	2
158	себя самого	2	2
159	в своем	6	2
160	и даже	6	2
161	но для	2	2
162	и с	8	2
163	по крайней	4	2
164	даже и	4	2
165	понимание в	2	2
166	это будет	3	2
167	или как	2	2
168	от этого	2	2
169	у него	2	2
170	в жизни	3	2
171	стороны и	2	2
172	не с	7	2
173	различие между	2	2
174	– то	2	2
175	но не	5	2
176	мы возьмем	2	2
177	ли это	7	2
178	и о	3	2
179	и потому	5	2
180	должен быть	2	2
181	крайней мере	4	2
182	себя в	10	2
183	собственном смысле	3	2
184	а с	3	2
185	еще более	2	2
186	сводится к	2	2
187	– мы	2	2
188	что не	5	2
189	должны быть	4	2
190	и эта	3	2
191	между ними	3	2
192	мы не	6	2
193	или в	2	2
194	свидетельствует о	3	2
195	то мы	2	2
196	тем что	2	2
197	является в	2	2
198	себя с	5	2
199	только с	3	2
