N	2gram	Vinokur_Ku_2	Sovremen
1	не может	9	17
2	точки зрения	14	12
3	может быть	15	12
4	таким образом	5	11
5	в этом	18	7
6	и в	23	7
7	и не	16	6
8	как и	2	6
9	в результате	4	6
10	ничего не	4	6
11	что же	5	5
12	прежде всего	8	5
13	все эти	12	5
14	с точки	8	5
15	как бы	4	4
16	мы видели	2	4
17	если мы	4	4
18	вместе с	5	4
19	в зависимости	4	4
20	это не	6	4
21	а в	3	4
22	вопрос о	9	4
23	не только	20	4
24	с помощью	7	4
25	в том	19	4
26	мы должны	2	4
27	зависимости от	5	4
28	так как	15	4
29	уже в	3	3
30	все же	7	3
31	на этой	4	3
32	отнюдь не	4	3
33	все это	5	3
34	отличается от	3	3
35	в конце	4	3
36	то же	6	3
37	ясно что	5	3
38	в нем	4	3
39	а не	10	3
40	для нас	4	3
41	у нас	12	3
42	не в	8	3
43	в этой	6	3
44	так называемых	2	3
45	еще не	5	3
46	при этом	2	3
47	было бы	15	3
48	и все	2	3
49	к действию	2	3
50	в области	11	3
51	что она	3	3
52	но в	11	3
53	и потому	2	3
54	совершенно не	3	2
55	не могут	5	2
56	что это	7	2
57	не менее	7	2
58	и есть	2	2
59	у него	3	2
60	в нашем	7	2
61	приводит к	5	2
62	то и	3	2
63	в отличие	2	2
64	тем же	2	2
65	или же	2	2
66	о значении	2	2
67	что все	5	2
68	с одной	2	2
69	как мы	3	2
70	уже не	8	2
71	в свою	2	2
72	самом деле	9	2
73	и что	8	2
74	роль в	2	2
75	первый период	2	2
76	и пр	8	2
77	мы с	2	2
78	из которых	3	2
79	что такое	3	2
80	говорим о	2	2
81	на этот	2	2
82	и даже	2	2
83	дает нам	2	2
84	и по	3	2
85	тем не	6	2
86	мы знаем	4	2
87	той же	2	2
88	но все	4	2
89	во всяком	5	2
90	свою очередь	2	2
91	на этом	3	2
92	в живом	2	2
93	знаем что	3	2
94	а на	2	2
95	могут быть	4	2
96	с этим	3	2
97	что в	10	2
98	говорить о	4	2
99	тот же	5	2
100	в самом	12	2
101	отличие от	2	2
102	в его	5	2
103	всяком случае	5	2
