N	2gram	Bakhtin_KF_1	RusskieA
1	и в	24	29
2	что в	4	22
3	том что	4	22
4	в том	6	22
5	как бы	9	18
6	может быть	45	13
7	как и	5	11
8	в этом	14	11
9	все это	10	10
10	не только	5	10
11	о том	3	9
12	а в	4	9
13	но и	9	8
14	его в	5	8
15	как в	2	7
16	с тем	2	6
17	мы не	3	6
18	еще не	4	6
19	для того	3	6
20	для нас	4	6
21	при этом	4	6
22	того чтобы	2	6
23	и на	3	6
24	в данном	2	6
25	мы имеем	5	6
26	потому что	2	5
27	это не	10	5
28	к этому	2	5
29	то что	7	5
30	но не	12	5
31	для этого	2	5
32	не может	27	5
33	но в	5	5
34	именно в	5	4
35	и все	7	4
36	тогда когда	3	4
37	вопрос о	2	4
38	уже не	7	4
39	не в	12	4
40	к нему	12	4
41	то же	5	4
42	а не	17	4
43	в виде	2	4
44	тем что	3	3
45	в качестве	2	3
46	и других	2	3
47	для этой	3	3
48	в ее	16	3
49	и под	2	3
50	до конца	3	3
51	того что	3	3
52	было бы	8	3
53	в котором	24	3
54	не имеет	5	3
55	во всех	11	3
56	все эти	10	3
57	между тем	4	3
58	в этой	2	3
59	что это	3	3
60	не менее	3	2
61	могут быть	3	2
62	никогда не	5	2
63	жизни в	5	2
64	ее и	6	2
65	прежде всего	2	2
66	что и	7	2
67	под ним	2	2
68	это и	2	2
69	и как	2	2
70	совсем не	2	2
71	только как	4	2
72	и пр	3	2
73	совершенно не	6	2
74	нечто вроде	2	2
75	тем не	2	2
76	вокруг него	2	2
77	в него	2	2
78	в виду	3	2
79	как оно	2	2
80	один из	2	2
81	должен быть	7	2
82	все же	5	2
83	в своей	10	2
84	дело не	2	2
85	в их	8	2
86	но можно	4	2
87	а с	2	2
88	не было	8	2
89	на самом	3	2
90	там где	5	2
91	здесь мы	4	2
92	мы здесь	2	2
93	из которых	2	2
94	и для	9	2
95	должно быть	6	2
96	жизнь и	2	2
97	быть только	8	2
98	в своих	3	2
99	и то	2	2
100	людей и	2	2
101	в момент	3	2
102	и ее	2	2
103	во всем	7	2
104	в то	3	2
105	та же	2	2
