N	2gram	Bakhtin_fo_2	OGranits
1	и в	46	13
2	и его	12	12
3	прежде всего	14	9
4	не может	2	8
5	и не	9	8
6	может быть	7	8
7	и их	4	7
8	и т.п	2	7
9	точки зрения	10	7
10	и пр	2	7
11	в его	8	7
12	таким образом	3	6
13	не только	11	6
14	то что	7	6
15	только в	11	6
16	как бы	10	6
17	все же	6	5
18	с точки	8	5
19	в поэзии	2	5
20	и наконец	6	5
21	то же	8	4
22	не является	3	4
23	все это	6	4
24	в двух	2	4
25	лишь в	2	4
26	было бы	2	4
27	но в	10	4
28	что в	5	3
29	никогда не	6	3
30	но и	9	3
31	так и	7	3
32	в их	3	3
33	и все	6	3
34	в одном	7	3
35	здесь мы	3	3
36	тела и	5	3
37	как и	8	3
38	не в	9	3
39	в пределах	5	3
40	в себе	4	3
41	говорить о	2	3
42	с этим	5	3
43	и для	9	3
44	так как	6	3
45	и др	5	2
46	уже в	4	2
47	с этой	4	2
48	в нем	5	2
49	ее в	3	2
50	связанных с	3	2
51	а не	4	2
52	в этот	3	2
53	в отношении	2	2
54	во времени	3	2
55	с другой	2	2
56	не на	3	2
57	в них	7	2
58	в связи	8	2
59	и должно	2	2
60	а в	3	2
61	с одной	2	2
62	все эти	5	2
63	вовсе не	13	2
64	те же	6	2
65	роль в	3	2
66	с телом	2	2
67	к тому	3	2
68	и к	2	2
69	как в	4	2
70	в том	10	2
71	наконец в	2	2
72	так же	2	2
73	не мог	2	2
74	том что	4	2
75	мы видим	2	2
76	в ряд	9	2
77	с помощью	3	2
78	в данном	2	2
79	что они	4	2
80	в этом	22	2
81	от этого	2	2
82	тем что	3	2
83	могут быть	2	2
84	при этом	6	2
85	смысле слова	2	2
86	связанные с	5	2
87	для него	3	2
88	в другом	3	2
89	тот же	3	2
90	мы уже	9	2
91	слова и	3	2
92	имеет место	3	2
93	там где	2	2
94	а также	3	2
95	и стиль	2	2
96	явлений и	2	2
