N	2gram	Medvedev_U_1	KulturaY
1	в том	2	30
2	и в	14	24
3	том что	2	21
4	было бы	3	15
5	в этом	7	14
6	может быть	6	13
7	все же	3	12
8	таким образом	2	12
9	в его	2	12
10	и не	8	12
11	не в	2	11
12	только в	2	11
13	в самом	2	10
14	у нас	3	10
15	не только	10	10
16	хотя бы	5	10
17	если бы	2	9
18	то что	7	9
19	прежде всего	8	9
20	самом деле	2	9
21	то же	5	8
22	а не	10	8
23	как раз	2	8
24	тем что	2	8
25	с другой	4	7
26	не может	7	7
27	это не	3	7
28	в области	3	7
29	что он	2	6
30	что такое	4	6
31	но и	4	6
32	все это	5	6
33	другой стороны	3	6
34	не случайно	2	6
35	по крайней	2	5
36	крайней мере	2	5
37	но не	2	5
38	этом отношении	2	5
39	между тем	2	5
40	и с	2	5
41	с его	2	4
42	в частности	3	4
43	по существу	2	4
44	что и	2	4
45	не есть	2	4
46	сих пор	2	4
47	до сих	2	4
48	и является	2	4
49	если не	2	3
50	смысле этого	2	3
51	для этого	3	3
52	этом смысле	2	3
53	сводится к	2	3
54	в этой	4	3
55	в противовес	2	3
56	очевидно что	3	3
57	что она	2	3
58	в их	4	3
59	в системе	2	3
60	должна быть	2	3
61	и то	3	3
62	даже и	2	3
63	в себе	2	3
64	не все	2	2
65	только к	3	2
66	о чем	2	2
67	превращается в	2	2
68	что все	2	2
69	не могут	2	2
70	по себе	2	2
71	в то	3	2
72	как и	3	2
73	в сторону	2	2
74	формы в	3	2
75	же время	3	2
76	пришлось бы	3	2
77	конечно не	4	2
78	в своей	3	2
79	одним из	2	2
80	как таковой	2	2
81	бы и	2	2
82	пишет он	2	2
83	и для	2	2
84	этого термина	2	2
85	не столько	2	2
86	на эту	2	2
87	могли бы	2	2
88	ничего не	2	2
89	но в	3	2
90	это было	2	2
