N	2gram	Tiupa_Vved_1	Formalny
1	и в	13	38
2	в этом	21	27
3	может быть	18	23
4	и его	5	21
5	таким образом	4	20
6	и не	12	20
7	в самом	2	16
8	прежде всего	7	15
9	не в	6	15
10	не может	7	14
11	в нем	5	13
12	но и	19	13
13	в пределах	2	12
14	в том	10	11
15	в его	4	10
16	и с	2	9
17	как и	11	9
18	при этом	26	9
19	не только	20	9
20	отнюдь не	7	8
21	язык как	2	8
22	что и	2	8
23	все же	6	8
24	так и	8	8
25	самом деле	3	8
26	тем что	2	8
27	что в	3	7
28	по себе	2	7
29	для него	3	7
30	во втором	2	7
31	в своей	5	7
32	этом отношении	4	7
33	как мы	3	7
34	лишь в	2	7
35	уже не	5	7
36	в первом	2	7
37	не было	2	6
38	в результате	3	6
39	то что	6	6
40	в ней	4	6
41	было бы	4	6
42	то же	5	6
43	а не	15	6
44	как раз	2	6
45	могут быть	4	6
46	он не	3	6
47	только в	6	6
48	а в	6	6
49	должна быть	2	5
50	если бы	7	5
51	же время	3	5
52	в слове	3	5
53	во всех	2	5
54	что же	3	5
55	и для	3	5
56	сводится к	4	5
57	в основе	3	5
58	говорить о	2	5
59	в то	4	5
60	бы в	3	5
61	как о	2	4
62	не столько	4	4
63	не как	2	4
64	на фоне	2	4
65	к этому	2	4
66	к тому	6	4
67	мы видели	2	4
68	не о	2	4
69	как бы	4	4
70	и к	2	4
71	в высшей	2	4
72	как в	4	4
73	другой стороны	2	4
74	и наконец	2	4
75	высшей степени	2	4
76	не следует	3	4
77	здесь не	2	4
78	но в	6	4
79	одного из	3	3
80	а лишь	2	3
81	если в	2	3
82	для них	3	3
83	место в	2	3
84	в какой	4	3
85	с другой	5	3
86	из этих	3	3
87	например в	2	3
88	не является	3	3
89	его с	2	3
90	в целом	3	3
91	жизни и	7	3
92	быть и	2	3
93	исследовательской работы	2	3
94	так в	4	3
95	то и	2	3
96	на самом	4	3
97	того что	6	3
98	мы не	4	3
99	и на	3	3
100	хотя и	7	3
101	однако и	2	3
102	он и	2	3
103	слова в	2	3
104	и все	4	3
105	так сказать	2	3
106	в области	3	3
107	времени и	7	2
108	между двумя	3	2
109	от этих	2	2
110	и более	3	2
111	никогда не	4	2
112	состоит в	10	2
113	в этих	3	2
114	в качестве	8	2
115	перед нами	6	2
116	это не	6	2
117	установкой на	2	2
118	в одной	2	2
119	это время	2	2
120	его смысла	2	2
121	до конца	3	2
122	как его	2	2
123	том что	7	2
124	но это	3	2
125	но не	5	2
126	что на	2	2
127	едва ли	3	2
128	без исключения	2	2
129	в котором	8	2
130	один из	3	2
131	и тем	2	2
132	не к	4	2
133	отношение к	2	2
134	а к	3	2
135	со стороны	5	2
136	приводит к	2	2
137	должны были	2	2
138	в той	4	2
139	тем самым	5	2
140	не имеет	2	2
141	и по	3	2
142	отличие от	2	2
143	их в	2	2
144	и от	2	2
145	в отличие	2	2
146	к его	3	2
147	потому что	5	2
148	с ним	3	2
