N	2gram	Nazirov_Tr_1	Vladivir
1	и в	18	31
2	в году	9	30
3	не только	8	24
4	но и	4	19
5	то что	4	18
6	и не	7	17
7	у него	6	15
8	и даже	4	15
9	он был	2	14
10	том что	4	14
11	что в	4	14
12	в этом	9	14
13	и с	7	14
14	что он	6	12
15	по поводу	2	12
16	в его	3	12
17	но в	6	12
18	с его	2	11
19	в том	2	11
20	потому что	2	11
21	о том	2	11
22	так что	2	10
23	и то	2	10
24	он не	2	10
25	никогда не	2	9
26	в конце	3	9
27	в дальнейшем	5	8
28	в то	5	8
29	уже в	3	7
30	для него	3	7
31	об этом	4	7
32	тут же	2	7
33	и его	6	7
34	как это	3	7
35	он и	2	6
36	и сам	3	6
37	может быть	7	6
38	так и	5	6
39	не может	5	6
40	то же	5	6
41	и что	4	6
42	это был	2	5
43	не был	2	5
44	все это	4	5
45	не в	2	5
46	что и	2	5
47	с ним	3	5
48	я не	4	4
49	же время	6	4
50	в своем	3	4
51	и все	4	4
52	в нем	4	4
53	в себе	4	4
54	как и	5	4
55	и как	3	4
56	в этой	4	4
57	еще в	2	4
58	один из	3	4
59	говорит что	2	4
60	несмотря на	5	4
61	к нему	3	4
62	под влиянием	2	3
63	только к	2	3
64	к тому	2	3
65	в виде	2	3
66	отнюдь не	3	3
67	раз и	2	3
68	первого же	2	3
69	как в	3	3
70	но это	4	3
71	ничего не	2	3
72	все же	5	3
73	в целом	4	3
74	отношение к	2	3
75	все эти	3	3
76	не мог	2	3
77	уже не	2	3
78	и он	3	3
79	жизнь и	3	3
80	что этот	2	3
81	и на	7	3
82	и здесь	2	3
83	отца и	2	3
84	то есть	3	3
85	тем что	2	2
86	он сам	7	2
87	с тем	2	2
88	в частности	2	2
89	что все	2	2
90	и я	2	2
91	о его	2	2
92	ни в	2	2
93	что я	4	2
94	что с	3	2
95	еще не	4	2
96	при этом	3	2
97	в это	2	2
98	в самом	2	2
99	к жизни	5	2
100	и до	2	2
101	что она	2	2
102	то и	2	2
103	с первого	2	2
104	тем самым	3	2
105	году в	2	2
106	и за	2	2
107	времени в	2	2
108	и личность	2	2
109	и это	2	2
