N	2gram	Propp_Russ_1	PoTuStor
1	может быть	8	17
2	и в	36	16
3	и пр	2	12
4	таким образом	6	9
5	в этом	12	9
6	мы можем	2	9
7	и с	2	8
8	точки зрения	3	8
9	не может	4	8
10	не только	22	7
11	и к	3	6
12	с точки	3	6
13	при этом	6	6
14	только для	2	5
15	все эти	2	5
16	еще не	4	5
17	как бы	5	5
18	в нем	2	4
19	и их	4	4
20	отнюдь не	2	4
21	но и	16	4
22	так и	7	4
23	все это	6	4
24	так как	15	4
25	и не	6	4
26	на самом	2	4
27	как мы	10	4
28	с ними	5	4
29	и на	10	4
30	только в	4	4
31	в один	2	4
32	но в	2	4
33	в его	2	4
34	во время	14	3
35	на этой	2	3
36	в этих	3	3
37	что в	19	3
38	во всех	4	3
39	и др	4	3
40	могут быть	2	3
41	вместе с	10	3
42	в большинстве	2	3
43	в одном	3	3
44	большинстве случаев	2	3
45	в том	17	3
46	а в	9	3
47	том что	19	3
48	и как	2	3
49	то что	6	3
50	их в	3	3
51	на этом	3	3
52	только на	3	3
53	как это	8	3
54	в области	3	3
55	в основном	3	3
56	и потому	2	3
57	не менее	3	2
58	один из	8	2
59	что и	7	2
60	как не	2	2
61	в частности	2	2
62	между собой	2	2
63	для этого	2	2
64	в них	6	2
65	находится в	2	2
66	из этих	4	2
67	с этим	2	2
68	в жизни	2	2
69	то же	3	2
70	к этому	4	2
71	и других	7	2
72	мы не	6	2
73	что на	4	2
74	у него	2	2
75	и по	8	2
76	и для	2	2
77	для нас	6	2
78	в этот	10	2
79	как и	10	2
80	мы видим	2	2
81	так же	3	2
82	но это	4	2
83	за счет	2	2
84	не на	2	2
85	не можем	3	2
86	что это	3	2
87	связанные с	3	2
88	о том	8	2
89	с ним	2	2
90	к ним	3	2
91	так называемый	2	2
92	себя и	2	2
