N	2gram	Tiupa_Hudo_1	Literetu
1	не только	16	24
2	при этом	13	19
3	в качестве	24	17
4	но и	10	17
5	а не	9	16
6	в том	18	16
7	в частности	13	15
8	том что	8	14
9	может быть	14	13
10	тогда как	13	13
11	в году	2	13
12	и не	15	12
13	сознания в	3	12
14	в этом	11	12
15	состоит в	16	11
16	прежде всего	4	11
17	в своем	2	11
18	своего рода	5	11
19	такого рода	10	10
20	то что	4	10
21	хх века	2	10
22	в русской	3	10
23	художественного письма	5	9
24	эстетического субъекта	3	9
25	или иначе	4	9
26	художественной деятельности	2	8
27	так или	3	8
28	произведение искусства	8	8
29	не в	7	8
30	в целом	3	8
31	и в	19	8
32	в тексте	9	8
33	только в	5	8
34	как это	5	8
35	не менее	3	7
36	я не	2	7
37	коммуникативного события	2	7
38	в его	9	7
39	как бы	9	7
40	уже не	4	7
41	в себе	9	7
42	я и	7	7
43	в рамках	8	6
44	в жизни	2	6
45	как и	2	6
46	себя в	7	6
47	того что	4	6
48	точки зрения	10	6
49	то есть	18	6
50	эстетического объекта	4	6
51	с его	6	5
52	что он	3	5
53	же время	5	5
54	я в	11	5
55	в конечном	5	5
56	а также	5	5
57	для себя	2	5
58	русской литературе	2	5
59	как в	2	5
60	не может	7	5
61	то же	10	5
62	в отличие	7	5
63	тем самым	4	5
64	в данном	4	5
65	не столько	3	5
66	в то	6	5
67	отличие от	7	5
68	в стихотворении	3	4
69	конечном счете	5	4
70	это не	2	4
71	о себе	2	4
72	эстетической деятельности	2	4
73	представляет собой	10	4
74	и адресата	2	4
75	но не	11	4
76	культуры в	2	4
77	еще не	3	4
78	в формах	2	4
79	и тем	2	4
80	читателя зрителя	3	4
81	литературного произведения	10	4
82	в художественном	4	4
83	по преимуществу	2	4
84	в своей	5	4
85	деятельности в	2	4
86	коммуникативное событие	2	4
87	со стороны	2	4
88	так и	11	4
89	и т.п	4	4
90	никогда не	2	4
91	лирический герой	5	4
92	всего лишь	4	4
93	лишь в	4	4
94	и его	12	4
95	как раз	3	4
96	не как	2	4
97	в этой	2	4
98	в основе	4	3
99	этого текста	2	3
100	в душе	8	3
101	что в	6	3
102	с другой	7	3
103	человеческого я	3	3
104	сводится к	7	3
105	не сводится	5	3
106	субъекта и	3	3
107	зрителя слушателя	3	3
108	одна из	2	3
109	художественного творчества	4	3
110	в культуре	3	3
111	с их	2	3
112	в пределах	3	3
113	например в	3	3
114	в самом	5	3
115	один из	2	3
116	и др	2	3
117	в их	5	3
118	приводит к	5	3
119	по отношению	9	3
120	а в	12	3
121	таким образом	3	3
122	говоря словами	5	3
123	в принципе	5	3
124	эстетический объект	4	3
125	потому что	3	3
126	одно из	2	3
127	но в	7	3
128	по своей	7	3
129	произведения искусства	4	3
130	далеко не	2	3
131	его в	2	3
132	в области	6	3
133	в виду	5	3
134	мира в	2	3
135	во мне	2	2
136	искусства это	2	2
137	я есть	5	2
138	эстетического адресата	2	2
139	искусства как	3	2
140	отнюдь не	2	2
141	однако в	4	2
142	в равной	2	2
143	превращается в	2	2
144	дело не	2	2
145	по мысли	2	2
146	из этих	3	2
147	и весьма	2	2
148	нас самих	2	2
149	в себя	2	2
150	для понимания	2	2
151	в мире	21	2
152	к тому	4	2
153	а только	4	2
154	тем не	3	2
155	и того	2	2
156	в другом	3	2
157	или иной	7	2
158	особого рода	5	2
159	того же	2	2
160	внутреннего я	4	2
161	для него	4	2
162	от своего	2	2
163	объекта и	3	2
164	читателя в	3	2
165	одной стороны	2	2
166	за пределы	2	2
167	виду не	3	2
168	в искусстве	7	2
169	несет в	2	2
170	на почве	3	2
171	даже в	3	2
172	не является	4	2
173	художественности состоит	2	2
174	не могло	2	2
175	в нем	5	2
176	отношению к	9	2
177	могло быть	2	2
178	не на	3	2
179	с одной	2	2
180	все эти	2	2
181	художественного целого	3	2
182	от себя	3	2
183	своей внутренней	2	2
184	для читателя	2	2
185	во втором	4	2
186	с точки	3	2
187	войне и	2	2
188	в слове	3	2
189	художественного впечатления	3	2
190	самим собой	4	2
191	и то	4	2
192	не случайно	3	2
193	между тем	4	2
194	нового времени	2	2
195	могут быть	4	2
196	самим собою	2	2
197	как эстетической	4	2
198	факторов художественного	3	2
199	как правило	2	2
200	о том	2	2
201	текста как	3	2
