N	2gram	Bakhtin_fo_1	Problema
1	то есть	33	39
2	то что	6	38
3	и не	14	37
4	вовсе не	13	37
5	и в	50	35
6	сказать что	3	24
7	не только	9	24
8	том что	4	19
9	может быть	11	18
10	в этом	25	17
11	но и	8	16
12	и вообще	2	16
13	что мы	2	14
14	только в	4	14
15	потому что	4	13
16	во всяком	3	13
17	не может	6	13
18	в том	9	12
19	того что	2	12
20	также и	2	12
21	хотя бы	2	12
22	что в	5	11
23	прежде всего	15	11
24	и даже	2	11
25	в таком	3	11
26	и с	4	10
27	еще не	5	10
28	да и	3	10
29	а не	3	10
30	в данном	2	10
31	и то	4	10
32	ничего не	9	10
33	если мы	2	9
34	для нас	2	9
35	для себя	7	9
36	только на	3	9
37	уже не	2	8
38	было бы	2	8
39	в виду	3	8
40	есть только	2	8
41	значение и	3	8
42	ясно что	2	8
43	по себе	2	8
44	как раз	13	8
45	все же	6	8
46	в конце	9	7
47	совсем не	2	7
48	смысле слова	2	7
49	не является	2	7
50	все эти	9	7
51	не имеет	4	7
52	в его	13	7
53	так и	12	7
54	так как	6	7
55	мы не	3	7
56	с другой	2	6
57	что все	2	6
58	а только	2	6
59	ни в	8	6
60	мы и	4	6
61	не о	2	6
62	был бы	3	6
63	и т	8	6
64	в то	9	6
65	есть не	3	6
66	и для	4	6
67	но в	10	6
68	в частности	6	5
69	это то	2	5
70	или иной	2	5
71	кроме того	4	5
72	в самом	8	5
73	той или	2	5
74	отнюдь не	5	5
75	в связи	5	5
76	с этим	6	5
77	с одной	3	5
78	так же	6	5
79	и на	8	5
80	между собой	4	5
81	и все	6	5
82	раз и	2	5
83	как и	8	5
84	связи с	6	5
85	есть именно	2	5
86	то же	11	5
87	как мы	14	5
88	одной стороны	2	5
89	что не	3	5
90	с другими	3	5
91	в себе	3	5
92	еще и	2	5
93	и это	4	5
94	не могут	3	4
95	в этих	3	4
96	в своем	4	4
97	в отношении	3	4
98	и как	10	4
99	есть в	2	4
100	и следовательно	4	4
101	как бы	2	4
102	значение в	5	4
103	все это	4	4
104	таким образом	11	4
105	всякого рода	2	4
106	а в	3	4
107	вообще не	3	4
108	в результате	6	4
109	их в	3	4
110	именно как	4	4
111	тем что	2	4
112	всех этих	5	4
113	если бы	5	4
114	стороны и	2	4
115	но не	5	4
116	до сих	3	4
117	сих пор	3	4
118	разного рода	2	4
119	в каком	2	4
120	далеко не	2	4
121	слова и	2	4
122	уже в	2	3
123	в нашем	2	3
124	вопрос о	2	3
125	к тому	3	3
126	но эта	3	3
127	с самим	5	3
128	мы еще	3	3
129	хотя и	3	3
130	мы уже	11	3
131	и является	2	3
132	никто не	2	3
133	один из	3	3
134	в целом	2	3
135	и их	8	3
136	в их	6	3
137	не было	7	3
138	только и	5	3
139	при этом	3	3
140	лишь в	6	3
141	и по	2	3
142	не знает	3	3
143	в основе	5	3
144	в истории	2	3
145	мы должны	2	3
146	его в	3	3
147	здесь только	2	3
148	с тем	3	3
149	для них	3	3
150	тогда когда	2	3
151	и к	2	3
152	и того	6	3
153	одна из	2	3
154	не являются	2	3
155	по самому	2	3
156	нет и	2	3
157	оно не	2	3
158	и речи	5	3
159	даже не	2	3
160	оказывается что	2	3
161	всем этим	3	3
162	в значительной	2	3
163	с самого	2	3
164	для того	5	3
165	нас в	3	3
166	быть только	3	3
167	до наших	2	2
168	том числе	4	2
169	самого начала	2	2
170	время и	4	2
171	большую роль	3	2
172	в той	4	2
173	его от	2	2
174	не в	5	2
175	но все	5	2
176	числе и	2	2
177	себе и	3	2
178	и др	9	2
179	друг к	2	2
180	на этой	4	2
181	ни с	2	2
182	можно только	2	2
183	в одно	3	2
184	между этими	4	2
185	или в	3	2
186	этим мы	2	2
187	или не	2	2
188	или как	4	2
189	в ней	4	2
190	же и	2	2
191	точки зрения	5	2
192	во все	2	2
193	нет ничего	4	2
194	в какой-то	3	2
195	для всех	2	2
196	в них	4	2
197	в условиях	7	2
198	об этом	2	2
199	не столь	2	2
200	в качестве	3	2
201	с этими	2	2
202	конечно не	4	2
203	по преимуществу	3	2
204	точном смысле	2	2
205	он не	5	2
206	а также	2	2
207	и времени	3	2
208	что и	3	2
209	во всех	6	2
210	к другу	2	2
211	все другие	2	2
212	вместе с	3	2
213	быть и	2	2
214	и прежде	2	2
215	совершенно не	2	2
216	входит в	3	2
217	еще более	3	2
218	того чтобы	5	2
219	время не	2	2
220	той же	2	2
221	роль в	9	2
222	и ее	3	2
223	здесь не	4	2
224	здесь как	2	2
