N	2gram	Tiupa_Lite_2	Komedia
1	и в	19	22
2	и не	11	21
3	том что	7	13
4	в том	10	12
5	со стороны	3	11
6	так как	3	11
7	потому что	2	10
8	вместе с	5	9
9	что он	3	8
10	в его	4	8
11	что и	2	8
12	в глазах	3	8
13	в этом	9	8
14	о том	2	8
15	при этом	6	7
16	то же	12	7
17	не по	2	7
18	едва ли	4	7
19	а в	3	7
20	в конце	2	7
21	того же	4	6
22	еще не	2	6
23	для того	2	6
24	может быть	17	6
25	как раз	2	6
26	и что	2	6
27	так что	4	6
28	и его	3	6
29	в то	9	6
30	не менее	6	5
31	что в	4	5
32	же время	9	5
33	прежде всего	4	5
34	как это	2	5
35	и сам	2	5
36	не только	8	5
37	речь идет	3	5
38	из них	2	5
39	по отношению	4	5
40	он не	5	5
41	тем что	4	5
42	с ним	2	5
43	но в	2	5
44	с тем	2	4
45	у него	2	4
46	отнюдь не	4	4
47	однако в	6	4
48	с другой	8	4
49	вовсе не	2	4
50	все же	2	4
51	не в	4	4
52	до конца	2	4
53	в ней	4	4
54	и т	2	4
55	то что	7	4
56	но и	10	4
57	т п	2	4
58	а не	20	4
59	и для	3	4
60	друг друга	2	4
61	точки зрения	4	4
62	на себя	2	4
63	в себе	6	4
64	так и	7	4
65	не является	2	4
66	хотя бы	2	4
67	и с	3	4
68	в частности	4	3
69	обращается к	3	3
70	никогда не	3	3
71	в них	2	3
72	в какой	2	3
73	с этой	2	3
74	в нем	3	3
75	идет о	3	3
76	и к	2	3
77	тем не	2	3
78	и еще	2	3
79	в ее	2	3
80	как и	10	3
81	в начале	3	3
82	в этой	3	3
83	все что	2	3
84	одной стороны	6	3
85	было бы	2	3
86	как бы	2	3
87	один из	4	3
88	отношению к	3	3
89	в целом	2	3
90	не может	9	3
91	с одной	7	3
92	все равно	2	3
93	из того	2	3
94	что не	2	3
95	с точки	3	3
96	столь же	5	3
97	тем же	3	3
98	и даже	8	3
99	не так	2	3
100	одной из	2	3
101	представляет собой	2	3
102	не знает	2	3
103	перед ним	2	3
104	как он	2	3
105	ничего не	3	3
106	в основе	2	2
107	уже в	2	2
108	ни было	2	2
109	состоит в	9	2
110	себя и	2	2
111	конечном счете	5	2
112	в качестве	5	2
113	и без	2	2
114	в одном	2	2
115	к своему	2	2
116	о которой	2	2
117	этом случае	2	2
118	а затем	2	2
119	по существу	3	2
120	х годов	3	2
121	тот же	2	2
122	в сущности	3	2
123	при всей	2	2
124	одним из	3	2
125	в конечном	5	2
126	в свое	2	2
127	а также	2	2
128	и он	3	2
129	был бы	2	2
130	и ты	3	2
131	не с	3	2
132	во всех	3	2
133	в их	3	2
134	другой стороны	4	2
135	все еще	2	2
136	при всем	2	2
137	вплоть до	3	2
138	не было	2	2
139	этом отношении	3	2
140	человека в	4	2
141	мы не	4	2
142	в мире	9	2
143	из которых	2	2
144	за то	2	2
145	в своих	2	2
146	и на	6	2
147	ли не	4	2
148	в результате	2	2
149	он и	2	2
150	в другом	3	2
151	всего лишь	3	2
152	что ты	2	2
153	к этой	2	2
154	в области	4	2
155	в виду	2	2
