N	2gram	Vygotskiy__6	Otkroven
1	у него	2	22
2	и в	28	19
3	но и	10	13
4	и не	11	13
5	в этом	27	12
6	а не	3	11
7	не в	4	11
8	может быть	13	11
9	не только	16	11
10	и все	5	10
11	вопрос о	5	10
12	в нем	7	10
13	никогда не	8	9
14	потому что	22	9
15	прежде всего	2	9
16	но он	2	7
17	до конца	3	7
18	от него	2	7
19	он не	7	7
20	в его	3	7
21	все это	2	6
22	как и	6	6
23	то что	28	5
24	а в	2	5
25	отношение к	7	5
26	в том	28	5
27	для него	6	5
28	в этой	5	5
29	в самом	8	5
30	его мысли	3	4
31	с его	3	4
32	он сам	2	4
33	того чтобы	10	4
34	и его	3	4
35	все эти	2	4
36	не может	19	4
37	что в	17	4
38	не могут	5	3
39	в этих	2	3
40	мысли и	2	3
41	это не	5	3
42	о природе	2	3
43	что он	18	3
44	различие между	2	3
45	того что	24	3
46	для того	8	3
47	в своих	3	3
48	еще не	8	3
49	и от	2	3
50	могут быть	5	3
51	в себе	4	3
52	было бы	9	3
53	когда он	2	3
54	с ним	2	3
55	как бы	11	3
56	все же	2	2
57	что и	4	2
58	ее в	2	2
59	с тем	5	2
60	и там	2	2
61	так и	6	2
62	в своем	7	2
63	что у	2	2
64	что все	5	2
65	движение в	3	2
66	по себе	3	2
67	и к	6	2
68	ко всем	4	2
69	не имеет	6	2
70	в которой	7	2
71	в других	2	2
72	том что	19	2
73	так что	6	2
74	в другом	2	2
75	и на	5	2
76	и то	4	2
77	что они	2	2
78	сказать что	13	2
79	чем в	2	2
80	тем что	8	2
81	вместо того	2	2
82	его в	6	2
83	должен был	3	2
84	в своей	2	2
85	так как	10	2
86	не могли	5	2
87	хотя и	3	2
88	но в	5	2
