N	2gram	Trubetskoy_1	Literetu
1	а не	2	20
2	и в	14	19
3	может быть	9	17
4	то же	11	12
5	и не	19	11
6	в том	17	10
7	как и	4	10
8	но и	10	10
9	состоит в	2	9
10	же время	10	9
11	не может	22	9
12	тогда как	2	9
13	в мире	4	9
14	в этом	17	9
15	в то	10	9
16	не только	9	8
17	и даже	2	8
18	том что	9	7
19	то что	13	7
20	и т.д	4	7
21	в себе	9	6
22	при этом	5	6
23	себя в	4	6
24	и на	5	6
25	для всех	6	5
26	одна из	3	5
27	но не	4	5
28	в качестве	3	5
29	он не	5	5
30	вместе с	4	5
31	того что	3	5
32	что в	4	4
33	в частности	2	4
34	жизни в	5	4
35	прежде всего	8	4
36	не в	4	4
37	отнюдь не	7	4
38	для него	6	4
39	в ней	2	4
40	в его	4	4
41	жизни и	4	4
42	так что	2	4
43	по отношению	2	4
44	тем что	3	4
45	точки зрения	11	4
46	в области	2	4
47	никогда не	5	3
48	что он	6	3
49	в нем	5	3
50	по существу	5	3
51	и как	3	3
52	но это	2	3
53	в начале	2	3
54	в этой	4	3
55	во всех	5	3
56	том чтобы	3	3
57	речь идет	2	3
58	данном случае	3	3
59	со стороны	4	3
60	себе и	4	3
61	в их	4	3
62	и для	6	3
63	так как	4	3
64	тем самым	2	3
65	с точки	9	3
66	как на	8	3
67	а в	5	3
68	в глазах	2	3
69	и то	4	3
70	и с	7	3
71	в данном	7	3
72	в другом	3	3
73	не было	3	2
74	с тем	6	2
75	у него	2	2
76	себя и	5	2
77	для этого	3	2
78	в конце	3	2
79	и к	6	2
80	для нас	2	2
81	этом случае	3	2
82	все что	4	2
83	еще не	3	2
84	было бы	5	2
85	не так	2	2
86	одной из	3	2
87	как бы	4	2
88	если в	6	2
89	для себя	2	2
90	что и	3	2
91	все же	4	2
92	и т	3	2
93	не к	2	2
94	из них	3	2
95	и только	5	2
96	существование в	2	2
97	а потому	5	2
98	уже не	2	2
99	путь к	4	2
100	и что	2	2
101	для того	6	2
102	из которых	5	2
103	и наконец	2	2
104	за то	2	2
105	хотя бы	5	2
106	друг друга	3	2
107	зависимость от	2	2
108	в своих	6	2
109	то в	3	2
110	в результате	2	2
111	потому что	5	2
112	даже и	2	2
113	во имя	5	2
114	на себя	2	2
115	о том	7	2
116	в россии	6	2
117	к этой	4	2
118	с ним	2	2
119	себя как	2	2
120	но в	2	2
