N	2gram	Bakhtin_sl_2	Problemy
1	чужое слово	10	45
2	и в	39	43
3	и не	22	29
4	чужого слова	40	24
5	может быть	37	23
6	как бы	7	22
7	не может	20	18
8	в пределах	13	16
9	но и	21	14
10	как и	6	14
11	и т	35	13
12	чужим словом	14	13
13	точки зрения	8	13
14	в этом	16	13
15	что он	2	13
16	слова в	13	12
17	в нем	19	12
18	в одном	2	12
19	слова и	8	12
20	не в	9	11
21	чужому слову	2	11
22	по себе	5	11
23	не только	24	11
24	прежде всего	8	10
25	и на	4	10
26	но в	6	10
27	в его	7	10
28	как мы	7	10
29	никогда не	7	9
30	в большинстве	6	9
31	пределах одного	7	9
32	авторское слово	3	9
33	еще не	7	9
34	в сущности	6	9
35	он не	2	9
36	слово и	5	9
37	т п	33	9
38	для него	7	8
39	лишь в	3	8
40	большинстве случаев	5	8
41	то же	4	8
42	с чужим	11	8
43	с точки	3	8
44	и его	33	8
45	или в	2	8
46	слово в	11	8
47	перед нами	3	7
48	до сих	2	7
49	в него	7	7
50	слова с	4	7
51	к чужому	3	7
52	ведь и	2	7
53	в то	4	7
54	то что	2	7
55	сих пор	2	7
56	а не	14	7
57	в другом	2	7
58	в этих	7	6
59	в том	5	6
60	при этом	7	6
61	и наконец	5	6
62	и все	5	6
63	у него	3	6
64	о нем	2	6
65	здесь не	4	6
66	так сказать	6	6
67	же время	4	5
68	чужих слов	6	5
69	хотя и	2	5
70	к нему	3	5
71	все это	16	5
72	по отношению	4	5
73	таким образом	8	5
74	все эти	6	5
75	а в	4	5
76	рядом с	3	5
77	и с	9	5
78	слова на	3	5
79	но здесь	4	5
80	на фоне	4	5
81	вовсе не	10	5
82	о том	2	5
83	но не	6	5
84	слов и	3	5
85	мы увидим	2	5
86	отношению к	4	5
87	в той	4	5
88	в слове	6	5
89	в себе	2	5
90	героя и	5	5
91	словом в	4	4
92	не могут	5	4
93	сама по	3	4
94	своему предмету	5	4
95	что в	3	4
96	в своем	6	4
97	с другой	5	4
98	до конца	17	4
99	но это	3	4
100	и нет	2	4
101	слово как	7	4
102	чужом слове	4	4
103	т д	2	4
104	в результате	2	4
105	же и	2	4
106	но он	2	4
107	человека в	5	4
108	так как	4	4
109	то есть	26	4
110	или как	4	4
111	с его	7	4
112	в чужом	4	4
113	в них	6	4
114	точек зрения	3	4
115	более того	2	4
116	чужую речь	2	4
117	во всех	12	4
118	в отличие	12	4
119	там где	6	4
120	мы не	2	4
121	речи и	3	4
122	чужой акцент	2	4
123	только в	5	4
124	может стать	2	4
125	далеко не	2	4
126	установка на	2	4
127	слово здесь	3	4
128	отличие от	13	4
129	слово может	2	4
130	не менее	4	3
131	должна быть	3	3
132	слово героя	2	3
133	себя и	4	3
134	в отношении	4	3
135	это не	5	3
136	или иной	5	3
137	более или	2	3
138	за всеми	2	3
139	двуголосого слова	4	3
140	кроме того	2	3
141	той или	5	3
142	со всею	3	3
143	зрения и	2	3
144	и их	5	3
145	в их	2	3
146	в одно	2	3
147	и даже	7	3
148	этот второй	2	3
149	героя в	3	3
150	и здесь	2	3
151	во всем	4	3
152	его в	4	3
153	с ним	7	3
154	между тем	3	3
155	в романах	3	3
156	не знает	2	3
157	его художественного	2	3
158	стороны и	3	3
159	в различных	2	3
160	и к	6	3
161	в романе	46	3
162	здесь в	3	3
163	она не	6	3
164	со всеми	2	3
165	мы уже	2	3
166	чужой речи	16	3
167	за пределы	2	3
168	наконец в	4	3
169	даже в	2	3
170	что и	3	3
171	все же	6	3
172	себя в	8	3
173	слово слово	2	3
174	на него	2	3
175	так и	15	3
176	или менее	2	3
177	авторским словом	2	3
178	в себя	2	3
179	уже не	5	3
180	также и	2	3
181	и для	5	3
182	не была	3	3
183	той же	3	3
184	слова как	2	3
185	в виде	2	3
186	могут быть	7	3
187	например у	2	2
188	а лишь	2	2
189	уже в	2	2
190	не был	2	2
191	его и	2	2
192	материал в	3	2
193	человека и	3	2
194	словом и	8	2
195	к различным	2	2
196	для нас	5	2
197	ни в	4	2
198	без всякого	2	2
199	сливается с	4	2
200	слова о	2	2
201	и как	3	2
202	но все	5	2
203	в узком	4	2
204	например в	5	2
205	европейского романа	7	2
206	ту же	3	2
207	и др	4	2
208	романа но	2	2
209	два голоса	2	2
210	отношение к	4	2
211	значение в	2	2
212	в форме	2	2
213	отличается от	2	2
214	для этого	4	2
215	отношения к	4	2
216	но эта	2	2
217	как слово	2	2
218	этих случаях	2	2
219	мы наблюдаем	2	2
220	особенно в	2	2
221	с ними	5	2
222	сказать что	3	2
223	именно как	2	2
224	как он	2	2
225	во всяком	3	2
226	человек и	14	2
227	вне его	2	2
228	с этим	2	2
229	конечно в	2	2
230	и различные	2	2
231	авантюрный роман	2	2
232	и при	2	2
233	мы сказали	2	2
234	одна из	4	2
235	и слова	5	2
236	с их	3	2
237	себе как	2	2
238	не входят	2	2
239	конечно не	5	2
240	его слова	7	2
241	на материале	2	2
242	на почве	4	2
243	и особенно	2	2
244	дело в	2	2
245	если оно	2	2
246	в процессе	13	2
247	быть и	3	2
248	бы и	3	2
249	как в	13	2
250	всем этим	2	2
251	узком смысле	4	2
252	входит в	4	2
253	еще более	2	2
254	речи как	2	2
255	свои интенции	3	2
256	том что	5	2
257	хотя бы	3	2
258	авантюрного романа	3	2
259	слов в	2	2
260	в таком	4	2
261	автора и	2	2
262	сознание и	3	2
263	в поэзии	2	2
264	отношении к	4	2
265	того как	2	2
