N	2gram	Tiupa_Hudo_1	Psycholo
1	то что	8	32
2	и в	14	31
3	в том	12	30
4	и т	11	26
5	что в	6	23
6	может быть	5	22
7	ясно что	2	19
8	при этом	12	19
9	не может	7	17
10	как и	9	16
11	том что	16	16
12	и не	2	16
13	т п	8	16
14	точки зрения	5	15
15	только в	5	14
16	а не	12	13
17	не только	12	13
18	мы не	2	12
19	в этом	11	12
20	в самом	4	11
21	не в	7	11
22	на то	4	10
23	того что	4	10
24	потому что	5	10
25	по себе	2	9
26	ни в	5	9
27	как в	8	9
28	самом деле	5	9
29	никогда не	6	8
30	все это	2	8
31	т д	3	8
32	и что	2	8
33	что он	9	7
34	и его	5	7
35	того чтобы	3	7
36	о том	12	7
37	до конца	2	6
38	было бы	6	6
39	если бы	3	6
40	отнюдь не	3	6
41	а в	7	6
42	что она	4	6
43	и даже	3	6
44	в его	8	6
45	и все	4	5
46	в ее	3	5
47	все же	3	5
48	так что	2	5
49	она не	4	5
50	несмотря на	4	5
51	как бы	7	5
52	в целом	2	5
53	и для	3	5
54	то же	9	5
55	с и	2	5
56	иначе говоря	2	5
57	в то	8	5
58	как будто	4	5
59	к тому	7	4
60	прежде всего	11	4
61	тому что	4	4
62	столь же	4	4
63	и так	2	4
64	в себе	11	4
65	что я	2	4
66	же как	2	4
67	одна из	2	4
68	у него	9	4
69	от себя	2	4
70	и о	4	4
71	никак не	2	4
72	один из	4	4
73	в этих	5	4
74	со стороны	3	4
75	в своих	3	4
76	с этой	2	4
77	в результате	2	4
78	между тем	8	4
79	каждого из	2	3
80	состоит в	2	3
81	в частности	5	3
82	конечном счете	2	3
83	в своем	4	3
84	что у	3	3
85	та же	4	3
86	вопрос о	2	3
87	и к	4	3
88	что на	2	3
89	мы знаем	2	3
90	но не	3	3
91	до сих	2	3
92	например в	2	3
93	в этой	8	3
94	хотя и	2	3
95	он не	4	3
96	и когда	3	3
97	в конечном	2	3
98	речь идет	3	3
99	сих пор	2	3
100	человека не	2	3
101	жизни и	5	3
102	в своей	10	3
103	так и	13	3
104	что при	3	3
105	только на	2	3
106	мышления и	2	3
107	не было	4	3
108	и по	3	3
109	той же	2	3
110	в таком	3	3
111	в одной	2	3
112	с этим	3	3
113	слова в	2	3
114	в конце	4	3
115	и это	4	3
116	в художественном	2	3
117	но в	5	3
118	т е	4	3
119	не менее	5	2
120	на вопрос	2	2
121	такой же	3	2
122	казалось бы	7	2
123	не означает	2	2
124	и от	4	2
125	это в	3	2
126	в такой	2	2
127	с ним	4	2
128	там же	2	2
129	а только	4	2
130	она в	3	2
131	или не	3	2
132	тем не	4	2
133	уже не	7	2
134	и потому	2	2
135	себя и	2	2
136	в качестве	9	2
137	ту или	2	2
138	в него	2	2
139	к жизни	5	2
140	даже в	3	2
141	произведения с	2	2
142	в нем	3	2
143	не знаем	2	2
144	из них	4	2
145	но и	5	2
146	xviii в	2	2
147	что же	2	2
148	приводит к	3	2
149	как мы	3	2
150	только что	4	2
151	как раз	4	2
152	то и	3	2
153	в связи	3	2
154	по мнению	5	2
155	этом отношении	3	2
156	на самом	2	2
157	в себя	2	2
158	идет о	3	2
159	на основе	2	2
160	с точки	3	2
161	от него	3	2
162	ничего не	8	2
163	как к	3	2
164	из нас	3	2
165	и с	4	2
166	но как	2	2
167	будто бы	3	2
168	его в	3	2
169	как он	2	2
170	к этой	3	2
171	то чтобы	2	2
172	как она	2	2
173	и поэтому	2	2
174	оно было	2	2
