N	2gram	Nazirov_Tv_1	Istorich
1	что он	6	24
2	и т	3	19
3	не только	7	18
4	может быть	5	17
5	никогда не	3	15
6	и в	21	15
7	но и	3	14
8	так как	3	14
9	так же	3	13
10	что в	12	12
11	а в	6	12
12	то что	8	12
13	об этом	2	11
14	в этих	2	11
15	и не	7	11
16	в этом	6	11
17	то же	13	10
18	все же	5	9
19	потому что	5	9
20	один из	4	8
21	он не	8	8
22	том что	11	7
23	в нем	3	7
24	вместе с	2	7
25	таким образом	5	7
26	не в	2	7
27	точно так	2	6
28	так что	2	6
29	в его	13	6
30	как бы	17	6
31	что и	2	6
32	в том	7	6
33	только в	5	6
34	но в	7	6
35	связан с	3	5
36	прежде всего	4	5
37	к тому	2	5
38	как в	8	5
39	в котором	6	5
40	так и	2	5
41	что она	2	5
42	не может	4	5
43	а не	5	5
44	и наконец	2	5
45	в русской	5	5
46	представляет собой	3	5
47	и другие	3	4
48	у него	7	4
49	но это	5	4
50	в этой	5	4
51	в одной	2	4
52	при этом	7	4
53	одной из	4	4
54	но он	2	4
55	в ней	2	4
56	дело не	3	4
57	и с	3	4
58	и на	7	4
59	в себе	2	4
60	в качестве	2	3
61	не мог	2	3
62	и его	6	3
63	говорит что	2	3
64	же и	2	3
65	но если	3	3
66	о том	6	3
67	герой в	2	3
68	когда он	2	3
69	в их	3	3
70	все это	10	3
71	страх перед	2	3
72	в себя	2	3
73	того что	3	3
74	эти слова	2	3
75	как будто	5	3
76	здесь мы	2	3
77	уже в	3	2
78	я не	3	2
79	зависит от	2	2
80	самого начала	3	2
81	могут быть	2	2
82	перед нами	2	2
83	с другой	3	2
84	это не	4	2
85	не столько	2	2
86	в жизни	2	2
87	представление о	3	2
88	на самом	3	2
89	не знает	2	2
90	а затем	2	2
91	именно в	2	2
92	в основном	4	2
93	как и	12	2
94	такой же	2	2
95	одна из	2	2
96	но не	3	2
97	он видит	3	2
98	в глаза	2	2
99	в нашей	2	2
100	на его	3	2
101	и когда	2	2
102	был бы	2	2
103	здесь нет	2	2
104	хотя бы	5	2
105	ее в	3	2
106	с ее	3	2
107	из них	2	2
108	приводит к	2	2
109	но его	2	2
110	той же	3	2
111	живет в	2	2
112	с самого	3	2
113	человека в	6	2
114	самом деле	2	2
115	тем самым	7	2
116	и по	3	2
117	или в	2	2
118	сказать что	2	2
119	к ней	2	2
120	при помощи	2	2
121	так сказать	2	2
122	в которой	3	2
123	в него	2	2
124	в мир	2	2
125	в виду	2	2
