N	2gram	Potebnia_M_4	EvropaiC
1	таким образом	24	32
2	в том	23	31
3	и в	23	24
4	том что	12	20
5	все эти	3	19
6	не может	11	18
7	то что	29	17
8	может быть	26	15
9	точки зрения	4	13
10	в своем	8	12
11	до сих	4	12
12	сих пор	4	12
13	самом деле	3	12
14	в этом	23	12
15	все это	5	11
16	между тем	9	11
17	с этим	7	11
18	отношению к	8	10
19	как бы	5	10
20	из себя	2	10
21	по отношению	10	10
22	все что	2	10
23	так и	6	10
24	на то	7	9
25	при этом	15	9
26	как и	14	9
27	что в	17	9
28	не в	11	8
29	в самом	3	8
30	так же	4	8
31	если бы	13	8
32	и все	4	8
33	с точки	3	8
34	не менее	5	7
35	к тому	3	7
36	но и	11	7
37	и не	18	7
38	и что	7	7
39	из этих	2	7
40	о том	8	7
41	что он	4	7
42	в силу	7	7
43	на самом	3	7
44	того чтобы	4	7
45	для того	6	7
46	из этого	2	7
47	а между	4	7
48	с другой	2	6
49	так что	5	6
50	того что	14	6
51	и на	3	6
52	так как	14	6
53	с ним	5	6
54	в сознании	4	6
55	и при	2	6
56	еще не	3	6
57	что и	7	6
58	тогда как	4	6
59	в мире	2	6
60	мы можем	10	6
61	только в	15	6
62	вместе с	6	6
63	именно в	3	5
64	что это	7	5
65	и без	2	5
66	столь же	2	5
67	что все	4	5
68	и их	3	5
69	и с	4	5
70	потому что	33	5
71	его в	4	5
72	между собою	4	5
73	но в	8	5
74	большею частью	2	5
75	и к	6	5
76	в то	4	5
77	по своему	2	5
78	и если	3	5
79	в его	5	5
80	не только	10	5
81	не будет	3	5
82	быть и	2	5
83	и для	2	5
84	лишь в	3	5
85	в себе	14	5
86	в которой	6	5
87	на вопрос	4	4
88	не могут	2	4
89	течением времени	2	4
90	никогда не	3	4
91	пор не	3	4
92	чем больше	2	4
93	этом случае	5	4
94	и проч	18	4
95	тем не	4	4
96	что его	2	4
97	это есть	3	4
98	что как	4	4
99	хотя и	5	4
100	отношение к	2	4
101	с течением	2	4
102	не так	2	4
103	должно быть	5	4
104	и то	5	4
105	признать что	2	4
106	том случае	3	4
107	в состоянии	2	4
108	связи с	3	4
109	мы должны	2	4
110	мы уже	3	4
111	том же	2	4
112	он не	2	4
113	не есть	9	4
114	выше мы	2	4
115	то же	14	4
116	в течение	2	4
117	если мы	2	4
118	из которых	2	4
119	и у	2	4
120	хотя бы	4	4
121	в таком	4	4
122	в виде	2	4
123	своем развитии	2	4
124	в области	2	4
125	но даже	2	3
126	в нашем	2	3
127	в этих	3	3
128	вопрос о	2	3
129	для нас	14	3
130	очевидно что	7	3
131	уже и	2	3
132	не вполне	2	3
133	так или	2	3
134	в нем	7	3
135	данном случае	2	3
136	от того	4	3
137	в разных	3	3
138	и других	3	3
139	образом в	5	3
140	и по	3	3
141	а в	5	3
142	это не	7	3
143	что только	2	3
144	в истории	4	3
145	что мы	10	3
146	при помощи	3	3
147	и потому	10	3
148	бы в	2	3
149	с тем	7	3
150	можно назвать	2	3
151	таким же	5	3
152	у нас	2	3
153	от него	2	3
154	чем в	2	3
155	тот же	2	3
156	и может	4	3
157	самой сущности	2	3
158	конечно не	2	3
159	что если	6	3
160	даже в	2	3
161	только что	3	3
162	должны быть	3	3
163	ко всем	3	3
164	или иначе	2	3
165	что по	2	3
166	в данном	4	3
167	которые не	2	3
168	тем более	5	3
169	и вообще	2	3
170	и это	2	3
171	не то	5	3
172	независимо от	6	2
173	всякое новое	2	2
174	тому что	2	2
175	что у	3	2
176	но так	2	2
177	и говорить	2	2
178	что эти	3	2
179	что на	2	2
180	он все	2	2
181	как мы	2	2
182	все в	2	2
183	для него	5	2
184	мы и	2	2
185	заметим что	3	2
186	же время	3	2
187	в свою	2	2
188	к нему	5	2
189	или поздно	2	2
190	к ним	2	2
191	они могут	2	2
192	в ней	2	2
193	в виду	3	2
194	всяком случае	3	2
195	в котором	4	2
196	другими словами	8	2
197	на том	2	2
198	и до	3	2
199	что она	2	2
200	заключает в	8	2
201	то и	4	2
202	и состоит	3	2
203	те же	3	2
204	вытекают из	2	2
205	в самой	2	2
206	в глазах	2	2
207	с ними	3	2
208	в которых	3	2
209	не следует	2	2
210	и так	3	2
211	говорить о	5	2
212	не было	12	2
213	на нее	3	2
214	во всяком	5	2
215	то есть	34	2
216	том и	2	2
217	и более	4	2
218	только не	3	2
219	можно лишь	2	2
220	до тех	6	2
221	из нее	2	2
222	давно уже	3	2
223	в них	3	2
224	же что	2	2
225	тогда когда	8	2
226	представить себе	2	2
227	вовсе не	7	2
228	этого последнего	2	2
229	только тогда	5	2
230	ответить на	3	2
231	то в	3	2
232	что до	2	2
233	она не	2	2
234	было бы	8	2
235	не от	3	2
236	и из	3	2
237	на себе	3	2
238	никто не	2	2
239	рано или	2	2
240	в сущности	2	2
241	между прочим	3	2
242	тем как	2	2
243	всех остальных	4	2
244	в процессе	3	2
245	будет иметь	2	2
246	что же	5	2
247	что представление	2	2
248	в ту	2	2
249	из одного	3	2
250	тем самым	4	2
251	это обстоятельство	2	2
252	между ними	4	2
253	для самого	2	2
254	в отдельных	2	2
255	этот вопрос	3	2
256	ту же	3	2
257	этого слова	7	2
258	если же	4	2
259	есть в	5	2
260	и только	3	2
261	из него	2	2
