N	2gram	Bakhtin_Pr_5	Komedia
1	iv в	2	34
2	и в	35	26
3	и не	27	14
4	к тому	6	12
5	так и	8	12
6	и его	14	12
7	в том	5	11
8	тому же	3	11
9	может быть	14	11
10	но и	14	10
11	на протяжении	5	10
12	в этом	14	10
13	что в	6	9
14	столь же	2	9
15	том что	3	9
16	вместе с	2	9
17	было бы	3	8
18	и на	6	7
19	из них	3	7
20	не только	10	7
21	что и	3	7
22	в своем	2	6
23	во время	5	6
24	то что	10	6
25	еще не	7	6
26	в нем	16	6
27	потому что	8	6
28	в то	11	6
29	о том	2	6
30	таким образом	7	6
31	с его	7	5
32	с тем	3	5
33	в которой	2	5
34	что он	24	5
35	а затем	2	5
36	ни в	2	5
37	с этим	3	5
38	так что	5	5
39	обращает на	2	5
40	и с	12	5
41	уже в	3	4
42	не менее	2	4
43	у него	4	4
44	в этих	2	4
45	тому что	2	4
46	в них	4	4
47	что у	6	4
48	и от	3	4
49	прежде всего	12	4
50	как мы	8	4
51	как и	18	4
52	в целом	3	4
53	как будто	4	4
54	одной из	2	4
55	хотя и	2	4
56	в его	21	4
57	еще в	4	4
58	все же	8	4
59	в самом	6	4
60	и для	8	4
61	можно было	2	4
62	точки зрения	7	4
63	в начале	3	4
64	только в	6	4
65	что это	4	4
66	так как	4	4
67	на этот	2	4
68	его в	4	4
69	между тем	4	4
70	этот раз	2	4
71	это слово	4	4
72	это было	2	4
73	с этой	2	3
74	в каждом	6	3
75	вопрос о	2	3
76	того времени	2	3
77	надо было	2	3
78	что на	2	3
79	мы знаем	2	3
80	что его	2	3
81	отношению к	7	3
82	но все	4	3
83	к концу	3	3
84	но не	6	3
85	во всех	3	3
86	же время	10	3
87	здесь в	2	3
88	и сам	7	3
89	например в	2	3
90	да и	5	3
91	в ней	2	3
92	в котором	3	3
93	себя в	2	3
94	друг другу	4	3
95	в своей	4	3
96	все это	14	3
97	по отношению	6	3
98	той же	2	3
99	то же	15	3
100	как в	5	3
101	к нему	13	3
102	друг друга	2	3
103	а в	7	3
104	или в	2	3
105	тем что	4	3
106	не может	18	3
107	как он	2	3
108	но в	19	3
109	мы можем	2	3
110	в речах	6	2
111	за собой	3	2
112	все время	4	2
113	ни было	3	2
114	однако в	2	2
115	то ни	3	2
116	с другой	4	2
117	это не	3	2
118	в одной	3	2
119	в конце	5	2
120	в одном	6	2
121	этом смысле	3	2
122	с собой	2	2
123	вовсе не	7	2
124	нет и	4	2
125	и к	12	2
126	с которым	4	2
127	в ее	3	2
128	не в	10	2
129	из его	2	2
130	должна была	2	2
131	в построении	2	2
132	тот же	4	2
133	на этом	2	2
134	бы то	3	2
135	по своему	4	2
136	наконец в	4	2
137	он не	13	2
138	друг с	4	2
139	как бы	31	2
140	всяком случае	4	2
141	время как	2	2
142	даже в	5	2
143	хотя бы	2	2
144	и это	5	2
145	в мире	4	2
146	отношение к	6	2
147	в отличие	2	2
148	так в	2	2
149	в той	4	2
150	и что	6	2
151	с самого	8	2
152	и у	4	2
153	бы и	2	2
154	рядом с	4	2
155	такая же	2	2
156	отличие от	2	2
157	да еще	2	2
158	с ними	5	2
159	во всяком	4	2
160	и во	3	2
161	теперь в	4	2
162	говорить о	3	2
163	с другом	4	2
164	и все	15	2
165	в первом	2	2
166	из этого	2	2
167	с которыми	2	2
168	бы в	4	2
169	в виду	3	2
170	же не	4	2
