N	2gram	Bakhtin_Pr_3	VeschiIm
1	не может	2	33
2	не только	4	31
3	может быть	12	29
4	и не	15	28
5	и в	53	26
6	то что	9	24
7	а не	11	20
8	что я	2	16
9	в смысле	2	15
10	только в	4	14
11	что это	2	12
12	было бы	5	12
13	но и	7	12
14	сказать что	10	12
15	в себя	6	12
16	и ее	6	12
17	таким образом	6	11
18	то же	6	10
19	в ней	7	10
20	как бы	14	10
21	потому что	5	10
22	в том	14	9
23	в самом	2	9
24	и с	6	9
25	прежде всего	15	9
26	себя и	2	8
27	но это	3	8
28	в себе	5	8
29	и это	3	8
30	ничего не	6	8
31	также и	4	7
32	говорить о	2	7
33	в то	5	7
34	его в	2	7
35	так как	7	7
36	том что	5	7
37	есть и	2	7
38	и их	2	7
39	с другими	3	7
40	в этом	8	7
41	что в	2	6
42	жизни и	9	6
43	точки зрения	4	6
44	но в	5	6
45	с ним	2	6
46	быть только	2	6
47	не менее	3	5
48	это не	6	5
49	тем не	2	5
50	не в	2	5
51	еще не	5	5
52	и до	5	5
53	а в	2	5
54	в ее	3	5
55	одна из	7	5
56	но не	5	5
57	того же	2	5
58	в сущности	10	5
59	и для	4	5
60	я не	4	4
61	собственном смысле	2	4
62	с другой	2	4
63	же время	5	4
64	из них	4	4
65	в их	2	4
66	смысле и	2	4
67	и даже	2	4
68	с этим	2	4
69	о том	2	4
70	и более	2	4
71	и все	10	4
72	бытия и	2	4
73	как и	11	4
74	во всех	12	4
75	и потому	5	4
76	что и	3	4
77	быть и	2	4
78	между ними	2	4
79	с точки	2	4
80	мы не	4	4
81	тем что	2	4
82	никогда не	2	3
83	в собственном	2	3
84	что именно	2	3
85	можно сказать	8	3
86	несмотря на	2	3
87	более или	3	3
88	в нем	10	3
89	отношение к	6	3
90	себя самого	3	3
91	все это	8	3
92	мы находим	2	3
93	их в	2	3
94	к себе	6	3
95	в чисто	2	3
96	даже и	2	3
97	в жизни	8	3
98	один из	6	3
99	что он	4	3
100	отличны от	2	3
101	мы видим	2	3
102	тот же	2	3
103	в своей	3	3
104	вместе с	2	3
105	так и	6	3
106	или менее	3	3
107	да и	2	3
108	в той	2	3
109	хотя бы	2	3
110	тем более	2	3
111	не то	3	3
112	с самим	5	3
113	и вообще	3	3
114	в основе	5	3
115	казалось бы	3	2
116	человека и	7	2
117	на все	2	2
118	обе эти	3	2
119	кроме того	3	2
120	и если	3	2
121	понять и	2	2
122	мы уже	5	2
123	и тем	2	2
124	именно тем	2	2
125	и уже	2	2
126	в разных	4	2
127	конечно и	4	2
128	в своих	2	2
129	в более	4	2
130	самим собою	4	2
131	как это	2	2
132	то есть	48	2
133	мы можем	5	2
134	но они	4	2
135	жизни в	3	2
136	и во	4	2
137	а затем	4	2
138	а я	2	2
139	наряду с	5	2
140	он не	3	2
141	нем нет	3	2
142	но к	3	2
143	как в	7	2
144	или нет?	2	2
145	еще более	5	2
146	все равно	4	2
147	и они	2	2
148	как мы	5	2
149	и его	10	2
150	той же	5	2
151	на ее	2	2
152	в особенности	2	2
153	это было	3	2
