N	3gram	Voloshinov_1	Marksizm
1	с точки зрения	5	13
2	не может быть	2	10
3	то же время	7	8
4	в то же	9	8
5	в связи с	2	7
6	для того чтобы	7	6
7	с самого начала	4	5
8	в свою очередь	4	5
9	то же самое	4	5
10	но в то	2	5
11	смысле этого слова	2	4
12	той или иной	3	4
13	в точном смысле	2	4
14	на самом деле	3	4
15	к тому что	2	3
16	одно и то	3	3
17	как мы уже	2	3
18	о том что	2	3
19	и то же	3	3
20	как мы видели	3	3
21	точном смысле этого	2	3
22	внутренней речи и	2	3
23	не было бы	2	2
24	внутренней и внешней	3	2
25	того или иного	5	2
26	трением слова о	2	2
27	в зависимости от	5	2
28	в значительной степени	2	2
29	мы никогда не	5	2
30	то же слово	2	2
31	о происхождении языка	2	2
32	у нас не	2	2
33	но и в	3	2
34	обратное влияние на	4	2
