N	2gram	Losev_Vesc_1	StatiiOP
1	в и	2	130
2	и в	21	44
3	в том	8	36
4	и т	19	30
5	что в	9	30
6	том что	8	29
7	т д	19	21
8	в этом	4	21
9	вовсе не	10	19
10	то что	27	18
11	не только	36	18
12	было бы	14	17
13	а в	4	17
14	о том	6	17
15	и не	29	16
16	а не	19	16
17	т е	55	15
18	может быть	16	15
19	в данном	5	14
20	можно было	2	13
21	не в	5	12
22	в первой	2	12
23	у нас	7	11
24	в этой	3	11
25	самом деле	4	11
26	того чтобы	3	11
27	точки зрения	5	11
28	ясно что	8	10
29	для того	2	10
30	но и	18	10
31	но в	5	10
32	только в	14	10
33	в отношении	4	9
34	с другой	6	9
35	если бы	5	9
36	в то	3	9
37	как и	8	9
38	того что	8	9
39	также и	6	9
40	так и	3	9
41	в его	2	9
42	во всех	2	8
43	все же	4	8
44	из них	4	8
45	не может	17	8
46	и его	2	8
47	это не	5	8
48	с точки	3	8
49	но ведь	2	8
50	я не	4	7
51	прежде всего	9	7
52	в самом	9	7
53	для нас	2	7
54	другой стороны	2	7
55	таким образом	8	7
56	сказать что	17	7
57	что они	6	7
58	потому что	16	6
59	так что	5	6
60	но это	10	6
61	для него	4	6
62	что и	3	6
63	в своей	5	6
64	данном случае	2	6
65	со стороны	5	6
66	что же	8	6
67	в той	3	6
68	во всяком	3	6
69	дело в	4	6
70	хотя бы	6	6
71	всяком случае	2	6
72	не менее	3	5
73	никогда не	2	5
74	была бы	2	5
75	что мы	14	5
76	совершенно не	5	5
77	в котором	3	5
78	в нем	2	5
79	жизни и	2	5
80	все это	5	5
81	той же	2	5
82	то же	6	5
83	и даже	6	5
84	в слове	2	5
85	и то	10	5
86	тем что	2	5
87	все эти	3	5
88	так как	7	5
89	что это	13	4
90	можно ли	7	4
91	что она	15	4
92	мы находим	2	4
93	бы и	5	4
94	в ее	7	4
95	это и	6	4
96	и что	15	4
97	как раз	9	4
98	но если	8	4
99	как бы	12	4
100	на то	4	4
101	дело не	2	4
102	в россии	2	4
103	даже не	7	4
104	еще более	2	4
105	что у	5	4
106	во втором	2	4
107	как это	2	4
108	в основе	3	3
109	а с	3	3
110	тому что	2	3
111	для себя	5	3
112	и с	8	3
113	с этой	4	3
114	в конце	2	3
115	должна быть	4	3
116	этих двух	2	3
117	же это	4	3
118	да и	3	3
119	об этом	3	3
120	то в	4	3
121	но не	5	3
122	того же	5	3
123	и без	3	3
124	еще не	8	3
125	что не	5	3
126	и для	9	3
127	в ней	12	3
128	не значит	7	3
129	должен быть	2	3
130	и тем	3	3
131	то это	3	3
132	из истории	2	3
133	ни с	6	3
134	и только	3	3
135	с одной	3	3
136	что оно	8	3
137	но с	2	3
138	о которой	2	3
139	применении к	2	3
140	должны быть	4	3
141	значит что	24	3
142	в чем	6	3
143	это можно	2	3
144	как к	4	3
145	в результате	3	3
146	то или	2	3
147	ведь и	5	3
148	в другом	2	3
149	если это	2	3
150	с этим	3	3
151	нет это	2	2
152	может не	2	2
153	что все	2	2
154	нисколько не	4	2
155	но на	2	2
156	даже и	4	2
157	в своем	6	2
158	вообще не	2	2
159	и во	3	2
160	по крайней	4	2
161	имеем дело	3	2
162	тут не	5	2
163	что на	2	2
164	меня не	2	2
165	бы что	2	2
166	крайней мере	4	2
167	по существу	2	2
168	если не	3	2
169	она не	4	2
170	одной стороны	3	2
171	но именно	2	2
172	в сущности	4	2
173	знает и	2	2
174	между прочим	3	2
175	но для	2	2
176	и потому	5	2
177	свое время	2	2
178	как можно	3	2
179	тем не	3	2
180	в первом	2	2
181	в свой	2	2
182	без всякого	4	2
183	и их	7	2
184	невозможно было	2	2
185	для этого	4	2
186	в свое	2	2
187	еще и	8	2
188	оба эти	3	2
189	из того	2	2
190	так или	4	2
191	это вовсе	2	2
192	и у	3	2
193	свидетельствует о	3	2
194	есть только	7	2
195	д и	5	2
196	в каком-то	2	2
197	мы не	6	2
198	что то	2	2
199	или иначе	4	2
200	ничего не	3	2
201	их в	3	2
202	от этого	2	2
203	у него	2	2
204	ни на	3	2
205	но он	2	2
206	в себе	14	2
207	говорить о	6	2
208	по своей	2	2
209	нужно было	2	2
210	то не	4	2
211	и все	5	2
212	его в	2	2
213	при помощи	2	2
214	и это	14	2
215	ли в	3	2
216	только с	3	2
217	мы имеем	7	2
218	е в	7	2
