N	2gram	Trubetskoy_1	RusskieA
1	и в	23	29
2	что в	8	22
3	том что	19	22
4	в том	30	22
5	как бы	10	18
6	может быть	16	13
7	так как	7	13
8	как и	9	11
9	одна из	2	11
10	в этом	12	11
11	все это	11	10
12	и с	5	10
13	не только	7	10
14	о том	7	9
15	а в	3	9
16	но и	9	8
17	с в	3	8
18	его в	5	8
19	мы видели	2	7
20	данном случае	3	7
21	с тем	2	6
22	этом случае	4	6
23	еще не	5	6
24	для того	8	6
25	для нас	3	6
26	вместе с	6	6
27	таким образом	31	6
28	при этом	9	6
29	того чтобы	8	6
30	и на	6	6
31	в данном	3	6
32	на нее	2	6
33	на земле	3	5
34	представление о	3	5
35	потому что	9	5
36	это не	3	5
37	к этому	5	5
38	то что	18	5
39	и что	8	5
40	но не	2	5
41	для этого	7	5
42	не может	17	5
43	но в	4	5
44	именно в	5	4
45	в них	2	4
46	и все	7	4
47	тогда когда	3	4
48	вопрос о	3	4
49	а затем	2	4
50	по существу	6	4
51	так что	5	4
52	не в	8	4
53	из них	5	4
54	к нему	2	4
55	же как	3	4
56	том же	4	4
57	это представление	3	4
58	так же	8	4
59	то и	2	4
60	то же	4	4
61	у нас	3	4
62	в таком	4	4
63	в которых	2	4
64	их в	2	4
65	в виде	4	4
66	далеко не	5	4
67	что по	3	4
68	на этом	2	3
69	в этих	3	3
70	и других	2	3
71	и от	5	3
72	а наоборот	3	3
73	на первый	2	3
74	она не	2	3
75	того что	6	3
76	было бы	3	3
77	но если	2	3
78	в котором	2	3
79	во всех	10	3
80	только тогда	2	3
81	что для	4	3
82	все эти	19	3
83	в народе	4	3
84	и по	3	3
85	друг друга	2	3
86	как мы	2	3
87	выше мы	4	3
88	между тем	12	3
89	в этой	6	3
90	что это	5	3
91	отличие от	3	3
92	в эту	2	3
93	не менее	7	2
94	с этой	3	2
95	говорить что	3	2
96	связи с	4	2
97	никогда не	4	2
98	по этому	2	2
99	между собой	4	2
100	о них	2	2
101	с другой	6	2
102	из этих	8	2
103	ее и	3	2
104	если он	2	2
105	прежде всего	3	2
106	что и	7	2
107	что с	5	2
108	одним из	4	2
109	и при	6	2
110	у них	6	2
111	в европе	6	2
112	представления об	2	2
113	чем в	3	2
114	очевидно что	3	2
115	то время	2	2
116	одной стороны	2	2
117	совершенно не	3	2
118	все то	2	2
119	тем не	4	2
120	из этого	6	2
121	в виду	2	2
122	все же	13	2
123	все в	2	2
124	том чтобы	2	2
125	что при	6	2
126	в их	4	2
127	а и	8	2
128	тогда как	6	2
129	что такие	2	2
130	а с	4	2
131	не было	2	2
132	с одной	3	2
133	в течение	4	2
134	на самом	7	2
135	образом в	3	2
136	этот вопрос	2	2
137	из которых	4	2
138	и для	6	2
139	должно быть	4	2
140	рассматриваться как	3	2
141	а к	2	2
142	жизнь и	3	2
143	каждый из	3	2
144	в своих	2	2
145	и то	4	2
146	одно из	3	2
147	с этим	11	2
148	и ее	2	2
149	во всем	3	2
150	в то	6	2
151	к таким	2	2
152	так чтобы	2	2
153	в которой	5	2
154	та же	3	2
155	есть в	2	2
156	можно встретить	2	2
