N	2gram	Vinokur_St_2	Otkroven
1	и в	29	19
2	но и	19	13
3	и не	9	13
4	в этом	21	12
5	а не	5	11
6	не в	4	11
7	может быть	2	11
8	не только	19	11
9	вопрос о	6	10
10	в нем	4	10
11	никогда не	3	9
12	не было	3	9
13	потому что	9	9
14	прежде всего	5	9
15	и он	3	8
16	он был	2	8
17	ни с	2	7
18	но он	3	7
19	до конца	3	7
20	он не	9	7
21	в его	13	7
22	все это	11	6
23	как и	2	6
24	то что	11	5
25	в том	27	5
26	для него	4	5
27	в этой	2	5
28	в самом	7	5
29	в россии	3	5
30	с его	2	4
31	т е	10	4
32	того чтобы	6	4
33	и его	6	4
34	все эти	2	4
35	не может	2	4
36	что в	19	4
37	в этих	3	3
38	что он	13	3
39	того что	5	3
40	для того	7	3
41	хотя бы	3	3
42	в себе	2	3
43	было бы	5	3
44	в русской	5	3
45	о том	17	3
46	как бы	5	3
47	это было	2	3
48	все же	6	2
49	что и	2	2
50	ее в	2	2
51	с тем	7	2
52	в истории	2	2
53	так и	9	2
54	в своем	9	2
55	что у	4	2
56	к этому	4	2
57	по себе	3	2
58	и к	4	2
59	не имеет	2	2
60	в ее	2	2
61	его не	3	2
62	в которой	11	2
63	том что	27	2
64	так что	3	2
65	в другом	4	2
66	ни у	3	2
67	и на	6	2
68	что они	2	2
69	сказать что	2	2
70	и с	4	2
71	тем что	3	2
72	было для	2	2
73	его в	2	2
74	должен был	4	2
75	в своей	7	2
76	так как	2	2
77	и о	4	2
78	ничего не	4	2
79	не могли	2	2
80	хотя и	4	2
81	которую он	2	2
82	но в	8	2
83	и потому	2	2
