N	2gram	Losev_Dial_2	EvropaiC
1	таким образом	4	32
2	в том	14	31
3	и в	19	24
4	том что	10	20
5	все эти	2	19
6	не может	9	18
7	то что	14	17
8	может быть	20	15
9	все же	4	15
10	точки зрения	12	13
11	в своем	4	12
12	до сих	2	12
13	сих пор	2	12
14	самом деле	4	12
15	в этом	8	12
16	все это	4	11
17	между тем	2	11
18	с этим	3	11
19	как бы	14	10
20	во всех	2	10
21	так и	10	10
22	культуры и	2	10
23	при этом	4	9
24	в результате	2	9
25	как и	10	9
26	что в	7	9
27	не в	8	8
28	в самом	5	8
29	так же	2	8
30	и все	12	8
31	ясно что	4	8
32	с точки	8	8
33	не менее	3	7
34	к тому	2	7
35	но и	12	7
36	и не	30	7
37	и что	5	7
38	по своей	4	7
39	о котором	3	7
40	о том	5	7
41	что он	6	7
42	в силу	5	7
43	или менее	2	7
44	на самом	2	7
45	более или	2	7
46	должна быть	5	6
47	с другой	5	6
48	так что	7	6
49	в этой	3	6
50	в общем	2	6
51	несмотря на	2	6
52	того что	6	6
53	так как	14	6
54	с ним	4	6
55	и при	2	6
56	еще не	4	6
57	что и	5	6
58	в мире	2	6
59	только в	5	6
60	вместе с	2	6
61	именно в	2	5
62	что это	10	5
63	и от	3	5
64	на все	2	5
65	что с	2	5
66	и их	3	5
67	другой стороны	4	5
68	и с	5	5
69	потому что	14	5
70	его в	3	5
71	между собою	3	5
72	но в	2	5
73	большею частью	2	5
74	и к	7	5
75	в то	6	5
76	по своему	5	5
77	и если	4	5
78	не только	19	5
79	не будет	2	5
80	быть и	4	5
81	но все	2	5
82	в себе	15	5
83	как будто	7	5
84	в которой	2	5
85	не могут	4	4
86	никогда не	9	4
87	та же	4	4
88	в конце	2	4
89	тем не	2	4
90	это есть	8	4
91	из них	3	4
92	в их	2	4
93	а потому	2	4
94	должно быть	7	4
95	и то	7	4
96	всех этих	3	4
97	в состоянии	2	4
98	в одну	5	4
99	связи с	4	4
100	мы должны	2	4
101	мы уже	8	4
102	он не	4	4
103	не есть	47	4
104	совершенно не	7	4
105	то же	12	4
106	если мы	2	4
107	хотя бы	4	4
108	в таком	4	4
109	в виде	2	4
110	в области	2	4
111	может не	4	3
112	же как	3	3
113	с одной	2	3
114	в этих	3	3
115	вопрос о	3	3
116	в тех	2	3
117	очевидно что	2	3
118	уже и	2	3
119	различия между	2	3
120	по одному	4	3
121	чтобы все	3	3
122	так или	2	3
123	в нем	10	3
124	данном случае	2	3
125	от того	4	3
126	в разных	3	3
127	что оно	4	3
128	заключается в	4	3
129	и по	4	3
130	а в	4	3
131	это не	10	3
132	в истории	2	3
133	что мы	2	3
134	и потому	5	3
135	с тем	2	3
136	прежде всего	8	3
137	в жизни	2	3
138	сейчас же	3	3
139	как известно	2	3
140	и может	6	3
141	конечно не	6	3
142	что если	3	3
143	даже в	3	3
144	только что	5	3
145	жизнь и	5	3
146	должны быть	3	3
147	или иначе	2	3
148	что по	2	3
149	в данном	3	3
150	которые не	2	3
151	в связи	4	3
152	и вообще	6	3
153	и это	5	3
154	не то	5	3
155	же не	3	3
156	независимо от	4	2
157	в частности	2	2
158	можно ли	3	2
159	тому что	2	2
160	что у	2	2
161	и говорить	2	2
162	что эти	2	2
163	что на	2	2
164	как мы	3	2
165	все в	2	2
166	что они	6	2
167	это может	2	2
168	на этом	2	2
169	же время	5	2
170	к нему	4	2
171	в ней	2	2
172	в виду	5	2
173	всяком случае	2	2
174	принять во	3	2
175	и уже	3	2
176	с ее	2	2
177	что она	14	2
178	в одно	5	2
179	они не	3	2
180	с ними	2	2
181	широком смысле	2	2
182	одно из	4	2
183	но как	5	2
184	говорить о	5	2
185	не было	3	2
186	в один	3	2
187	также и	2	2
188	это конечно	4	2
189	во всяком	2	2
190	однако это	2	2
191	и более	3	2
192	только не	2	2
193	отнюдь не	6	2
194	следует что	2	2
195	тогда когда	6	2
196	вовсе не	13	2
197	этого последнего	2	2
198	только тогда	7	2
199	так чтобы	2	2
200	но не	6	2
201	не очень	2	2
202	только то	4	2
203	она не	8	2
204	было бы	3	2
205	жизни и	6	2
206	и из	3	2
207	в сущности	2	2
208	во внимание	3	2
209	только одно	2	2
210	как не	2	2
211	на него	2	2
212	что же	2	2
213	и где	3	2
214	в другом	4	2
215	есть в	2	2
216	и только	4	2
217	все его	3	2
