N	2gram	Voloshinov_1	TeoriaLi
1	– это	15	20
2	не только	5	18
3	в качестве	2	17
4	и не	16	16
5	– в	13	14
6	а в	6	14
7	и в	15	13
8	может быть	13	12
9	так и	10	12
10	при этом	7	11
11	в этом	13	11
12	в том	4	11
13	но не	5	10
14	а не	2	10
15	и его	15	10
16	в его	9	9
17	то же	7	9
18	в душе	13	8
19	сводится к	3	8
20	что в	6	8
21	отношению к	9	8
22	но и	4	8
23	по отношению	11	8
24	себя в	2	7
25	в себе	4	7
26	том что	5	7
27	во второй	5	7
28	в данном	3	7
29	точки зрения	13	7
30	в то	6	7
31	только в	6	7
32	с его	8	6
33	же время	5	6
34	еще не	7	6
35	как бы	11	6
36	но в	9	6
37	– с	3	5
38	в своем	2	5
39	в ее	4	5
40	как и	6	5
41	не в	4	5
42	между ними	2	5
43	в самом	6	5
44	роли в	2	5
45	в нем	4	5
46	данном случае	3	5
47	как в	3	5
48	он не	4	5
49	уже не	5	5
50	между тем	2	5
51	в искусстве	3	5
52	не менее	3	4
53	в свою	2	4
54	можно сказать	4	4
55	ни в	6	4
56	читателя в	3	4
57	– его	2	4
58	в своей	9	4
59	то что	10	4
60	отношение к	7	4
61	приводит к	2	4
62	и т.п	2	4
63	не может	13	4
64	сказать что	6	4
65	и ее	3	4
66	не знает	3	4
67	и др	8	3
68	никогда не	7	3
69	в нашем	3	3
70	второй –	2	3
71	в этих	2	3
72	в отношении	2	3
73	он должен	2	3
74	прежде всего	11	3
75	и к	7	3
76	я –	2	3
77	тем не	2	3
78	человека к	2	3
79	для него	5	3
80	того что	2	3
81	и потому	8	3
82	на почве	2	3
83	на две	3	3
84	с ее	3	3
85	– не	7	3
86	как раз	2	3
87	таким образом	21	3
88	именно в	3	3
89	и вот	6	3
90	и что	3	3
91	и по	5	3
92	– все	4	3
93	и то	2	3
94	потому что	4	3
95	в основе	3	3
96	в этой	5	3
97	его в	8	3
98	все эти	9	3
99	человека с	2	3
100	я не	3	2
101	если бы	3	2
102	могут быть	6	2
103	за пределы	2	2
104	себя и	3	2
105	в следующей	5	2
106	между собой	4	2
107	жизни в	3	2
108	это не	2	2
109	о себе	2	2
110	этих двух	2	2
111	вовсе не	2	2
112	по себе	2	2
113	что он	8	2
114	к тому	4	2
115	что может	3	2
116	об этом	4	2
117	– и	5	2
118	в большинстве	4	2
119	во втором	3	2
120	к нему	7	2
121	в целом	2	2
122	во всех	8	2
123	вместе с	4	2
124	со стороны	2	2
125	жизни –	3	2
126	жизни то	2	2
127	и для	2	2
128	– как	2	2
129	в себя	5	2
130	и о	3	2
131	с точки	10	2
132	и даже	2	2
133	роль в	6	2
134	их в	2	2
135	у него	3	2
136	на себя	2	2
137	не следует	2	2
138	жизни но	2	2
139	в чем	4	2
140	отношения к	2	2
141	в области	3	2
142	я и	6	2
