N	2gram	Bakhtin_fo_1	Analitik
1	в этом	25	18
2	в частности	6	16
3	и в	50	16
4	не только	9	16
5	так и	12	15
6	как и	8	14
7	в том	9	12
8	но и	8	12
9	и не	14	12
10	том что	4	12
11	в качестве	3	11
12	могут быть	5	10
13	как бы	2	10
14	при этом	3	10
15	а не	3	10
16	в пределах	5	9
17	лишь в	6	9
18	и даже	2	9
19	ничего не	9	9
20	то есть	33	9
21	в данном	2	8
22	отнюдь не	5	8
23	в целом	2	8
24	и т.п	4	8
25	к тому	3	7
26	в себе	3	7
27	то что	6	7
28	а также	2	7
29	с другой	2	6
30	в самом	8	6
31	и на	8	6
32	может быть	11	6
33	но в	10	6
34	и к	2	5
35	с одной	3	5
36	на себя	2	5
37	в своем	4	4
38	в конце	9	4
39	у него	6	4
40	уже не	2	4
41	тому же	2	4
42	не в	5	4
43	но не	5	4
44	того же	8	4
45	для него	2	4
46	одной стороны	2	4
47	в сущности	3	4
48	имеет место	3	4
49	по преимуществу	3	4
50	и является	2	4
51	времени в	7	4
52	отношению к	5	4
53	во всех	6	4
54	как в	6	4
55	все это	4	4
56	как раз	13	4
57	по отношению	3	4
58	не может	6	4
59	и его	16	4
60	то же	11	4
61	хотя и	3	4
62	между двумя	6	4
63	точки зрения	5	4
64	только в	4	4
65	место в	2	3
66	сюжета и	2	3
67	никогда не	2	3
68	в нашем	2	3
69	на фоне	3	3
70	прежде всего	15	3
71	или иной	2	3
72	одной из	3	3
73	его от	2	3
74	с самим	5	3
75	есть в	2	3
76	было бы	2	3
77	в центре	2	3
78	или в	3	3
79	той или	2	3
80	что и	3	3
81	в их	6	3
82	только на	3	3
83	если бы	5	3
84	этом отношении	3	3
85	не знает	3	3
86	именно в	3	3
87	а в	3	3
88	как мы	14	3
89	и то	4	3
90	в результате	6	3
91	автора и	2	3
92	тем что	2	3
93	попадает в	2	3
94	романа в	5	3
95	и все	6	3
96	встречи с	2	2
97	а как	3	2
98	вступает в	2	2
99	того что	2	2
100	была бы	2	2
101	для всех	2	2
102	вообще не	3	2
103	в одном	3	2
104	что все	2	2
105	к этому	3	2
106	вовсе не	13	2
107	вследствие этого	3	2
108	по себе	2	2
109	к своему	2	2
110	эту жизнь	2	2
111	момент его	2	2
112	отличие от	2	2
113	по существу	12	2
114	в соответствии	2	2
115	соответствии с	2	2
116	же время	9	2
117	что в	5	2
118	с их	2	2
119	еще не	5	2
120	в своей	2	2
121	ни с	2	2
122	не о	2	2
123	в котором	4	2
124	природе своей	2	2
125	один из	3	2
126	с ее	6	2
127	на этой	4	2
128	и их	8	2
129	в отличие	2	2
130	вместе с	3	2
131	во времени	3	2
132	борьбе с	2	2
133	и стал	2	2
134	отношения к	3	2
135	таким образом	11	2
136	здесь в	2	2
137	той же	2	2
138	еще более	3	2
139	те же	2	2
140	того и	2	2
141	но эта	3	2
142	в значительной	2	2
143	по природе	2	2
144	не имеет	4	2
145	речи в	2	2
146	и для	4	2
147	с точки	2	2
148	так же	6	2
149	роль в	9	2
150	на основе	2	2
151	в таком	3	2
152	и до	5	2
153	и во	7	2
154	личности и	2	2
155	одно из	3	2
156	он не	5	2
157	в то	9	2
158	в его	13	2
159	жизни но	5	2
160	его в	3	2
161	в этих	3	2
162	сказать что	3	2
163	с ним	2	2
164	о своей	2	2
