N	2gram	Tiupa_Hudo_2	EvropaiE
1	и в	28	37
2	точки зрения	2	23
3	что в	5	21
4	не только	11	18
5	с точки	2	17
6	в то	6	16
7	хотя бы	2	15
8	то же	6	15
9	в своем	5	14
10	в качестве	4	14
11	же время	4	14
12	но и	9	14
13	и не	18	14
14	но в	2	14
15	в этом	13	12
16	в том	15	11
17	так и	8	10
18	отнюдь не	2	9
19	прежде всего	3	9
20	не может	4	9
21	т е	2	9
22	в себе	9	9
23	только в	4	9
24	так же	3	9
25	к тому	7	8
26	в ее	18	8
27	одной стороны	3	8
28	было бы	3	8
29	в своей	6	8
30	с одной	3	8
31	между тем	8	8
32	как и	11	7
33	а также	2	7
34	с другой	3	7
35	вовсе не	2	6
36	том что	19	6
37	может быть	8	6
38	вслед за	4	6
39	для того	4	6
40	как бы	5	6
41	то что	6	6
42	того чтобы	4	6
43	и на	3	6
44	же как	2	5
45	в частности	7	5
46	столь же	3	5
47	не в	13	5
48	но не	4	5
49	одной из	3	5
50	со стороны	3	5
51	как мы	2	5
52	тем самым	2	5
53	в виде	2	5
54	именно в	2	4
55	или иного	2	4
56	или иной	2	4
57	можно сказать	6	4
58	несмотря на	3	4
59	в самом	5	4
60	то в	4	4
61	в ней	3	4
62	к ней	2	4
63	для нас	3	4
64	сказать что	2	4
65	того или	2	4
66	как это	7	4
67	место в	2	3
68	и к	2	3
69	никогда не	5	3
70	жизни в	7	3
71	в них	3	3
72	и от	2	3
73	на себя	3	3
74	не более	2	3
75	из них	2	3
76	не является	2	3
77	что и	4	3
78	говорит о	4	3
79	не будет	2	3
80	во второй	2	3
81	бы и	4	3
82	как в	5	3
83	и только	2	3
84	потребность в	2	3
85	она в	2	3
86	и для	2	3
87	как на	2	3
88	можно было	3	3
89	потому что	2	3
90	тем что	6	3
91	себе в	2	3
92	в данном	2	3
93	о том	12	3
94	всего лишь	3	3
95	что все	3	2
96	он сам	2	2
97	а не	14	2
98	в этих	3	2
99	во втором	2	2
100	и все	7	2
101	в одном	3	2
102	к нему	3	2
103	и эта	2	2
104	что на	3	2
105	как же	2	2
106	между ними	2	2
107	но именно	2	2
108	что это	5	2
109	она не	5	2
110	но еще	2	2
111	по преимуществу	3	2
112	он не	4	2
113	в его	11	2
114	в котором	6	2
115	если в	2	2
116	в мире	7	2
117	жизни и	6	2
118	наряду с	5	2
119	вместе с	2	2
120	данном случае	2	2
121	что же	2	2
122	а в	6	2
123	если бы	6	2
124	более чем	2	2
125	в других	4	2
126	с другими	3	2
127	или в	3	2
128	и с	6	2
129	к той	2	2
130	в этой	5	2
131	и то	2	2
132	как будто	4	2
