N	2gram	Tiupa_Hudo_1	Komedia
1	и в	14	22
2	и не	2	21
3	т е	4	16
4	том что	16	13
5	в том	12	12
6	со стороны	3	11
7	ни в	5	10
8	потому что	5	10
9	до сих	2	9
10	в самом	4	9
11	сих пор	2	9
12	если бы	3	8
13	в своем	4	8
14	что он	9	8
15	в его	8	8
16	в глазах	6	8
17	в этом	11	8
18	о том	12	8
19	его в	3	8
20	об этом	5	7
21	при этом	12	7
22	то же	9	7
23	только что	4	7
24	едва ли	3	7
25	а в	7	7
26	в конце	4	7
27	ясно что	2	6
28	еще не	7	6
29	к тому	7	6
30	может быть	5	6
31	как раз	4	6
32	самом деле	5	6
33	и что	2	6
34	того чтобы	3	6
35	так что	2	6
36	и его	5	6
37	в то	8	6
38	не менее	5	5
39	связи с	4	5
40	что в	6	5
41	же время	8	5
42	прежде всего	11	5
43	хотя и	2	5
44	не только	12	5
45	речь идет	3	5
46	в своей	10	5
47	из них	4	5
48	все это	2	5
49	по отношению	8	5
50	он не	4	5
51	тем что	3	5
52	к себе	5	5
53	с ним	4	5
54	но в	5	5
55	у него	9	4
56	отнюдь не	3	4
57	однако в	2	4
58	все же	3	4
59	не в	7	4
60	до конца	2	4
61	несмотря на	4	4
62	в ней	4	4
63	и т	11	4
64	то что	8	4
65	но и	5	4
66	на него	2	4
67	что она	4	4
68	т п	8	4
69	а не	12	4
70	и для	3	4
71	друг друга	5	4
72	точки зрения	5	4
73	в себе	11	4
74	в связи	3	4
75	так и	13	4
76	и поэтому	2	4
77	и с	4	4
78	ничем не	3	4
79	с его	5	3
80	в частности	5	3
81	никогда не	6	3
82	с этой	2	3
83	с этим	3	3
84	в нем	3	3
85	идет о	3	3
86	на то	4	3
87	и к	4	3
88	тем не	4	3
89	в ее	3	3
90	как и	9	3
91	ему не	2	3
92	в начале	2	3
93	в этой	8	3
94	по своему	3	3
95	было бы	6	3
96	как бы	7	3
97	один из	4	3
98	отношению к	8	3
99	в целом	2	3
100	приводит к	3	3
101	не может	7	3
102	все равно	2	3
103	что не	2	3
104	с точки	3	3
105	столь же	4	3
106	и даже	3	3
107	не имеет	2	3
108	в т	3	3
109	одной из	2	3
110	не о	2	3
111	говорить о	3	3
112	не знает	2	3
113	как он	2	3
114	ничего не	8	3
115	том как	3	3
116	на вопрос	2	2
117	только для	2	2
118	состоит в	2	2
119	себя и	2	2
120	конечном счете	2	2
121	в качестве	9	2
122	как в	8	2
123	это не	7	2
124	и все	4	2
125	это в	3	2
126	к своему	2	2
127	мы знаем	2	2
128	за ним	2	2
129	она не	4	2
130	в пределах	3	2
131	на его	2	2
132	при всей	2	2
133	в произведениях	2	2
134	и о	4	2
135	в конечном	2	2
136	а также	3	2
137	и он	5	2
138	так или	2	2
139	и ты	2	2
140	представляют собой	2	2
141	раз в	2	2
142	человека не	2	2
143	этой связи	4	2
144	в их	2	2
145	как мы	3	2
146	все еще	2	2
147	в изображении	2	2
148	по мнению	5	2
149	не было	4	2
150	этом отношении	3	2
151	человека в	6	2
152	мы не	2	2
153	видит себя	3	2
154	в мире	3	2
155	в таком	3	2
156	можно было	5	2
157	или иначе	2	2
158	в своих	3	2
159	и на	3	2
160	в результате	2	2
161	тому что	4	2
162	между тем	8	2
163	в другом	2	2
164	видно что	2	2
165	ближе к	2	2
166	и это	4	2
167	нет ничего	2	2
168	здесь не	2	2
169	всего лишь	4	2
170	к этой	3	2
