N	2gram	Bakhtin_Fr_7	PoTuStor
1	может быть	4	17
2	и в	41	16
3	прежде всего	11	9
4	таким образом	19	9
5	в этом	15	9
6	и его	9	8
7	и с	4	8
8	точки зрения	5	8
9	не может	3	8
10	с его	2	7
11	не только	5	7
12	и это	5	6
13	и к	5	6
14	с точки	3	6
15	для него	6	6
16	при этом	3	6
17	отношение к	2	5
18	все эти	13	5
19	в чем	2	5
20	ни в	6	5
21	еще не	2	5
22	как бы	7	5
23	с самого	2	4
24	в нем	7	4
25	и их	3	4
26	но и	9	4
27	так и	10	4
28	все это	10	4
29	и все	14	4
30	так как	3	4
31	и не	7	4
32	на самом	2	4
33	как мы	11	4
34	и ее	2	4
35	и наконец	4	4
36	с ними	3	4
37	и на	4	4
38	в этой	13	4
39	с ее	3	4
40	все что	4	4
41	и может	2	4
42	только в	6	4
43	его в	3	4
44	для всех	2	4
45	но в	8	4
46	в его	12	4
47	во время	3	3
48	на этой	4	3
49	в этих	2	3
50	что в	9	3
51	жизни и	3	3
52	и есть	3	3
53	во всех	3	3
54	и др	2	3
55	вместе с	5	3
56	в большинстве	2	3
57	в одном	3	3
58	и вот	2	3
59	большинстве случаев	2	3
60	учение о	2	3
61	в том	11	3
62	а в	5	3
63	том что	4	3
64	и как	2	3
65	то что	8	3
66	их в	2	3
67	на этом	5	3
68	только на	2	3
69	мира и	4	3
70	в области	2	3
71	во всяком	2	3
72	и потому	3	3
73	и исторического	2	2
74	поэтому и	3	2
75	может иметь	2	2
76	что и	5	2
77	не есть	2	2
78	ни было	2	2
79	связанных с	3	2
80	другими словами	2	2
81	никогда не	2	2
82	в них	7	2
83	находится в	2	2
84	того же	3	2
85	во всей	2	2
86	оно не	2	2
87	и так	2	2
88	с этим	2	2
89	его целом	2	2
90	в свое	2	2
91	то же	13	2
92	к этому	5	2
93	не знает	3	2
94	на них	3	2
95	и других	2	2
96	с помощью	6	2
97	что он	3	2
98	мы не	2	2
99	и т.п	9	2
100	у него	6	2
101	и по	3	2
102	и для	5	2
103	в область	3	2
104	как и	14	2
105	мы видим	6	2
106	так же	5	2
107	но это	3	2
108	и образы	4	2
109	есть в	6	2
110	мы уже	12	2
111	совсем не	3	2
112	по своему	2	2
113	не на	3	2
114	а на	2	2
115	он не	4	2
116	есть и	3	2
117	характерно для	2	2
118	момент в	4	2
119	ту же	2	2
120	было бы	4	2
121	со всеми	2	2
122	что это	4	2
123	все то	3	2
124	связанные с	3	2
125	и вся	3	2
126	о том	6	2
127	оно и	2	2
128	в своей	3	2
129	с ним	2	2
130	так называемый	2	2
