N	2gram	Losev_Prob_2	Formalny
1	и в	35	24
2	в его	7	23
3	прежде всего	11	22
4	и не	37	20
5	так и	7	18
6	не может	13	16
7	точки зрения	2	16
8	в этом	17	15
9	может быть	18	14
10	таким образом	4	13
11	и т	6	12
12	именно как	4	12
13	в своем	4	11
14	не менее	13	11
15	как и	5	11
16	должно быть	2	11
17	в их	3	11
18	вовсе не	37	10
19	и ее	2	10
20	в настоящее	16	10
21	и их	3	10
22	то же	5	10
23	в ней	2	10
24	а не	10	10
25	настоящее время	16	10
26	все это	4	9
27	в то	6	9
28	то что	38	8
29	т д	6	8
30	лишь в	3	8
31	и на	5	8
32	не в	2	8
33	и с	10	8
34	и от	3	7
35	не только	24	7
36	но и	16	7
37	на самом	4	7
38	отнюдь не	5	6
39	и все	5	6
40	и здесь	4	6
41	было бы	8	6
42	как таковой	4	6
43	в том	12	6
44	в этой	9	6
45	более или	4	6
46	самом деле	4	6
47	до сих	4	6
48	она не	3	6
49	еще не	10	6
50	как бы	4	6
51	сих пор	4	6
52	в целом	3	6
53	или менее	4	6
54	входит в	2	6
55	а в	4	6
56	все эти	7	6
57	хотя бы	12	5
58	по себе	8	5
59	у нас	18	5
60	при этом	3	5
61	только на	9	5
62	и др	2	5
63	в понимании	2	5
64	во всех	2	5
65	в самом	5	5
66	как мы	5	5
67	и свою	2	5
68	того что	12	5
69	с другой	6	5
70	но в	6	5
71	независимо от	2	4
72	в частности	5	4
73	стороны и	4	4
74	с другими	5	4
75	и к	3	4
76	для этого	3	4
77	учение о	2	4
78	одной стороны	5	4
79	если бы	4	4
80	конечно не	2	4
81	всяком случае	10	4
82	оно не	3	4
83	при таком	2	4
84	быть и	2	4
85	так же	5	4
86	в связи	5	4
87	что в	11	4
88	с одной	5	4
89	только и	3	4
90	как на	2	4
91	во всяком	13	4
92	в истории	3	4
93	как о	3	4
94	но не	4	3
95	в отношении	4	3
96	всех этих	4	3
97	связи с	5	3
98	она должна	2	3
99	перестает быть	3	3
100	в них	2	3
101	то ни	3	3
102	бы то	2	3
103	ясно что	8	3
104	или иного	5	3
105	что он	4	3
106	к тому	3	3
107	это и	3	3
108	и всякое	2	3
109	и как	4	3
110	но это	6	3
111	зависимости от	2	3
112	в общем	4	3
113	не о	6	3
114	он не	2	3
115	один из	3	3
116	все же	8	3
117	значение в	4	3
118	отличается от	2	3
119	значение и	8	3
120	не было	3	3
121	сводится к	2	3
122	мы не	7	3
123	тем самым	7	3
124	и наконец	3	3
125	и даже	11	3
126	его в	3	3
127	ничем не	2	3
128	в основе	3	3
129	в себе	5	3
130	человек не	2	3
131	здесь не	2	3
132	бы в	3	3
133	в области	6	3
134	того или	7	2
135	сама по	4	2
136	и более	5	2
137	с тем	3	2
138	в нашем	3	2
139	в зависимости	2	2
140	каждый элемент	2	2
141	сами по	2	2
142	и особенно	2	2
143	с этим	5	2
144	и слишком	2	2
145	в системе	2	2
146	вопрос о	3	2
147	на всю	2	2
148	не можем	4	2
149	мы ни	2	2
150	а только	6	2
151	но эта	3	2
152	ни в	6	2
153	нас не	3	2
154	уже не	8	2
155	войти в	2	2
156	от чего	2	2
157	но все	2	2
158	тот или	5	2
159	и всякий	3	2
160	одна из	3	2
161	если мы	9	2
162	только в	14	2
163	только как	3	2
164	в действительности	2	2
165	и если	3	2
166	от друга	2	2
167	как раз	8	2
168	и является	3	2
169	в него	2	2
170	только не	3	2
171	еще в	2	2
172	нет и	3	2
173	настоящего времени	2	2
174	что и	2	2
175	не есть	33	2
176	друг от	2	2
177	на него	2	2
178	вместе с	2	2
179	значения и	11	2
180	для всякого	2	2
181	эта связь	2	2
182	всем этим	3	2
183	гуманитарных наук	3	2
184	от всякой	2	2
185	чтобы не	2	2
186	и что	13	2
187	раз и	5	2
188	в науке	3	2
189	не так	2	2
190	как такового	2	2
191	или иначе	6	2
192	в результате	4	2
193	и самый	4	2
194	даже и	18	2
195	в своих	3	2
196	является для	2	2
197	ничего не	10	2
198	но ведь	3	2
199	если же	3	2
200	и это	5	2
201	входящих в	2	2
202	что такое	18	2
