N	2gram	Nazirov_Tv_2	Dialekti
1	и не	9	30
2	и есть	2	19
3	а не	6	18
4	может быть	8	17
5	и т	13	17
6	ничего не	4	17
7	то что	3	16
8	и в	20	15
9	т д	11	15
10	как бы	11	14
11	так как	3	14
12	это не	7	12
13	прежде всего	8	11
14	в том	8	11
15	не может	7	11
16	говорить о	2	11
17	в этом	8	11
18	в основе	2	10
19	потому что	7	10
20	том что	4	10
21	все это	6	9
22	мы не	4	9
23	и что	2	9
24	то же	7	9
25	уже не	3	9
26	не в	4	8
27	в себе	3	8
28	не только	13	8
29	в чем	4	8
30	и ее	2	8
31	и это	3	8
32	что в	7	7
33	крайней мере	2	7
34	и мы	3	7
35	по крайней	2	7
36	что он	6	7
37	как и	6	7
38	и его	9	7
39	и вообще	2	7
40	только в	2	7
41	так что	2	6
42	же время	7	6
43	хотя и	4	6
44	и даже	5	6
45	вовсе не	2	6
46	если бы	4	6
47	в то	10	6
48	нет ничего	3	6
49	я не	2	5
50	так и	6	5
51	но если	2	5
52	в нем	3	5
53	что она	4	5
54	в свете	3	5
55	таким образом	10	5
56	именно в	6	5
57	и на	5	5
58	о том	5	5
59	личности в	2	5
60	что я	2	5
61	но это	5	4
62	в этой	5	4
63	что они	4	4
64	один из	3	4
65	но и	8	4
66	так же	5	4
67	с ними	2	4
68	и с	8	4
69	в одном	2	4
70	отнюдь не	4	4
71	мы видим	4	4
72	еще не	5	4
73	в его	10	4
74	только для	2	3
75	тем самым	4	3
76	и если	2	3
77	к жизни	2	3
78	более не	2	3
79	в их	3	3
80	все эти	4	3
81	и наконец	2	3
82	известно что	2	3
83	в истории	2	3
84	с ним	3	3
85	но в	4	3
86	к этому	3	3
87	об этом	4	3
88	у нас	2	3
89	в своей	6	3
90	и потому	4	3
91	при помощи	2	3
92	когда он	4	3
93	как в	4	3
94	что не	3	3
95	д и	2	3
96	в виде	2	3
97	могут быть	2	3
98	едва ли	2	3
99	не менее	2	2
100	в частности	2	2
101	и без	2	2
102	с этой	3	2
103	ночь у	2	2
104	человека и	3	2
105	представление о	7	2
106	показывает что	4	2
107	что на	2	2
108	как о	2	2
109	в пользу	3	2
110	при этом	8	2
111	в самом	3	2
112	никогда не	11	2
113	в котором	3	2
114	у достоевского	30	2
115	из них	2	2
116	другой стороны	2	2
117	и только	2	2
118	не было	2	2
119	и по	2	2
120	идеи в	2	2
121	он всегда	2	2
122	тоже не	2	2
123	не мешает	2	2
124	в ее	2	2
125	все же	5	2
126	одной из	3	2
127	видим в	2	2
128	в этот	2	2
129	нет и	2	2
130	себя в	2	2
131	вместе с	3	2
132	и тогда	2	2
133	бы не	2	2
134	что этот	2	2
135	во всяком	2	2
136	тем что	3	2
137	познания и	2	2
138	это все	2	2
139	в которой	2	2
140	отличие от	2	2
141	не могли	2	2
