N	2gram	Propp_Russ_1	Hudozhes
1	том что	19	16
2	и в	36	14
3	так и	7	13
4	а не	2	12
5	в том	17	12
6	не только	22	12
7	при этом	6	12
8	о том	8	12
9	и т	10	11
10	в этом	12	11
11	а п	2	10
12	у него	2	9
13	как и	10	9
14	в качестве	3	9
15	то же	3	9
16	как в	5	8
17	то что	6	8
18	между тем	7	8
19	в его	2	8
20	ничего не	3	8
21	это не	10	7
22	к тому	4	7
23	уже не	6	7
24	еще не	4	7
25	своего рода	3	7
26	как бы	5	7
27	не может	4	7
28	а в	9	7
29	не случайно	2	7
30	тогда как	2	7
31	что в	19	6
32	как правило	3	6
33	не менее	3	5
34	к жизни	3	5
35	в частности	2	5
36	в этих	3	5
37	интерес к	2	5
38	об этом	9	5
39	может быть	8	5
40	только в	4	5
41	и а	4	5
42	но и	16	5
43	потому что	10	5
44	точки зрения	3	5
45	но в	2	5
46	и н	2	4
47	связи с	4	4
48	тому что	4	4
49	в своем	3	4
50	т е	17	4
51	к другому	2	4
52	та же	2	4
53	и к	3	4
54	тем не	3	4
55	она не	2	4
56	несмотря на	3	4
57	в ней	2	4
58	один из	8	4
59	что она	2	4
60	из них	8	4
61	xix в	13	4
62	не было	2	4
63	того что	4	4
64	как будто	5	4
65	на святках	11	4
66	с ним	2	4
67	и с	2	4
68	но не	2	3
69	отнюдь не	2	3
70	что у	2	3
71	с этим	2	3
72	как мы	10	3
73	на этом	3	3
74	на тех	2	3
75	еще в	4	3
76	в нем	2	3
77	все же	5	3
78	приводит к	3	3
79	в связи	4	3
80	т д	9	3
81	и для	2	3
82	все эти	2	3
83	она в	3	3
84	с точки	3	3
85	и по	8	3
86	в своих	2	3
87	тем что	4	3
88	такой же	2	3
89	и на	10	3
90	в равной	2	3
91	будто бы	6	3
92	а также	3	3
93	если в	3	2
94	себя и	2	2
95	так в	4	2
96	и м	14	2
97	не означает	2	2
98	и потому	2	2
99	что на	4	2
100	состоит в	8	2
101	так что	2	2
102	одна из	4	2
103	и что	4	2
104	в целом	2	2
105	до конца	2	2
106	например в	2	2
107	только на	3	2
108	хотя и	2	2
109	н а	5	2
110	только для	2	2
111	как он	2	2
112	в е	2	2
113	как по	2	2
114	в их	4	2
115	все это	6	2
116	также в	3	2
117	а и	5	2
118	а а	25	2
119	а с	4	2
120	и не	6	2
121	на самом	2	2
122	там же	5	2
123	не имеет	6	2
124	в это	3	2
125	с ними	5	2
126	в первый	4	2
127	видно что	6	2
128	слова в	3	2
129	представляют собой	7	2
130	говорится о	2	2
131	и поэтому	2	2
132	мы не	6	2
