N	2gram	Trubetskoy_1	SlovoVZh
1	не может	22	16
2	точки зрения	11	14
3	может быть	9	14
4	как бы	4	13
5	таким образом	11	12
6	и в	14	12
7	по отношению	2	11
8	и не	19	10
9	если бы	6	9
10	так как	4	9
11	прежде всего	8	8
12	для нас	2	7
13	в нем	5	6
14	при этом	5	6
15	в том	17	6
16	только в	5	6
17	в ней	2	6
18	то что	13	5
19	должна быть	2	5
20	никогда не	5	5
21	а не	2	5
22	то же	11	5
23	хотя бы	5	5
24	как и	4	5
25	том что	9	5
26	отнюдь не	7	5
27	но в	2	5
28	и к	6	4
29	все же	4	4
30	жизни и	4	4
31	от того	4	4
32	на самом	6	4
33	уже не	2	4
34	не в	4	4
35	в этом	17	4
36	и на	5	4
37	его в	4	4
38	в самом	3	4
39	к нему	2	4
40	и является	2	4
41	не только	9	4
42	в котором	2	3
43	отношении к	2	3
44	и более	2	3
45	бы то	4	3
46	не к	2	3
47	в своей	5	3
48	в некоторых	2	3
49	быть и	2	3
50	сих пор	5	3
51	все это	6	3
52	то ни	4	3
53	и по	3	3
54	все эти	2	3
55	ясно что	2	3
56	по себе	2	3
57	но и	10	3
58	того что	3	3
59	и наконец	2	3
60	ни в	2	3
61	да и	3	3
62	он должен	5	3
63	так же	2	3
64	самом деле	7	3
65	и с	7	3
66	о том	7	3
67	в себе	9	3
68	для него	6	3
69	до сих	5	3
70	еще не	3	3
71	только на	2	3
72	и для	6	3
73	конечно не	5	3
74	из этого	3	3
75	с ним	2	3
76	но для	2	3
77	между тем	5	3
78	место в	2	2
79	зависит от	2	2
80	но мы	3	2
81	что и	3	2
82	в настоящее	2	2
83	что в	4	2
84	данном случае	3	2
85	вместе с	4	2
86	себя и	5	2
87	в этих	2	2
88	от этой	2	2
89	все они	3	2
90	между собой	5	2
91	в своем	6	2
92	точку зрения	4	2
93	тогда когда	4	2
94	и что	2	2
95	ко всем	3	2
96	не есть	3	2
97	не так	2	2
98	с точки	9	2
99	как на	8	2
100	и те	2	2
101	но это	2	2
102	в данном	7	2
103	в корне	4	2
104	и то	4	2
105	мы можем	2	2
106	но не	4	2
107	она не	2	2
108	в то	10	2
109	настоящее время	2	2
110	на это	2	2
111	если же	2	2
112	он не	5	2
113	в его	4	2
114	и потому	3	2
