N	2gram	Bakhtin_Fr_3	Morfolog
1	может быть	9	52
2	таким образом	10	20
3	не может	3	17
4	в этих	6	16
5	с этим	2	14
6	и в	40	13
7	в этом	15	13
8	и др	7	12
9	так как	4	12
10	мы видим	5	11
11	связи с	6	11
12	прежде всего	16	9
13	так и	3	9
14	в связи	5	9
15	то же	7	9
16	и не	13	9
17	а не	5	9
18	с другой	2	8
19	что и	3	8
20	все же	2	7
21	или же	2	7
22	это не	2	6
23	и здесь	4	6
24	в том	8	6
25	но не	2	6
26	а также	4	6
27	в форме	2	6
28	а в	3	6
29	во время	8	6
30	не менее	2	5
31	и другие	2	5
32	мы увидим	2	5
33	во всех	6	5
34	далеко не	2	5
35	как бы	3	5
36	один из	4	5
37	то что	5	5
38	потому что	2	5
39	мы не	2	5
40	что в	12	4
41	и как	3	4
42	вовсе не	12	4
43	очень часто	2	4
44	об этом	3	4
45	отношению к	2	4
46	было бы	4	4
47	на его	2	4
48	не только	13	4
49	как в	3	4
50	как мы	10	4
51	по отношению	3	4
52	как и	11	4
53	там где	3	4
54	тем что	3	4
55	точки зрения	2	4
56	видно что	4	4
57	на этом	2	4
58	также и	4	4
59	в других	3	4
60	связана с	2	3
61	если бы	3	3
62	в нашем	4	3
63	в начале	3	3
64	в последнем	2	3
65	том что	4	3
66	но все	3	3
67	но это	3	3
68	в целом	2	3
69	кроме того	3	3
70	того чтобы	4	3
71	в сущности	9	3
72	он не	9	3
73	ни в	4	3
74	но и	11	3
75	для этой	3	3
76	на самом	3	3
77	самом деле	3	3
78	к нему	2	3
79	и для	5	3
80	из них	4	3
81	и ее	2	3
82	в то	6	3
83	в один	2	3
84	с того	2	3
85	но в	8	3
86	в частности	3	2
87	хотя бы	2	2
88	к этому	6	2
89	что он	2	2
90	можно сказать	2	2
91	и к	3	2
92	со смертью	2	2
93	только в	3	2
94	они и	2	2
95	есть и	2	2
96	смысле слова	4	2
97	момент в	2	2
98	для него	5	2
99	одной из	2	2
100	мы уже	13	2
101	в таких	3	2
102	ни одной	2	2
103	все эти	8	2
104	для того	3	2
105	тем же	2	2
106	и его	17	2
107	можно было	3	2
108	в другом	3	2
109	о том	4	2
110	здесь не	3	2
111	но здесь	2	2
112	одна из	3	2
113	сказать что	3	2
