N	2gram	Vinokur_St_1	Analitik
1	не только	18	22
2	и в	44	18
3	как и	9	14
4	так и	9	14
5	в этом	21	14
6	но и	10	13
7	и его	8	13
8	в частности	4	12
9	том что	29	12
10	в качестве	4	12
11	и не	16	12
12	при этом	2	11
13	а в	17	10
14	как бы	4	10
15	то есть	2	10
16	может быть	15	9
17	со стороны	6	9
18	в тексте	12	9
19	что в	30	9
20	а не	16	9
21	в том	36	9
22	в первой	12	8
23	в повестях	6	8
24	своего рода	3	8
25	и даже	5	8
26	с другой	9	7
27	но не	3	7
28	в его	9	7
29	отношению к	3	7
30	во второй	9	7
31	как раз	4	7
32	по отношению	3	7
33	не в	12	6
34	в начале	3	6
35	для него	6	6
36	еще не	3	6
37	в этой	11	6
38	он не	2	6
39	текста в	5	6
40	о том	17	6
41	никогда не	5	5
42	не является	3	5
43	в случае	2	5
44	в конце	3	5
45	прежде всего	7	5
46	того же	3	5
47	такого рода	2	5
48	в самом	7	5
49	как правило	2	5
50	что и	6	5
51	другой стороны	7	5
52	в сущности	2	5
53	лишь в	3	5
54	той же	5	5
55	в слове	5	5
56	в результате	3	5
57	между тем	3	5
58	мы имеем	2	5
59	не менее	5	4
60	в своем	2	4
61	столь же	4	4
62	по крайней	2	4
63	что он	10	4
64	во втором	4	4
65	имеем дело	2	4
66	текста с	2	4
67	и сам	2	4
68	крайней мере	2	4
69	все же	8	4
70	внимание на	3	4
71	ли не	2	4
72	таким образом	7	4
73	тем самым	2	4
74	в данном	14	4
75	уже в	2	3
76	в каждом	3	3
77	однако и	2	3
78	и без	3	3
79	из этих	6	3
80	у пушкина	8	3
81	не всегда	2	3
82	самого пушкина	5	3
83	в ее	4	3
84	что они	7	3
85	было бы	17	3
86	же время	4	3
87	по поводу	7	3
88	первой строфе	2	3
89	если в	2	3
90	в целом	5	3
91	дело не	4	3
92	данном случае	6	3
93	как в	13	3
94	все это	5	3
95	дело с	2	3
96	то же	5	3
97	не было	4	3
98	этом отношении	7	3
99	еще и	2	3
100	именно в	6	3
101	что не	3	3
102	по его	2	3
103	мы не	2	3
104	ничего не	2	3
105	с этим	3	3
106	точки зрения	11	3
107	что касается	3	3
108	говорить о	2	3
109	в то	9	3
110	его в	2	3
111	ответ на	3	3
112	как это	4	3
113	бы и	4	2
114	могут быть	5	2
115	все эти	5	2
116	поэтому в	3	2
117	это не	8	2
118	пушкина и	13	2
119	в нем	5	2
120	в тех	3	2
121	несмотря на	2	2
122	тем не	2	2
123	да и	3	2
124	говорит о	3	2
125	который не	2	2
126	вплоть до	5	2
127	то в	3	2
128	пушкина что	2	2
129	одной стороны	2	2
130	это и	4	2
131	со всеми	2	2
132	совершенно не	5	2
133	например в	8	2
134	в ней	3	2
135	об этом	3	2
136	и потому	2	2
137	а также	2	2
138	свое время	2	2
139	всяком случае	6	2
140	по своей	2	2
141	даже в	3	2
142	я с	2	2
143	к числу	2	2
144	гораздо более	4	2
145	то что	18	2
146	в первом	2	2
147	во всех	8	2
148	для пушкина	3	2
149	судя по	2	2
150	что она	4	2
151	не может	8	2
152	как к	3	2
153	не могла	2	2
154	пушкина а	3	2
155	отношения к	2	2
156	с одной	3	2
157	не для	2	2
158	но с	3	2
159	который как	2	2
160	о которой	3	2
161	в той	6	2
162	тем или	3	2
163	самом деле	11	2
164	более чем	2	2
165	с точки	8	2
166	и по	5	2
167	и для	3	2
168	сказать что	7	2
169	во всяком	6	2
170	тем что	5	2
171	мере в	2	2
172	что пушкин	8	2
173	в себе	2	2
174	что мы	5	2
175	только в	10	2
176	на эту	4	2
177	вопроса о	3	2
178	этого слова	2	2
179	и все	2	2
180	в свое	2	2
181	дело в	6	2
182	хотя в	2	2
183	там где	5	2
184	или иным	3	2
185	но в	10	2
186	в новом	4	2
