N	2gram	Ircho_Kome_2	Istorich
1	и в	26	26
2	так как	4	18
3	мы имеем	2	14
4	потому что	6	13
5	что в	9	12
6	таким образом	6	12
7	в том	11	12
8	и на	7	12
9	в этом	10	12
10	может быть	11	11
11	с другой	2	10
12	в образе	3	10
13	том что	9	10
14	и т	2	10
15	представления о	2	10
16	и не	14	10
17	не только	7	10
18	представление о	2	9
19	что он	5	9
20	еще не	6	9
21	но и	10	9
22	в нем	6	8
23	все же	4	8
24	вместе с	9	8
25	и это	2	8
26	с одной	2	7
27	мы можем	3	7
28	одной стороны	2	7
29	например в	3	7
30	и его	12	7
31	у него	4	7
32	о том	6	7
33	но в	3	7
34	в греции	2	6
35	то что	6	6
36	как в	3	6
37	так в	2	6
38	не может	3	6
39	и с	5	6
40	как он	3	6
41	мы не	2	6
42	за собой	2	5
43	как и	4	5
44	в ней	3	5
45	в его	4	5
46	то это	2	5
47	так и	12	5
48	то же	3	5
49	и что	2	5
50	как это	4	5
51	тем что	3	5
52	в то	6	5
53	только в	4	5
54	его в	4	5
55	с тем	5	4
56	это не	2	4
57	из этих	4	4
58	прежде всего	4	4
59	не всегда	2	4
60	с его	5	4
61	до сих	2	4
62	в это	2	4
63	как бы	2	4
64	что и	7	4
65	сих пор	2	4
66	после этого	2	4
67	как мы	4	4
68	в других	2	4
69	и ее	2	3
70	независимо от	5	3
71	и другие	2	3
72	если бы	9	3
73	в частности	4	3
74	в них	4	3
75	и от	4	3
76	в одном	2	3
77	к этому	5	3
78	вопрос о	3	3
79	в тех	3	3
80	так что	5	3
81	не в	2	3
82	к концу	3	3
83	в качестве	5	3
84	то время	3	3
85	наряду с	6	3
86	от того	2	3
87	еще в	4	3
88	один из	5	3
89	в своей	3	3
90	из этого	2	3
91	что она	2	3
92	со стороны	2	3
93	а в	3	3
94	из которых	3	3
95	время как	2	3
96	или в	3	3
97	же можно	2	3
98	этим объясняется	2	3
99	не было	3	3
100	как будто	4	3
101	того как	3	3
102	от этого	2	3
103	с этой	3	2
104	все время	2	2
105	о чем	3	2
106	однако в	2	2
107	в этих	4	2
108	с собой	2	2
109	в своем	6	2
110	что у	4	2
111	того же	3	2
112	в одной	2	2
113	с этим	5	2
114	после смерти	3	2
115	вовсе не	2	2
116	к тому	12	2
117	мы знаем	3	2
118	для нас	3	2
119	он был	2	2
120	по отношению	3	2
121	но все	3	2
122	в античной	2	2
123	одна из	2	2
124	но не	3	2
125	и хотя	2	2
126	после того	2	2
127	когда в	2	2
128	было бы	8	2
129	и сам	3	2
130	под названием	2	2
131	никто не	3	2
132	нет необходимости	2	2
133	что из	2	2
134	всяком случае	2	2
135	даже в	2	2
136	отношению к	3	2
137	не имеет	3	2
138	жизни и	3	2
139	ни в	5	2
140	мы найдем	3	2
141	целый ряд	2	2
142	все больше	2	2
143	он не	2	2
144	человека в	3	2
145	мы находим	2	2
146	в лице	2	2
147	в уже	2	2
148	можно было	4	2
149	в древней	4	2
150	с ними	2	2
151	во всяком	2	2
152	что касается	3	2
153	из его	2	2
154	по всему	3	2
155	в этой	3	2
156	которые в	2	2
157	что это	4	2
158	не вполне	2	2
159	же не	2	2
