N	3gram	Vinokur_Ku_2	Dialekti
1	и т д	14	19
2	с точки зрения	8	12
3	в том что	10	7
4	по себе не	2	5
5	само по себе	5	5
6	то же время	3	4
7	по крайней мере	6	4
8	в то же	3	4
9	можно было бы	9	4
10	на то что	2	4
11	с другой стороны	7	4
12	потому что он	2	3
13	только потому что	6	3
14	можно сказать что	2	3
15	в конце концов	3	3
16	не может быть	4	3
17	в этом смысле	5	3
18	точно так же	3	2
19	несмотря на то	2	2
20	и т п	24	2
21	в этом отношении	3	2
22	во всяком случае	5	2
23	на самом деле	2	2
24	то или иное	2	2
