N	2gram	Berdyaev_N_1	Literetu
1	и не	11	22
2	и в	16	16
3	в мире	3	16
4	не только	5	14
5	но и	3	14
6	в этом	7	14
7	а не	17	12
8	то что	4	12
9	может быть	7	12
10	в том	8	12
11	не в	6	10
12	такого рода	2	10
13	так и	2	9
14	в то	2	9
15	в жизни	5	8
16	том что	2	8
17	не может	16	8
18	в своей	3	7
19	себя в	2	7
20	с его	6	6
21	с другой	3	6
22	к тому	3	6
23	еще не	3	6
24	и т.п	2	6
25	в себе	2	6
26	о том	4	6
27	это не	4	5
28	в ее	3	5
29	как и	7	5
30	лишь в	6	5
31	вместе с	2	5
32	как в	3	5
33	а в	2	5
34	в основе	3	5
35	место в	2	4
36	но не	2	4
37	никогда не	6	4
38	по существу	2	4
39	одной стороны	2	4
40	и для	4	4
41	хотя и	2	4
42	в природе	2	4
43	жизни в	3	4
44	с одной	2	4
45	должно быть	4	4
46	как будто	2	4
47	ни к	2	3
48	все время	2	3
49	прежде всего	4	3
50	жизнью в	2	3
51	и к	5	3
52	с ее	5	3
53	жизни и	8	3
54	уже не	2	3
55	тому как	3	3
56	потому что	4	3
57	как это	2	3
58	но в	2	3
59	жизни не	3	2
60	что в	9	2
61	не менее	4	2
62	все они	2	2
63	быть может	4	2
64	жизни к	4	2
65	я не	2	2
66	вопрос о	3	2
67	в нем	5	2
68	во всех	3	2
69	том чтобы	2	2
70	к власти	3	2
71	к жизни	3	2
72	бытия в	2	2
73	так же	2	2
74	мировой войны	4	2
75	не означает	3	2
76	свободы и	2	2
77	того чтобы	2	2
78	другой стороны	2	2
79	и даже	2	2
80	жизни как	2	2
81	и на	2	2
82	и с	2	2
83	подобно тому	3	2
84	мира а	2	2
85	xix века	5	2
86	не знает	6	2
87	и потому	4	2
88	мира и	2	2
