N	3gram	Vygotskiy__6	Problema
1	в том что	19	9
2	то же самое	6	7
3	в связи с	2	7
4	и то что	2	7
5	в этом случае	2	5
6	с другой стороны	2	5
7	не может быть	2	5
8	в то время	6	4
9	то время как	5	4
10	потому что он	4	4
11	в том смысле	2	3
12	мы могли бы	9	3
13	можно было бы	5	3
14	в первую очередь	3	3
15	когда мы говорим	2	3
16	именно потому что	2	3
17	заключается в том	5	3
18	том смысле что	2	3
19	и тем самым	5	2
20	по сравнению с	14	2
21	с точки зрения	10	2
22	можно сказать что	6	2
23	как мы видели	4	2
24	только то что	2	2
25	до сих пор	3	2
26	заключается только в	2	2
