N	3gram	Savitsky_E_1	slovoVRo
1	то же время	14	12
2	в то же	15	12
3	той или иной	4	9
4	в той или	3	9
5	с точки зрения	16	8
6	в большинстве случаев	2	6
7	в отношении к	12	6
8	и в то	8	5
9	во всяком случае	3	5
10	с одной стороны	8	4
11	с другой стороны	2	4
12	но в то	2	4
13	в данном случае	2	3
14	так и в	2	3
15	хотя бы и	3	3
16	в свою очередь	2	2
17	и в этом	4	2
18	как бы ни	3	2
19	не только в	4	2
20	можно было бы	3	2
21	того или иного	4	2
22	в известной степени	3	2
23	в известном смысле	3	2
24	друг с другом	3	2
