N	2gram	Bakhtin_Pr_5	Russkaja
1	не может	18	22
2	и не	27	19
3	в том	5	17
4	в этом	14	17
5	и в	35	14
6	с другом	4	14
7	друг с	4	14
8	то что	10	13
9	самим собой	7	12
10	таким образом	7	11
11	то же	15	11
12	точки зрения	7	11
13	же время	10	10
14	но и	14	10
15	в то	11	10
16	том что	3	9
17	не только	10	9
18	в себе	5	9
19	с точки	2	9
20	может быть	14	9
21	во всяком	4	9
22	прежде всего	12	8
23	к тому	6	7
24	самом деле	10	7
25	мы должны	3	7
26	о том	2	7
27	и с	12	7
28	на самом	9	6
29	что он	24	6
30	и к	12	6
31	с тем	3	6
32	для него	14	6
33	всяком случае	4	6
34	все это	14	6
35	в своем	2	6
36	и для	8	6
37	себя и	8	5
38	хотя бы	2	5
39	вопрос о	2	5
40	и на	6	5
41	или иной	4	5
42	при этом	2	5
43	было бы	3	5
44	конечно не	2	5
45	в своей	4	5
46	он не	13	5
47	никогда не	4	5
48	в нем	16	5
49	во всех	3	5
50	а между	3	5
51	а в	7	5
52	потому что	8	5
53	только в	6	5
54	между тем	4	5
55	но не	6	4
56	что в	6	4
57	то ни	3	4
58	в мире	4	4
59	как и	18	4
60	ли это	2	4
61	как бы	31	4
62	себе и	7	4
63	все же	8	4
64	себя в	2	4
65	бы то	3	4
66	вместе с	2	4
67	что же	7	4
68	приводит к	2	4
69	тому чтобы	2	4
70	не в	10	4
71	можно было	2	4
72	и то	5	4
73	во всем	4	4
74	в его	21	4
75	которой он	3	4
76	и т.д	3	4
77	его в	4	4
78	так как	4	4
79	он сам	6	3
80	что это	4	3
81	в большинстве	2	3
82	в конце	5	3
83	что все	2	3
84	всех этих	2	3
85	да и	5	3
86	и как	2	3
87	в другом	12	3
88	то в	2	3
89	лишь в	7	3
90	что они	6	3
91	так чтобы	4	3
92	собой и	3	3
93	должно быть	3	3
94	ибо в	3	3
95	еще не	7	3
96	в самом	6	3
97	мы говорили	2	3
98	одной из	2	3
99	той или	4	3
100	и этот	2	3
101	для этого	2	3
102	что и	3	3
103	из них	3	3
104	что оно	2	3
105	сводится к	3	3
106	того что	3	3
107	и по	2	3
108	друг друга	2	3
109	или в	2	3
110	тем что	4	3
111	и во	3	3
112	в виде	7	3
113	говорить о	3	3
114	из этого	2	3
115	конце концов	3	3
116	и ни	2	3
117	а с	3	2
118	этого не	3	2
119	у него	4	2
120	друг другу	4	2
121	его и	3	2
122	бы его	3	2
123	и от	3	2
124	с этим	3	2
125	к себе	18	2
126	это в	2	2
127	по себе	4	2
128	ни в	2	2
129	уже не	3	2
130	так что	5	2
131	но это	6	2
132	от него	6	2
133	что с	2	2
134	но для	2	2
135	в ней	2	2
136	в котором	3	2
137	отношении к	7	2
138	для себя	7	2
139	благодаря этому	2	2
140	быть и	2	2
141	тому что	2	2
142	всем этим	2	2
143	по отношению	6	2
144	все эти	3	2
145	не просто	2	2
146	и вот	4	2
147	только на	4	2
148	и что	6	2
149	а не	4	2
150	и наконец	7	2
151	и даже	5	2
152	к нему	13	2
153	зависимость от	2	2
154	так же	7	2
155	на которой	2	2
156	их в	2	2
157	мы можем	2	2
158	не о	4	2
159	даже и	3	2
160	с самим	15	2
161	мы уже	8	2
162	в начале	3	2
163	во время	5	2
164	как будто	4	2
165	в этих	2	2
166	большинстве случаев	2	2
167	только с	3	2
168	с ним	7	2
169	себя как	3	2
170	но в	19	2
