N	2gram	Bakhtin_Pr_1	Otkroven
1	у него	5	22
2	у достоевского	16	19
3	и в	29	19
4	но и	14	13
5	и не	31	13
6	в этом	22	12
7	из подполья	10	11
8	а не	22	11
9	не в	7	11
10	человека в	4	11
11	может быть	24	11
12	не только	15	11
13	вопрос о	2	10
14	в нем	19	10
15	никогда не	3	9
16	не было	4	9
17	в человеке	3	9
18	в самой	6	9
19	потому что	8	9
20	прежде всего	7	9
21	достоевского он	2	7
22	но он	2	7
23	до конца	8	7
24	ивана карамазова	4	7
25	он не	5	7
26	в его	24	7
27	все это	6	6
28	как и	12	6
29	него в	2	5
30	то что	15	5
31	а в	7	5
32	записок из	2	5
33	достоевского и	7	5
34	отношение к	2	5
35	в том	8	5
36	для достоевского	5	5
37	для него	18	5
38	в этой	4	5
39	в самом	10	5
40	в россии	2	5
41	в творчестве	5	5
42	с его	9	4
43	т е	21	4
44	он сам	3	4
45	достоевского не	12	4
46	все в	3	4
47	и его	14	4
48	все эти	9	4
49	человек и	2	4
50	достоевский не	3	4
51	герои достоевского	3	4
52	не может	12	4
53	что в	8	4
54	в романах	7	4
55	к нему	6	3
56	достоевского в	12	3
57	не могут	6	3
58	человеческого духа	2	3
59	и есть	2	3
60	самого достоевского	6	3
61	романах достоевского	5	3
62	мысли и	5	3
63	это не	9	3
64	достоевского было	3	3
65	что он	8	3
66	хотя бы	2	3
67	в своих	3	3
68	еще не	5	3
69	подполья и	2	3
70	и от	2	3
71	могут быть	6	3
72	достоевский был	3	3
73	все что	3	3
74	и ее	2	3
75	в себе	7	3
76	было бы	5	3
77	с ним	5	3
78	как бы	19	3
79	о достоевском	7	2
80	уже в	3	2
81	с которой	2	2
82	все же	9	2
83	что и	4	2
84	не есть	2	2
85	он в	3	2
86	и для	4	2
87	в единстве	6	2
88	достоевского нет	3	2
89	в истории	2	2
90	так и	7	2
91	в своем	8	2
92	что же	4	2
93	как к	3	2
94	романов достоевского	8	2
95	произведений достоевского	6	2
96	творчество достоевского	5	2
97	по себе	8	2
98	и к	2	2
99	должно быть	4	2
100	в которой	2	2
101	достоевского к	4	2
102	том что	7	2
103	так что	2	2
104	достоевским и	2	2
105	и на	7	2
106	достоевского с	3	2
107	сказать что	3	2
108	и с	4	2
109	чем в	2	2
110	тем что	4	2
111	одно из	2	2
112	его героев	6	2
113	него не	2	2
114	и нет	2	2
115	на западе	2	2
116	ведь это	2	2
117	этого мира	6	2
118	достоевского но	6	2
119	его в	6	2
120	в своей	8	2
121	особенность достоевского	2	2
122	так как	6	2
123	и этим	3	2
124	и о	5	2
125	ничего не	5	2
126	но в	7	2
127	и потому	6	2
128	в уста	3	2
