N	3gram	Vygotskiy__1	Dialekti
1	с точки зрения	18	8
2	в том что	15	6
3	то же время	2	4
4	о том что	6	4
5	одно и то	2	4
6	и то же	2	4
7	с другой стороны	9	4
8	только тогда когда	2	4
9	в то время	5	3
10	в самом деле	2	3
11	сам по себе	3	3
12	в то же	2	3
13	можно сказать что	4	3
14	не может быть	5	3
15	то время как	4	3
16	с самого начала	8	2
17	и в частности	2	2
18	в данном случае	2	2
19	в зависимости от	2	2
20	то же самое	3	2
21	не в состоянии	2	2
22	ни в какой	2	2
23	до сих пор	4	2
24	во всяком случае	3	2
25	от того что	2	2
