N	3gram	Tiupa_Anal_3	DiskursI
1	в отличие от	2	12
2	в данном случае	3	6
3	в том что	7	6
4	то же время	3	5
5	как и в	4	5
6	в этом отношении	3	4
7	в то же	3	4
8	с одной стороны	2	4
9	по отношению к	7	4
10	той или иной	3	3
11	о том что	5	3
12	о блудном сыне	11	3
13	однако при этом	2	2
14	и того же	3	2
15	или из барышни-крестьянки	2	2
16	в повестях белкина	7	2
17	притчи о блудном	2	2
18	героем притчи о	2	2
19	ивана петровича белкина	8	2
20	в свое время	2	2
21	не более чем	2	2
22	дело в том	2	2
23	с точки зрения	2	2
24	и прежде всего	2	2
25	подобно тому как	2	2
26	я в мире	2	2
27	в сочетании с	3	2
28	в русской литературе	3	2
29	одного и того	3	2
