N	2gram	Bakhtin_fo_1	Myshleni
1	в этом	25	29
2	точки зрения	5	28
3	речи в	2	27
4	и в	50	26
5	не только	9	24
6	для себя	7	24
7	то что	6	24
8	таким образом	11	23
9	с точки	2	21
10	и речи	5	19
11	того чтобы	5	19
12	в том	9	18
13	и не	14	18
14	для того	5	18
15	том что	4	17
16	потому что	4	16
17	для других	4	15
18	как и	8	15
19	того что	2	14
20	так же	6	14
21	так как	6	14
22	как мы	14	14
23	с помощью	2	13
24	что в	5	12
25	вместе с	3	12
26	и его	16	12
27	в которой	2	11
28	но и	8	11
29	не может	6	11
30	слова и	2	10
31	в самом	8	9
32	по сравнению	2	9
33	что мы	2	9
34	в сущности	3	9
35	тем что	2	9
36	в себе	3	9
37	же как	2	8
38	то же	11	8
39	сказать что	3	8
40	сравнению с	2	8
41	ее в	2	8
42	той же	2	8
43	только в	4	8
44	самого начала	2	7
45	к тому	3	7
46	прежде всего	15	7
47	с самого	2	7
48	может быть	11	7
49	и к	2	7
50	мы не	3	7
51	и то	4	7
52	вопрос о	2	6
53	по отношению	3	6
54	именно в	3	6
55	мы должны	2	6
56	как бы	2	6
57	между собой	4	6
58	в ее	6	6
59	было бы	2	6
60	во всех	6	6
61	все эти	9	6
62	все же	6	6
63	связь между	2	6
64	а не	3	6
65	выражение в	2	6
66	как она	2	5
67	до конца	4	5
68	одной стороны	2	5
69	если бы	5	5
70	и следовательно	4	5
71	в виду	3	5
72	в целом	2	5
73	и их	8	5
74	с одной	3	5
75	и с	4	5
76	одно из	3	5
77	в начале	3	5
78	с тем	3	5
79	тогда когда	2	5
80	в качестве	3	5
81	отношению к	5	5
82	в процессе	4	5
83	если мы	2	5
84	и для	4	5
85	в данном	2	5
86	не могут	3	4
87	никогда не	2	4
88	в нашем	2	4
89	с другой	2	4
90	в конце	9	4
91	имеет место	3	4
92	в котором	4	4
93	друг друга	3	4
94	и во	7	4
95	в его	13	4
96	но в	10	4
97	стороны и	2	4
98	связи с	6	4
99	чем в	2	4
100	еще не	5	4
101	одной из	3	4
102	как в	6	4
103	в той	4	4
104	не в	5	4
105	друг другу	2	3
106	все это	4	3
107	это не	6	3
108	одно и	3	3
109	есть в	2	3
110	момент в	2	3
111	для него	2	3
112	в ней	4	3
113	и является	2	3
114	в основе	5	3
115	между ними	3	3
116	не является	2	3
117	этом отношении	3	3
118	только и	5	3
119	мы находим	2	3
120	в самой	2	3
121	во втором	2	3
122	и по	2	3
123	имеет в	2	3
124	он не	5	3
125	мы уже	11	3
126	с ним	2	3
127	к другому	2	3
128	по себе	2	3
129	есть не	3	3
130	об этом	2	3
131	в другую	2	3
132	во всем	2	3
133	в то	9	3
134	но не	5	3
135	до сих	3	3
136	в основном	5	3
137	и потому	3	3
138	в этот	2	3
139	нет и	2	3
140	что и	3	3
141	в своей	2	3
142	эти особенности	2	3
143	сих пор	3	3
144	так и	12	3
145	только на	3	3
146	как раз	13	3
147	мы видим	3	3
148	с другими	3	3
149	между двумя	6	3
150	в чем	2	3
151	уже в	2	2
152	себя и	3	2
153	в этих	3	2
154	его и	2	2
155	точку зрения	2	2
156	никто не	2	2
157	само собой	2	2
158	что все	2	2
159	то время	4	2
160	входит в	3	2
161	для нас	2	2
162	ни в	8	2
163	его от	2	2
164	мы и	4	2
165	в свою	2	2
166	или в	3	2
167	но для	2	2
168	один из	3	2
169	в нем	24	2
170	есть только	2	2
171	с ее	6	2
172	отношение к	2	2
173	значение в	5	2
174	в их	6	2
175	того и	2	2
176	отношения к	3	2
177	и других	3	2
178	время как	5	2
179	лишь в	6	2
180	по природе	2	2
181	не имеет	4	2
182	а в	3	2
183	самим собой	2	2
184	также и	2	2
185	в которых	2	2
186	в определенном	3	2
187	но он	2	2
188	его в	3	2
189	с этим	6	2
190	к этому	3	2
191	вовсе не	13	2
192	что было	3	2
193	значение и	3	2
194	но эта	3	2
195	раз в	4	2
196	со всеми	3	2
197	совершенно не	2	2
198	наряду с	5	2
199	мы говорили	3	2
200	только к	3	2
201	время в	6	2
202	том же	2	2
203	к ней	2	2
204	и до	5	2
205	и всей	2	2
206	к другу	2	2
207	оказывается что	2	2
208	во всей	3	2
209	в отношении	3	2
210	в отличие	2	2
211	что не	3	2
212	нас в	3	2
213	во всяком	3	2
214	могут быть	5	2
215	и ее	3	2
216	ту же	2	2
217	здесь как	2	2
218	отличие от	2	2
219	ничего не	9	2
220	с необходимостью	2	2
