N	3gram	Losev_Dial_2	StatiiOP
1	и т д	15	21
2	в том что	6	17
3	о том что	4	11
4	и т п	2	9
5	с точки зрения	8	8
6	до сих пор	2	7
7	в данном случае	2	6
8	с другой стороны	4	6
9	во всяком случае	2	6
10	в самом деле	3	5
11	не может быть	3	5
12	то же время	4	4
13	в то же	3	4
14	не только в	2	4
15	не значит что	3	3
16	это не значит	2	3
17	то или иное	4	3
18	т е в	3	2
19	в том смысле	4	2
20	в то время	3	2
21	т д и	2	2
22	вовсе не в	3	2
23	тем не менее	2	2
24	по крайней мере	9	2
25	может быть и	3	2
26	так или иначе	2	2
27	что в нем	2	2
