N	2gram	Vinokur_St_3	Komedia
1	и в	25	26
2	в г	12	17
3	и не	10	14
4	к тому	2	12
5	так и	5	12
6	и его	3	12
7	в том	20	11
8	может быть	19	11
9	но и	9	10
10	на протяжении	4	10
11	в этом	24	10
12	молодой человек	2	9
13	что в	19	9
14	том что	15	9
15	если бы	4	9
16	вместе с	2	9
17	было бы	7	8
18	и на	6	7
19	не только	12	7
20	во время	3	6
21	то что	12	6
22	еще не	2	6
23	потому что	5	6
24	и здесь	3	6
25	в то	7	6
26	о том	8	6
27	таким образом	10	6
28	с его	3	5
29	с тем	4	5
30	независимо от	5	5
31	в которой	4	5
32	к этому	3	5
33	что он	19	5
34	в качестве	4	5
35	один из	2	5
36	ни в	5	5
37	с этим	7	5
38	для того	2	5
39	так что	11	5
40	и с	4	5
41	действующих лиц	4	5
42	г и	12	5
43	место в	6	4
44	важно что	2	4
45	уже в	3	4
46	не менее	2	4
47	у него	9	4
48	в этих	11	4
49	тому что	3	4
50	в них	5	4
51	что у	2	4
52	прежде всего	10	4
53	из этих	6	4
54	как мы	2	4
55	как и	4	4
56	в целом	4	4
57	одной из	2	4
58	в его	12	4
59	все же	4	4
60	в самом	2	4
61	до нас	2	4
62	и для	4	4
63	в в	3	4
64	что для	3	4
65	точки зрения	7	4
66	в начале	4	4
67	только в	6	4
68	что это	16	4
69	так как	3	4
70	между тем	6	4
71	это слово	3	4
72	это было	8	4
73	с этой	3	3
74	в каждом	4	3
75	того времени	3	3
76	то время	4	3
77	что его	2	3
78	но все	2	3
79	связи с	3	3
80	но не	2	3
81	того же	2	3
82	во всех	2	3
83	же время	3	3
84	из которых	4	3
85	например в	4	3
86	в ней	4	3
87	в котором	5	3
88	речь идет	2	3
89	не имеет	2	3
90	в своей	4	3
91	в их	3	3
92	все это	8	3
93	в связи	3	3
94	той же	2	3
95	то же	5	3
96	ответ на	5	3
97	не было	4	3
98	как в	6	3
99	к нему	4	3
100	а в	6	3
101	или в	2	3
102	а у	2	3
103	тем что	19	3
104	не может	7	3
105	что касается	7	3
106	в этой	14	3
107	но в	5	3
108	в речах	5	2
109	все время	2	2
110	если в	2	2
111	в какой	3	2
112	с другой	5	2
113	это не	7	2
114	в одной	2	2
115	в конце	6	2
116	в духе	2	2
117	этом смысле	4	2
118	вовсе не	2	2
119	что именно	2	2
120	нет и	2	2
121	и к	4	2
122	с которым	3	2
123	об этом	5	2
124	он был	3	2
125	не в	6	2
126	из его	7	2
127	до сих	2	2
128	должна была	4	2
129	х годов	2	2
130	была не	2	2
131	одна из	2	2
132	на этом	3	2
133	что по	3	2
134	своего времени	2	2
135	одной стороны	3	2
136	в это	2	2
137	и если	3	2
138	от того	2	2
139	он не	5	2
140	что из	2	2
141	как бы	6	2
142	которые в	2	2
143	в уста	2	2
144	всяком случае	4	2
145	время как	4	2
146	не является	3	2
147	в развитии	2	2
148	и т	8	2
149	и это	5	2
150	отношение к	4	2
151	и за	2	2
152	сих пор	2	2
153	всего в	4	2
154	со стороны	3	2
155	т п	6	2
156	с одной	2	2
157	в течение	4	2
158	мы находим	2	2
159	и что	3	2
160	с самого	2	2
161	и у	2	2
162	мы не	2	2
163	во всяком	4	2
164	этой комедии	2	2
165	и во	2	2
166	одно из	2	2
167	и ее	2	2
168	на что	2	2
169	говорить о	3	2
170	на это	2	2
171	из этого	4	2
172	с которыми	2	2
173	мы имеем	5	2
174	в виду	2	2
