N	2gram	Bakhtin_fo_2	Problema
1	то есть	10	46
2	в его	8	43
3	и не	9	42
4	и в	46	38
5	не может	2	27
6	может быть	7	26
7	как бы	10	22
8	отнюдь не	4	19
9	и с	6	17
10	и его	12	16
11	в нем	5	15
12	в этом	22	15
13	и т	14	14
14	прежде всего	14	13
15	только в	11	13
16	т п	11	13
17	но не	5	12
18	во всех	11	11
19	и для	9	11
20	отношение к	3	10
21	в их	3	10
22	таким образом	3	10
23	в поэзии	2	9
24	но и	9	9
25	его в	6	9
26	не только	11	9
27	место в	4	8
28	в том	10	8
29	и как	3	8
30	и др	5	8
31	точки зрения	10	8
32	было бы	2	8
33	то что	7	8
34	что в	5	7
35	и становится	2	7
36	с другой	2	7
37	с помощью	3	7
38	не в	9	7
39	как и	8	7
40	еще не	6	7
41	как мы	6	7
42	в пределах	5	6
43	и наконец	6	6
44	а в	3	6
45	на основе	3	6
46	все же	6	6
47	с точки	8	6
48	там где	2	6
49	отношения к	4	6
50	то же	8	5
51	все они	3	5
52	в своем	5	5
53	это не	2	5
54	при этом	6	5
55	имеет место	3	5
56	никогда не	6	5
57	все эти	5	5
58	должно быть	5	5
59	рядом с	2	5
60	в основе	6	5
61	далеко не	2	5
62	с ним	4	5
63	в них	7	5
64	конечно не	4	5
65	и о	2	5
66	в большинстве	3	5
67	так и	7	5
68	и прежде	3	5
69	не на	3	5
70	большинстве случаев	3	5
71	а не	4	5
72	могут быть	2	5
73	в виду	3	4
74	в форме	3	4
75	и только	2	4
76	в то	5	4
77	о том	4	4
78	и потому	2	4
79	но в	10	4
80	перестает быть	2	4
81	как в	4	4
82	в романе	13	4
83	между ними	2	4
84	в данном	2	4
85	в себе	4	4
86	здесь не	2	4
87	мы будем	3	3
88	себя и	3	3
89	дано в	2	3
90	и художественного	3	3
91	и от	2	3
92	в дальнейшем	5	3
93	но это	2	3
94	же время	4	3
95	кроме того	3	3
96	хотя и	3	3
97	не является	3	3
98	точка зрения	3	3
99	все это	6	3
100	с одной	2	3
101	и даже	3	3
102	и на	7	3
103	также и	4	3
104	и должно	2	3
105	и все	6	3
106	но здесь	2	3
107	и к	2	3
108	как его	2	3
109	том что	4	3
110	говорить о	2	3
111	все что	2	3
112	со всеми	2	3
113	он не	5	3
114	значение имеет	2	3
115	нет и	3	3
116	в мире	4	3
117	значение для	2	3
118	не знает	2	3
119	слова и	3	3
120	и это	2	3
121	на этом	2	2
122	том как	3	2
123	и весь	2	2
124	человек в	2	2
125	и другие	3	2
126	и есть	2	2
127	в частности	5	2
128	в этих	3	2
129	что все	2	2
130	первый план	2	2
131	переходим к	3	2
132	или иной	2	2
133	можно сказать	2	2
134	смысле слова	2	2
135	и пр	2	2
136	и у	5	2
137	дело идет	2	2
138	в котором	4	2
139	в связи	8	2
140	в особенности	6	2
141	особенно в	2	2
142	не было	3	2
143	этом отношении	2	2
144	чем не	2	2
145	и других	2	2
146	в самой	2	2
147	здесь мы	3	2
148	лишь в	2	2
149	того что	3	2
150	мир в	4	2
151	самим собою	2	2
152	к себе	4	2
153	в истории	4	2
154	же самое	3	2
155	как это	2	2
156	мы имеем	2	2
157	оно было	2	2
158	и более	2	2
159	и во	6	2
160	к этому	3	2
161	вовсе не	13	2
162	на первый	3	2
163	что он	3	2
164	у нас	2	2
165	по существу	5	2
166	связи с	8	2
167	здесь в	6	2
168	она не	2	2
169	как явление	2	2
170	в корне	2	2
171	в некоторых	2	2
172	том же	4	2
173	что и	3	2
174	в двух	2	2
175	человека в	6	2
176	в себя	2	2
177	все стороны	2	2
178	того чтобы	8	2
179	для того	8	2
180	и он	4	2
181	тем что	3	2
182	в другом	3	2
183	не могли	3	2
