N	2gram	Nazirov_Tv_2	Narrotol
1	не только	13	31
2	но и	8	27
3	и не	9	23
4	при этом	8	19
5	может быть	8	15
6	в частности	2	14
7	как и	6	13
8	а не	6	13
9	а в	4	13
10	только в	2	12
11	в этом	8	12
12	и в	20	11
13	своего рода	3	10
14	и его	9	10
15	тогда как	3	10
16	то что	3	9
17	то есть	5	9
18	то же	7	8
19	в том	8	8
20	не может	7	8
21	уже не	3	8
22	в рассказе	3	8
23	если бы	4	7
24	у него	6	7
25	том что	4	7
26	но в	4	7
27	об этом	4	6
28	не в	4	6
29	и он	2	6
30	в самом	3	6
31	как бы	11	6
32	один из	3	6
33	тому же	2	6
34	в себе	3	6
35	в его	10	6
36	в этой	5	6
37	действующих лиц	2	5
38	в соответствии	4	5
39	точка зрения	2	5
40	в своей	6	5
41	так и	6	5
42	тем самым	4	5
43	и на	5	5
44	потому что	7	5
45	как правило	2	5
46	никогда не	11	4
47	а во	2	4
48	в литературе	2	4
49	что на	2	4
50	соответствии с	4	4
51	все же	5	4
52	для него	3	4
53	но не	5	4
54	же время	7	4
55	прежде всего	8	4
56	еще не	5	4
57	у нее	3	4
58	в нем	3	4
59	в мире	5	4
60	из них	2	4
61	как в	4	4
62	так в	2	4
63	в принципе	4	4
64	хотя и	4	4
65	в то	10	4
66	что у	4	4
67	о том	5	4
68	одна из	3	4
69	в одном	2	4
70	не менее	2	3
71	он сам	3	3
72	что в	7	3
73	это уже	2	3
74	это не	7	3
75	что он	6	3
76	сводится к	2	3
77	у нас	2	3
78	в начале	3	3
79	в целом	6	3
80	самом деле	2	3
81	как известно	2	3
82	может служить	2	3
83	он не	3	3
84	не является	3	3
85	отношению к	3	3
86	главного героя	3	3
87	по отношению	3	3
88	начиная с	2	3
89	не было	2	3
90	именно в	6	3
91	героя в	4	3
92	едва ли	2	3
93	мы не	4	3
94	их в	2	3
95	и с	8	3
96	и ее	2	3
97	в русской	2	3
98	между тем	3	3
99	зависит от	2	2
100	казалось бы	3	2
101	отнюдь не	4	2
102	его и	2	2
103	в конце	6	2
104	но зато	3	2
105	в романе	15	2
106	до сих	3	2
107	в первой	2	2
108	как у	3	2
109	у тургенева	2	2
110	по причине	2	2
111	всяком случае	2	2
112	к жизни	2	2
113	по сути	3	2
114	себя в	2	2
115	вместе с	3	2
116	героя и	2	2
117	сих пор	3	2
118	ли не	2	2
119	и тогда	2	2
120	другой стороны	2	2
121	жизни в	3	2
122	в отличие	2	2
123	и только	2	2
124	и через	3	2
125	если не	4	2
126	человека в	3	2
127	в году	16	2
128	что не	3	2
129	и даже	5	2
130	с другой	2	2
131	друг друга	2	2
132	особенно в	2	2
133	отличие от	2	2
134	роль в	2	2
135	в таком	3	2
136	ничего не	4	2
137	с ними	2	2
138	из нас	2	2
139	во всяком	2	2
140	и от	4	2
141	и еще	2	2
142	более не	2	2
143	х гг	2	2
144	так сказать	2	2
145	в чем	4	2
146	с ним	3	2
