N	2gram	Tiupa_Narr_1	Freidism
1	и не	20	23
2	не может	10	20
3	точки зрения	10	19
4	прежде всего	4	18
5	в этом	17	15
6	в его	9	15
7	может быть	25	13
8	и его	5	12
9	как и	7	11
10	как бы	4	11
11	то что	11	11
12	все эти	2	11
13	с точки	2	11
14	и потому	2	10
15	так и	9	10
16	как мы	3	10
17	самом деле	2	10
18	его в	2	10
19	но в	6	10
20	с его	6	9
21	и в	19	9
22	по отношению	7	9
23	что он	6	8
24	отношению к	6	8
25	еще не	7	8
26	он не	3	8
27	не только	32	8
28	то же	4	8
29	только в	4	8
30	и все	2	8
31	ни в	3	7
32	к нему	5	7
33	один из	3	7
34	отношение к	2	7
35	те же	4	7
36	сказать что	4	7
37	никогда не	3	6
38	точку зрения	4	6
39	и ее	2	6
40	для него	2	6
41	в ней	3	6
42	все те	4	6
43	совершенно не	2	6
44	хотя бы	4	6
45	и с	4	6
46	на протяжении	6	6
47	он сам	2	5
48	в свою	3	5
49	можно сказать	5	5
50	не в	14	5
51	в этой	5	5
52	в то	3	5
53	во внешнем	2	5
54	его жизни	2	5
55	что в	3	5
56	но и	23	5
57	в себя	6	5
58	а в	11	5
59	и на	3	5
60	могут быть	3	5
61	не менее	3	4
62	но не	5	4
63	и др	2	4
64	то ни	3	4
65	из этих	3	4
66	в пределах	2	4
67	в собственном	2	4
68	к тому	7	4
69	сводится к	3	4
70	же время	4	4
71	при этом	9	4
72	как раз	2	4
73	в основе	5	4
74	в нем	4	4
75	все же	7	4
76	данном случае	4	4
77	не было	2	4
78	между ними	2	4
79	уже не	5	4
80	и для	2	4
81	в таком	2	4
82	в данном	5	4
83	себя и	2	4
84	говорить о	2	4
85	конечном счете	2	3
86	во втором	4	3
87	от всех	2	3
88	на себя	3	3
89	к себе	5	3
90	в конечном	3	3
91	в себе	8	3
92	и как	5	3
93	она не	2	3
94	было бы	4	3
95	и тот	2	3
96	с ее	3	3
97	себя в	5	3
98	бы то	3	3
99	жизни и	3	3
100	когда он	3	3
101	на него	3	3
102	со стороны	9	3
103	приводит к	2	3
104	как в	7	3
105	свою очередь	3	3
106	и т.п	8	3
107	между двумя	5	3
108	мы имеем	2	3
109	у него	4	3
110	зрения на	2	3
111	таком случае	2	3
112	одна из	3	3
113	не является	8	3
114	уже в	3	2
115	или иное	2	2
116	зависит от	2	2
117	человека в	2	2
118	но все	4	2
119	что это	3	2
120	между собой	2	2
121	всей его	2	2
122	матери и	4	2
123	в какой	2	2
124	с другой	8	2
125	это не	2	2
126	оно не	2	2
127	только о	2	2
128	не отличается	2	2
129	тем не	3	2
130	в ее	3	2
131	да и	4	2
132	ни было	3	2
133	это и	3	2
134	том что	14	2
135	в прошлом	3	2
136	не существует	3	2
137	а не	12	2
138	одной стороны	7	2
139	из них	3	2
140	что мы	2	2
141	о нем	4	2
142	в своем	2	2
143	матери или	2	2
144	и до	2	2
145	точка зрения	6	2
146	во второй	2	2
147	во всей	2	2
148	отличается от	4	2
149	отношения к	2	2
150	а с	3	2
151	этом отношении	3	2
152	с одной	7	2
153	в отличие	5	2
154	и даже	3	2
155	так же	2	2
156	отличие от	5	2
157	роль в	2	2
158	то или	3	2
159	нуждается в	5	2
160	может оказаться	2	2
161	они не	2	2
162	но как	2	2
163	все то	2	2
164	жизни но	2	2
165	в первом	3	2
166	когда мы	2	2
167	как это	6	2
168	в области	2	2
169	оно может	2	2
