N	2gram	Bakhtin_Fr_3	EvropaiC
1	таким образом	10	32
2	в том	8	31
3	и в	40	24
4	том что	4	20
5	все эти	8	19
6	не может	3	18
7	то что	5	17
8	может быть	9	15
9	все же	2	15
10	точки зрения	2	13
11	в своем	7	12
12	до сих	4	12
13	сих пор	4	12
14	самом деле	3	12
15	в этом	15	12
16	все это	4	11
17	между тем	3	11
18	с этим	2	11
19	отношению к	2	10
20	мы знаем	2	10
21	как бы	3	10
22	по отношению	3	10
23	все что	2	10
24	во всех	6	10
25	так и	3	10
26	культуры и	7	10
27	при этом	3	9
28	как и	11	9
29	того же	2	9
30	что в	12	9
31	в самом	6	8
32	если бы	3	8
33	и все	9	8
34	не менее	2	7
35	для этого	3	7
36	но и	11	7
37	и не	13	7
38	из этих	2	7
39	о том	4	7
40	что он	2	7
41	на самом	3	7
42	того чтобы	4	7
43	для того	3	7
44	из этого	2	7
45	с другой	2	6
46	в этой	3	6
47	и на	8	6
48	так как	4	6
49	еще не	3	6
50	что и	3	6
51	в мире	4	6
52	только в	3	6
53	вместе с	3	6
54	именно в	2	5
55	и от	3	5
56	у него	8	5
57	в целом	2	5
58	и с	8	5
59	потому что	2	5
60	но в	8	5
61	сравнению с	2	5
62	к этому	6	5
63	и к	3	5
64	из всех	4	5
65	в то	6	5
66	и если	2	5
67	в его	13	5
68	не только	13	5
69	по сравнению	2	5
70	и для	5	5
71	но все	3	5
72	лишь в	2	5
73	в себе	3	5
74	далеко не	2	5
75	в которой	2	5
76	в конце	3	4
77	в дальнейшем	2	4
78	это есть	2	4
79	одним из	2	4
80	отношение к	8	4
81	из них	4	4
82	в их	4	4
83	не так	3	4
84	всех этих	3	4
85	в состоянии	2	4
86	связи с	6	4
87	мы уже	13	4
88	том же	2	4
89	он не	9	4
90	то же	7	4
91	в течение	2	4
92	и у	2	4
93	хотя бы	2	4
94	в области	4	4
95	в нашем	4	3
96	в этих	6	3
97	эти элементы	2	3
98	не подлежит	3	3
99	с в	2	3
100	представление о	2	3
101	в нем	5	3
102	данном случае	2	3
103	в разных	2	3
104	и других	6	3
105	образом в	2	3
106	и наконец	3	3
107	а в	3	3
108	это не	2	3
109	сомнению что	2	3
110	в начале	3	3
111	в истории	4	3
112	и потому	4	3
113	в эти	2	3
114	прежде всего	16	3
115	у нас	4	3
116	во всем	3	3
117	как известно	2	3
118	конечно не	2	3
119	гораздо больше	2	3
120	даже в	4	3
121	должны быть	2	3
122	ко всем	3	3
123	в данном	4	3
124	в связи	5	3
125	и это	2	3
126	отличие от	3	3
127	в общей	2	2
128	в частности	3	2
129	как мы	10	2
130	для него	5	2
131	на этом	2	2
132	же время	6	2
133	и сам	2	2
134	он считает	2	2
135	к нему	2	2
136	ни для	4	2
137	в ней	4	2
138	в виду	7	2
139	в котором	2	2
140	мы видели	3	2
141	другими словами	3	2
142	и до	8	2
143	что для	2	2
144	те же	5	2
145	они не	3	2
146	для этой	3	2
147	и так	2	2
148	одно из	3	2
149	но как	2	2
150	не было	5	2
151	все то	2	2
152	в один	2	2
153	также и	4	2
154	то есть	18	2
155	в основе	5	2
156	в них	9	2
157	вовсе не	12	2
158	одна из	3	2
159	но не	2	2
160	на такой	2	2
161	было бы	4	2
162	жизни и	4	2
163	в сущности	9	2
164	в ту	7	2
165	одной и	2	2
166	ко всему	2	2
167	между ними	3	2
168	из этой	2	2
169	и ее	2	2
170	в другом	3	2
171	общества и	2	2
172	этого слова	2	2
173	в эту	4	2
