N	3gram	Losev_Vlad_3	Myshleni
1	в том что	10	31
2	с точки зрения	6	11
3	с одной стороны	3	9
4	в этом смысле	3	8
5	с другой стороны	2	8
6	в этом отношении	2	7
7	так же как	2	5
8	на первый план	2	4
9	на то что	2	4
10	и то что	4	4
11	в себе и	2	3
12	точно так же	4	3
13	о том что	8	3
14	в связи с	2	3
15	во всяком случае	3	3
16	вместе с тем	6	3
17	в данном случае	2	2
18	в вопросе о	2	2
19	одной стороны и	2	2
20	а с другой	2	2
21	только в том	3	2
22	в отличие от	3	2
23	и в отношении	3	2
24	как мы видели	3	2
25	содержит в себе	4	2
26	в настоящее время	3	2
27	это значит что	6	2
