N	2gram	Propp_Isto_6	RusskieA
1	и в	26	29
2	т е	22	24
3	что в	12	22
4	том что	10	22
5	в том	12	22
6	как бы	4	18
7	в других	4	15
8	и другие	3	14
9	может быть	11	13
10	так как	18	13
11	там же	3	12
12	как и	5	11
13	одна из	2	11
14	в этом	12	11
15	е в	2	10
16	и с	6	10
17	не только	10	10
18	о том	7	9
19	в некоторых	2	9
20	а в	3	9
21	показывает что	3	8
22	но и	9	8
23	ее в	6	8
24	сообщает что	2	8
25	его в	5	8
26	мы видели	11	7
27	данном случае	3	7
28	как в	6	7
29	или в	3	7
30	с тем	4	6
31	мы не	6	6
32	этом случае	6	6
33	еще не	9	6
34	для нас	2	6
35	вместе с	8	6
36	таким образом	12	6
37	при этом	3	6
38	и на	12	6
39	в данном	3	6
40	мы имеем	14	6
41	этот обряд	3	6
42	на земле	4	5
43	представление о	9	5
44	потому что	13	5
45	это не	4	5
46	к этому	3	5
47	то что	6	5
48	и что	5	5
49	но не	2	5
50	эти обряды	2	5
51	и т	10	5
52	не может	6	5
53	или же	2	5
54	т д	8	5
55	земли и	2	5
56	но в	7	5
57	видели что	3	4
58	о чем	2	4
59	в них	3	4
60	вопрос о	3	4
61	уже не	7	4
62	так что	3	4
63	не в	3	4
64	предположить что	3	4
65	же как	3	4
66	а также	4	4
67	или вообще	2	4
68	это представление	12	4
69	в фольклоре	2	4
70	так же	2	4
71	то и	2	4
72	то же	5	4
73	у нас	5	4
74	мы рассмотрим	3	4
75	а не	2	4
76	из земли	2	4
77	эти представления	5	4
78	в которых	2	4
79	их в	3	4
80	в виде	6	4
81	далеко не	3	4
82	как это	5	4
83	тем что	5	3
84	и там	6	3
85	в этих	2	3
86	в качестве	3	3
87	и других	3	3
88	и от	3	3
89	не всегда	4	3
90	главным образом	3	3
91	на первый	3	3
92	живет в	2	3
93	связаны с	5	3
94	она не	3	3
95	что здесь	3	3
96	и под	3	3
97	того что	2	3
98	было бы	2	3
99	нас к	5	3
100	что она	3	3
101	на землю	4	3
102	не имеет	2	3
103	не будем	2	3
104	связь с	11	3
105	а именно	9	3
106	и через	3	3
107	все эти	8	3
108	в народе	2	3
109	и по	4	3
110	как мы	4	3
111	но он	2	3
112	в этой	2	3
113	что это	2	3
114	в воде	5	3
115	в эту	2	3
116	с этой	2	2
117	могут быть	3	2
118	никогда не	13	2
119	с другой	10	2
120	представления о	10	2
121	из этих	4	2
122	в образе	10	2
123	если он	3	2
124	прежде всего	4	2
125	представлений о	7	2
126	что и	4	2
127	царство мертвых	4	2
128	кроме того	3	2
129	и как	2	2
130	приводит нас	2	2
131	у них	4	2
132	а через	2	2
133	чтобы они	2	2
134	то время	3	2
135	не имели	4	2
136	связано с	4	2
137	после того	2	2
138	смерти в	2	2
139	одной стороны	7	2
140	из этого	3	2
141	вокруг него	3	2
142	в него	3	2
143	еще в	3	2
144	наши наблюдения	2	2
145	силу и	2	2
146	один из	3	2
147	с обрядами	2	2
148	все же	8	2
149	в своей	3	2
150	после этого	4	2
151	в реках	2	2
152	в форме	2	2
153	что при	2	2
154	смерти и	2	2
155	мертвых и	3	2
156	тогда как	2	2
157	того как	3	2
158	а с	2	2
159	не было	3	2
160	должны были	2	2
161	с одной	7	2
162	ее к	3	2
163	там где	5	2
164	представлениями о	5	2
165	здесь мы	4	2
166	эта связь	6	2
167	обе стороны	2	2
168	ее на	2	2
169	приведенных материалах	2	2
170	из которых	3	2
171	можно было	2	2
172	после чего	6	2
173	так в	6	2
174	быть только	2	2
175	в своих	3	2
176	и то	3	2
177	людей и	2	2
178	в руки	2	2
179	с этим	2	2
180	и ее	3	2
181	под названием	2	2
182	что иное	2	2
183	в то	5	2
184	видно что	2	2
185	смерть и	2	2
186	в приведенных	5	2
187	представляет собой	2	2
188	когда мы	2	2
189	та же	3	2
