N	2gram	Tiupa_Narr_1	Problemy
1	и в	11	34
2	и не	23	29
3	как бы	6	27
4	что он	3	23
5	в его	6	22
6	может быть	15	19
7	в нем	4	19
8	не может	8	19
9	и все	3	19
10	как и	13	18
11	к себе	4	17
12	но в	7	16
13	и его	10	16
14	в этом	12	16
15	и с	3	15
16	прежде всего	4	15
17	он не	3	15
18	то же	8	14
19	к нему	4	14
20	самом деле	3	13
21	для него	4	13
22	но и	27	12
23	же время	4	12
24	потому что	5	12
25	в то	4	12
26	в сущности	2	11
27	то что	9	11
28	не только	31	10
29	не в	6	9
30	а не	13	9
31	героя и	2	9
32	никогда не	4	8
33	в самом	6	8
34	точки зрения	5	8
35	с ним	2	8
36	рассказа в	5	8
37	и для	2	8
38	слова в	4	7
39	что в	3	7
40	и даже	2	7
41	все же	4	7
42	как мы	2	7
43	что не	2	7
44	как будто	3	7
45	в пределах	2	6
46	что у	4	6
47	и на	5	6
48	с ними	2	6
49	с его	4	6
50	отношению к	3	6
51	так и	5	6
52	в себе	6	6
53	только в	12	6
54	он сам	3	5
55	это не	3	5
56	и от	2	5
57	в конце	2	5
58	к тому	6	5
59	того что	4	5
60	всяком случае	2	5
61	в целом	3	5
62	из них	4	5
63	по отношению	3	5
64	и вот	2	5
65	не мог	6	5
66	лишь в	3	5
67	а в	13	5
68	чужого слова	4	5
69	он и	2	5
70	в одном	4	5
71	на протяжении	7	5
72	героя в	3	5
73	хотя бы	2	5
74	в слове	3	5
75	во всяком	2	5
76	в чем	2	5
77	с другой	2	4
78	да и	2	4
79	у него	7	4
80	при этом	19	4
81	не о	2	4
82	но как	3	4
83	в начале	3	4
84	если бы	7	4
85	как раз	6	4
86	но не	4	4
87	еще не	4	4
88	как в	4	4
89	только на	2	4
90	все равно	2	4
91	в мире	4	4
92	я в	2	4
93	ничего не	2	4
94	вместе с	2	4
95	не менее	3	3
96	в том	8	3
97	до конца	2	3
98	но для	3	3
99	хотя и	4	3
100	с ее	2	3
101	жизни и	6	3
102	другой стороны	2	3
103	его и	2	3
104	вот я	2	3
105	их в	3	3
106	в ней	4	3
107	этого не	2	3
108	установкой на	2	3
109	по себе	4	3
110	героя из	2	3
111	том что	7	3
112	по своему	2	3
113	между тем	3	3
114	он уже	2	3
115	еще в	3	3
116	но зато	2	3
117	в своей	5	3
118	только что	2	3
119	если не	2	3
120	сводится к	3	3
121	и как	3	3
122	слов в	2	3
123	и то	3	3
124	это было	2	3
125	не было	3	2
126	это уже	3	2
127	о них	3	2
128	столь же	5	2
129	та же	2	2
130	или иной	4	2
131	она в	2	2
132	тем не	3	2
133	было и	2	2
134	обращает на	3	2
135	о своей	2	2
136	при всей	3	2
137	не является	3	2
138	один из	6	2
139	в форме	2	2
140	друг друга	2	2
141	в своем	3	2
142	и только	2	2
143	особенно в	2	2
144	каждый из	2	2
145	друг на	2	2
146	героя но	2	2
147	той или	5	2
148	на друга	2	2
149	о том	4	2
150	героя к	2	2
151	сказать что	2	2
152	как она	2	2
153	обращается к	3	2
154	отнюдь не	2	2
155	однако в	3	2
156	обращено к	2	2
157	в жизни	3	2
158	точек зрения	2	2
159	не слышит	2	2
160	и того	2	2
161	то в	4	2
162	но именно	3	2
163	раз в	2	2
164	о нем	3	2
165	своего рода	10	2
166	быть и	2	2
167	так в	4	2
168	в отличие	2	2
169	входит в	2	2
170	тому же	6	2
171	в той	2	2
172	уже не	8	2
173	к чему	3	2
174	и он	6	2
175	тому как	3	2
176	между двумя	5	2
177	подобно тому	3	2
178	и ее	3	2
179	так сказать	2	2
180	отличие от	2	2
181	о чем	4	2
