N	2gram	Berdyaev_V_1	Narrotol
1	не только	2	31
2	но и	5	27
3	и не	20	23
4	как и	4	13
5	а не	7	13
6	а в	2	13
7	только в	2	12
8	в этом	4	12
9	и в	16	11
10	то что	9	9
11	в том	3	8
12	уже не	2	8
13	том что	2	7
14	но в	3	7
15	к тому	3	6
16	не в	3	6
17	как бы	5	6
18	один из	2	6
19	жизни и	3	6
20	в его	4	6
21	в своей	3	5
22	так и	4	5
23	потому что	4	5
24	с его	3	4
25	никогда не	3	4
26	для него	2	4
27	но не	2	4
28	прежде всего	2	4
29	еще не	8	4
30	в ней	4	4
31	в нем	4	4
32	в мире	5	4
33	того что	5	4
34	того чтобы	2	4
35	хотя и	5	4
36	на себя	5	4
37	одна из	2	4
38	мира в	2	4
39	что в	3	3
40	это не	2	3
41	в жизни	3	3
42	что он	4	3
43	когда в	2	3
44	не было	3	3
45	лишь в	3	3
46	к чему	3	3
47	мы не	2	3
48	и то	2	3
49	их в	3	3
50	и все	4	3
51	между тем	2	3
52	для них	2	2
53	в этих	3	2
54	своей истории	2	2
55	его и	2	2
56	тот кто	2	2
57	в конце	3	2
58	да и	2	2
59	они и	2	2
60	все что	4	2
61	не имеет	3	2
62	в смысл	2	2
63	оно не	3	2
64	хотя бы	3	2
65	не будет	2	2
66	значения и	2	2
67	в форме	2	2
68	и тогда	2	2
69	если не	3	2
70	все равно	2	2
71	что не	4	2
72	и для	3	2
73	во всяком	2	2
74	что мы	4	2
75	от этих	2	2
76	в чем	3	2
77	с ним	2	2
