N	2gram	Ircho_Kome_2	Marksizm
1	точки зрения	4	34
2	может быть	11	26
3	и не	14	26
4	не может	3	24
5	и в	26	19
6	и его	12	19
7	таким образом	6	17
8	в этом	10	16
9	как бы	2	15
10	прежде всего	4	13
11	как мы	4	13
12	как и	4	12
13	так и	12	11
14	и для	4	11
15	связи с	3	11
16	в самом	4	10
17	в нем	6	10
18	ни было	2	10
19	только в	4	9
20	бы то	2	8
21	но и	10	8
22	то ни	2	8
23	друг друга	3	8
24	до сих	2	8
25	не только	7	8
26	все же	4	8
27	то что	6	8
28	сих пор	2	8
29	в каждом	3	7
30	в связи	3	7
31	но в	3	7
32	в ее	2	7
33	во всех	3	7
34	то же	3	7
35	в том	11	6
36	является не	2	6
37	и здесь	6	6
38	отнюдь не	2	6
39	того же	3	6
40	в его	4	6
41	мы не	2	6
42	с другой	2	5
43	в конце	2	5
44	мы знаем	3	5
45	не в	2	5
46	рядом с	2	5
47	в начале	4	5
48	и все	2	5
49	к этому	5	5
50	вовсе не	2	5
51	в отличие	2	5
52	того чтобы	6	5
53	хотя бы	2	5
54	во всяком	2	5
55	ясно что	8	5
56	отличие от	2	5
57	что в	9	4
58	не менее	4	4
59	вопрос о	3	4
60	с самого	2	4
61	в ней	3	4
62	не является	2	4
63	от того	2	4
64	а в	3	4
65	и на	7	4
66	тот же	2	4
67	с этим	5	4
68	еще не	6	4
69	было бы	8	4
70	нет и	2	4
71	как в	3	4
72	для того	5	4
73	место в	4	3
74	и есть	2	3
75	в какой	2	3
76	и от	4	3
77	здесь в	3	3
78	же время	3	3
79	в котором	3	3
80	из них	7	3
81	все это	3	3
82	по отношению	3	3
83	не было	3	3
84	не имеет	3	3
85	между тем	4	3
86	в то	6	3
87	его в	4	3
88	и к	2	3
89	том что	9	3
90	одной из	4	3
91	он не	2	3
92	в первом	2	3
93	в своей	3	3
94	в истории	5	3
95	целый ряд	2	3
96	на этот	4	3
97	но все	3	3
98	и ее	2	3
99	и это	2	3
100	в которой	5	3
101	том числе	3	2
102	независимо от	5	2
103	в частности	4	2
104	тому что	4	2
105	в своем	6	2
106	ни в	5	2
107	в действительности	2	2
108	одним из	2	2
109	для всех	3	2
110	но если	3	2
111	в виду	2	2
112	всяком случае	2	2
113	в нашем	2	2
114	жизни и	3	2
115	и их	3	2
116	всех остальных	2	2
117	эта ситуация	2	2
118	можно было	4	2
119	в философии	2	2
120	с этой	3	2
121	в одной	2	2
122	из этих	4	2
123	к его	2	2
124	о том	6	2
125	этом смысле	2	2
126	как он	3	2
127	так как	4	2
128	бы в	2	2
129	и с	5	2
130	от этого	2	2
131	если бы	9	2
132	в какой-то	2	2
133	до тех	3	2
134	нового времени	2	2
135	и во	2	2
136	что он	5	2
137	по которым	2	2
138	одна из	2	2
139	в качестве	5	2
140	тех пор	3	2
141	к тому	12	2
142	что и	7	2
143	отношению к	3	2
144	бы и	2	2
145	в двух	6	2
146	человека в	3	2
147	из которых	3	2
148	той же	3	2
149	или в	3	2
150	или иначе	3	2
151	мы можем	3	2
152	тем что	3	2
153	могла бы	3	2
154	из этого	2	2
