N	2gram	Losev_Prob_4	Poddanst
1	не только	24	17
2	и в	20	14
3	и не	28	12
4	в области	3	11
5	в отношении	4	10
6	в этом	9	10
7	то же	7	9
8	в том	20	9
9	в качестве	10	9
10	но в	8	9
11	хотя бы	7	8
12	в пределах	2	8
13	в то	4	7
14	только в	23	7
15	но и	14	6
16	в ней	7	6
17	в смысле	5	6
18	xix века	2	6
19	было бы	14	6
20	с другой	7	5
21	не в	13	5
22	и о	5	5
23	может быть	9	5
24	же в	4	4
25	в котором	2	4
26	то что	15	4
27	что в	3	4
28	если бы	8	4
29	в своем	3	4
30	не может	5	4
31	по себе	11	4
32	и к	3	4
33	а в	4	4
34	том что	12	4
35	на путях	2	4
36	мы должны	3	4
37	и если	5	4
38	а также	6	4
39	как бы	4	4
40	и потому	7	4
41	сами по	2	3
42	в нем	5	3
43	и т	4	3
44	с тем	4	3
45	в сравнении	2	3
46	и без	6	3
47	столь же	2	3
48	это не	7	3
49	прежде всего	11	3
50	заключается в	2	3
51	тем самым	4	3
52	для того	3	3
53	с точки	11	3
54	мы не	7	3
55	сравнении с	2	3
56	и как	3	3
57	с ними	2	3
58	но не	5	3
59	точки зрения	14	3
60	в себе	12	3
61	что мы	3	3
62	тот же	2	3
63	потому что	15	3
64	хотя и	5	3
65	не менее	10	2
66	и тем	7	2
67	не к	2	2
68	для них	2	2
69	именно в	7	2
70	и есть	4	2
71	во всех	4	2
72	в частности	2	2
73	не будем	2	2
74	отнюдь не	10	2
75	тем более	4	2
76	в них	5	2
77	есть нечто	9	2
78	все это	9	2
79	как раз	4	2
80	и весьма	2	2
81	с этим	4	2
82	в жизни	3	2
83	между прочим	3	2
84	еще более	2	2
85	стороны и	2	2
86	в значительной	2	2
87	а не	7	2
88	слова но	3	2
89	для нас	6	2
90	в ее	5	2
91	говорить о	2	2
92	есть не	6	2
93	есть в	7	2
94	которое в	2	2
95	в виде	22	2
96	не было	3	2
97	в начале	3	2
98	из них	3	2
99	и это	2	2
100	значительной мере	2	2
101	никак не	4	2
102	да и	5	2
103	в его	3	2
104	и с	7	2
