N	2gram	Bakhtin_sl_1	Mirosoze
1	и в	41	46
2	в нем	30	22
3	у него	3	22
4	может быть	14	21
5	в этом	12	20
6	никогда не	3	18
7	для него	3	18
8	и не	16	18
9	не только	16	18
10	но и	16	15
11	не может	14	15
12	как и	4	13
13	не есть	2	13
14	а не	15	13
15	прежде всего	8	12
16	друг друга	3	12
17	потому что	2	12
18	не было	3	11
19	в ней	4	11
20	но он	2	11
21	у нас	2	11
22	но в	8	10
23	он не	3	10
24	в себе	3	10
25	не в	7	9
26	переходит в	3	8
27	как бы	12	8
28	в своем	3	8
29	так как	3	8
30	отношение к	7	8
31	она не	3	8
32	связана с	2	7
33	и к	5	7
34	и потому	4	7
35	как в	8	7
36	хотя бы	3	7
37	и для	4	7
38	так же	2	6
39	жизнь в	2	6
40	того что	3	6
41	и здесь	3	6
42	и там	3	6
43	то же	14	5
44	бы и	3	5
45	в отношении	6	5
46	что все	2	5
47	в самом	5	5
48	один из	4	5
49	те же	2	5
50	это не	6	5
51	и все	4	5
52	в духе	2	5
53	к тому	3	5
54	по преимуществу	4	5
55	в своей	7	5
56	для того	2	5
57	и его	14	5
58	в его	13	5
59	тому что	2	4
60	до конца	12	4
61	также и	3	4
62	с его	4	4
63	в свою	3	4
64	том что	2	4
65	себя в	9	4
66	так и	11	4
67	уже не	2	4
68	у них	2	4
69	же как	2	3
70	и от	4	3
71	в каждом	4	3
72	на все	2	3
73	в том	3	3
74	лишь как	3	3
75	что они	2	3
76	смысле слова	2	3
77	и на	14	3
78	сказать что	2	3
79	и с	4	3
80	о том	3	3
81	его в	3	3
82	с ним	7	3
83	они были	2	3
84	в них	6	3
85	и во	3	3
86	с которым	2	3
87	до сих	2	3
88	на почве	4	3
89	сих пор	2	3
90	той же	2	3
91	он в	5	3
92	только в	6	3
93	отношении к	6	3
94	в этих	2	2
95	и мир	5	2
96	или иной	9	2
97	все время	3	2
98	так что	2	2
99	со своим	5	2
100	на его	8	2
101	такого рода	2	2
102	и той	2	2
103	хотя и	2	2
104	же и	2	2
105	к нему	5	2
106	от этой	2	2
107	как к	2	2
108	в разных	3	2
109	и других	3	2
110	лишь в	4	2
111	должно быть	2	2
112	а в	6	2
113	и те	2	2
114	в основе	5	2
115	точки зрения	16	2
116	между тем	2	2
117	на этом	2	2
118	и самое	2	2
119	бы его	2	2
120	интерес к	2	2
121	мы видим	2	2
122	то в	2	2
123	связи с	2	2
124	в сущности	13	2
125	во всех	17	2
126	оно не	6	2
127	быть и	4	2
128	момент его	3	2
129	в атмосфере	2	2
130	еще более	5	2
131	к своему	6	2
132	и эта	2	2
133	можно было	2	2
134	нас в	2	2
135	от этого	2	2
136	от его	3	2
137	которые в	3	2
138	и этим	3	2
139	в которой	4	2
140	ничего не	4	2
