N	2gram	Bakhtin_Fr_1	VeschiIm
1	не может	3	33
2	не только	10	31
3	может быть	6	29
4	и не	22	28
5	и в	65	26
6	то что	3	24
7	не просто	3	18
8	есть только	2	17
9	только в	7	14
10	того что	2	13
11	но и	10	12
12	сказать что	6	12
13	все же	6	12
14	в себя	3	12
15	уже не	3	10
16	в ней	6	10
17	как бы	22	10
18	потому что	5	10
19	что мы	2	10
20	в том	16	9
21	в самом	4	9
22	и с	3	9
23	прежде всего	11	9
24	что не	2	9
25	еще и	5	9
26	но это	3	8
27	в себе	3	8
28	и это	2	8
29	ничего не	3	8
30	совершенно не	4	7
31	в свете	2	7
32	его в	7	7
33	так как	6	7
34	том что	6	7
35	от всего	2	7
36	и их	3	7
37	как раз	3	7
38	и пр	5	7
39	в этом	15	7
40	что в	3	6
41	для него	5	6
42	жизни и	7	6
43	ни с	2	6
44	точки зрения	7	6
45	но в	14	6
46	с ним	3	6
47	быть только	2	6
48	в отношении	6	5
49	это не	3	5
50	не в	4	5
51	еще не	6	5
52	и до	4	5
53	ни на	2	5
54	в ее	3	5
55	но не	2	5
56	в сущности	16	5
57	и для	2	5
58	в чем	2	5
59	в своем	8	4
60	с другой	3	4
61	из них	4	4
62	в их	4	4
63	от того	2	4
64	и даже	8	4
65	о том	2	4
66	и все	5	4
67	как и	5	4
68	во всех	9	4
69	его на	2	4
70	и потому	10	4
71	нет и	2	4
72	этот вопрос	2	4
73	между ними	4	4
74	с точки	3	4
75	никогда не	6	3
76	отрыве от	3	3
77	можно сказать	2	3
78	к тому	2	3
79	несмотря на	2	3
80	и чисто	2	3
81	в нем	13	3
82	отношение к	4	3
83	все это	9	3
84	отношения к	2	3
85	можно только	4	3
86	их в	2	3
87	к себе	2	3
88	но как	3	3
89	не понимает	4	3
90	и ни	3	3
91	в чисто	2	3
92	перестает быть	3	3
93	даже и	3	3
94	в одном	5	3
95	в жизни	4	3
96	что он	3	3
97	явления как	2	3
98	мы видим	2	3
99	в отрыве	2	3
100	между прочим	2	3
101	в своей	5	3
102	так и	10	3
103	да и	2	3
104	только на	2	3
105	в той	5	3
106	самом деле	3	3
107	и вообще	3	3
108	в основе	8	3
109	понимания и	3	2
110	мы будем	3	2
111	это уже	4	2
112	в частности	5	2
113	на все	2	2
114	в самой	3	2
115	основе своей	2	2
116	но все	3	2
117	кроме того	2	2
118	знает и	2	2
119	мы уже	12	2
120	в виду	3	2
121	и вот	2	2
122	от всех	3	2
123	конечно и	3	2
124	в своих	5	2
125	в более	3	2
126	то есть	45	2
127	на него	2	2
128	ни к	2	2
129	поэтому и	4	2
130	жизни в	5	2
131	превращается в	5	2
132	и во	3	2
133	бы ни	2	2
134	а затем	2	2
135	на этой	3	2
136	наряду с	2	2
137	он не	2	2
138	как в	5	2
139	мысли и	4	2
140	приводит к	2	2
141	еще более	5	2
142	как мы	6	2
143	можно говорить	3	2
144	и его	10	2
145	говорили что	2	2
146	дело в	2	2
147	в особенности	2	2
148	это было	2	2
