N	2gram	Voloshinov_2	RusskieA
1	и в	19	36
2	не только	13	22
3	что в	2	19
4	том что	10	19
5	в том	7	17
6	но и	10	16
7	так как	3	15
8	в этом	15	12
9	это не	4	10
10	как мы	15	10
11	как и	9	10
12	вместе с	2	10
13	и на	5	10
14	а в	3	9
15	у нас	3	8
16	мы увидим	2	8
17	может быть	28	8
18	о том	3	8
19	что они	2	7
20	что и	3	7
21	так и	10	7
22	между тем	6	7
23	и не	19	6
24	при этом	9	6
25	таким образом	14	6
26	мы не	2	6
27	не имеет	3	6
28	в виде	2	6
29	то что	4	6
30	иногда и	3	5
31	все же	5	5
32	как бы	19	5
33	и у	2	5
34	с ними	4	5
35	тому что	4	4
36	к этому	5	4
37	в тех	2	4
38	к тому	6	4
39	одна из	7	4
40	еще не	3	4
41	связи с	13	4
42	во всех	6	4
43	и их	4	4
44	в их	5	4
45	не может	18	4
46	в связи	7	4
47	а с	2	4
48	того что	4	4
49	а иногда	3	4
50	тем что	2	4
51	только в	8	4
52	в русском	4	4
53	слова в	8	3
54	о чем	2	3
55	что это	2	3
56	в этих	3	3
57	в качестве	3	3
58	в своем	2	3
59	но они	2	3
60	так называемой	2	3
61	в свою	6	3
62	только на	4	3
63	в основном	4	3
64	не с	2	3
65	приводит к	2	3
66	то же	16	3
67	с точки	13	3
68	так же	5	3
69	ничего не	4	3
70	точки зрения	17	3
71	то есть	2	3
72	далеко не	2	3
73	этого слова	5	3
74	не было	3	2
75	и более	7	2
76	независимо от	2	2
77	могут быть	3	2
78	в нашем	2	2
79	его и	3	2
80	к другому	5	2
81	с этим	3	2
82	и потому	2	2
83	на все	2	2
84	значение и	2	2
85	его к	2	2
86	в различных	3	2
87	в нем	11	2
88	у него	2	2
89	в жизни	2	2
90	он был	2	2
91	нас не	2	2
92	и как	6	2
93	и непосредственно	2	2
94	свою очередь	5	2
95	но не	2	2
96	быть и	6	2
97	в большинстве	5	2
98	но что	2	2
99	до конца	2	2
100	отнюдь не	8	2
101	в ней	3	2
102	в его	5	2
103	и с	2	2
104	на этой	5	2
105	значения и	3	2
106	и до	3	2
107	не на	2	2
108	в особенности	2	2
109	все эти	3	2
110	в какой	3	2
111	на самом	7	2
112	а не	9	2
113	и пр	25	2
114	и для	7	2
115	или в	2	2
116	мы можем	6	2
117	и здесь	5	2
118	но в	7	2
119	там где	2	2
120	большинстве случаев	5	2
121	в более	2	2
122	иное как	2	2
