N	3gram	Bakhtin_Pr_1	Analitik
1	не может быть	11	16
2	в том что	3	9
3	в то же	3	8
4	в отличие от	5	6
5	то же время	3	6
6	той или иной	2	6
7	по отношению к	19	5
8	и не может	2	4
9	мы имеем дело	2	4
10	в конечном счете	4	4
11	с точки зрения	6	4
12	то ни было	2	3
13	бы то ни	3	3
14	с одной стороны	3	3
15	для того чтобы	2	3
16	того или иного	2	3
17	и т п	13	3
18	в данном случае	4	2
19	в самом деле	3	2
20	внешнее материальное произведение	2	2
21	в коем случае	2	2
22	в этом отношении	2	2
23	ни в коем	2	2
24	далеко не всегда	3	2
25	то же самое	2	2
26	не могут быть	2	2
27	в основе своей	3	2
28	но и в	2	2
29	коем случае не	2	2
30	с другой стороны	4	2
