N	3gram	Vinokur_Ku_3	Analitik
1	не может быть	3	16
2	в том что	8	9
3	в том чтобы	3	7
4	в отличие от	2	6
5	той или иной	5	6
6	по отношению к	2	5
7	к тому же	2	4
8	с точки зрения	16	4
9	в том числе	2	3
10	в той или	2	3
11	в таком случае	2	3
12	не в том	2	3
13	с одной стороны	4	3
14	лишь в том	2	3
15	для того чтобы	11	3
16	о том что	3	3
17	того или иного	3	3
18	и т п	41	3
19	в данном случае	4	2
20	в самом деле	11	2
21	в свое время	2	2
22	в первом случае	2	2
23	одного и того	2	2
24	не могут быть	2	2
25	и того же	2	2
26	с другой стороны	3	2
