N	2gram	Losev_Dial_4	Psycholo
1	то что	16	37
2	и в	15	30
3	в том	11	27
4	что в	7	24
5	и что	9	23
6	потому что	10	23
7	том что	10	21
8	для того	5	20
9	таким образом	5	20
10	того чтобы	5	20
11	как бы	14	19
12	что он	7	17
13	на то	5	17
14	если мы	5	16
15	и мы	7	16
16	не только	8	16
17	в самом	2	14
18	в этом	11	14
19	так же	4	13
20	как раз	4	13
21	в сущности	5	12
22	вместе с	2	12
23	если бы	6	11
24	может быть	17	11
25	что мы	7	11
26	о том	5	10
27	никогда не	2	9
28	для этого	2	9
29	и когда	2	9
30	не может	11	9
31	и то	3	9
32	сказать что	6	9
33	так как	14	9
34	с тем	4	8
35	что это	13	8
36	мы имеем	5	8
37	не в	8	8
38	а не	18	8
39	при этом	2	8
40	того что	13	8
41	заключается в	2	8
42	мы видим	4	8
43	могут быть	3	8
44	и это	8	8
45	по себе	13	7
46	в нем	5	7
47	и как	4	7
48	мы можем	3	7
49	все же	2	7
50	и т	17	7
51	то же	9	7
52	совершенно ясно	2	7
53	точки зрения	14	7
54	как это	2	7
55	в основе	10	7
56	ясно что	11	6
57	в своем	5	6
58	что она	5	6
59	именно в	5	6
60	как и	7	6
61	что если	3	6
62	что с	2	6
63	и если	3	6
64	совершенно не	3	6
65	и тем	6	6
66	и для	5	6
67	но и	4	6
68	что все	4	6
69	что оно	7	6
70	и не	30	6
71	жизни и	4	6
72	и его	7	6
73	или в	7	6
74	никак не	2	6
75	тем что	2	6
76	мы уже	3	6
77	как будто	2	6
78	на этом	3	6
79	только не	3	5
80	и есть	19	5
81	чувства и	2	5
82	что именно	7	5
83	и потому	3	5
84	в этой	4	5
85	что они	4	5
86	еще не	4	5
87	было бы	9	5
88	был бы	2	5
89	когда он	3	5
90	один из	4	5
91	художественное произведение	2	5
92	другой стороны	2	5
93	во внимание	2	5
94	в себе	8	5
95	но в	3	5
96	только в	7	5
97	бы в	4	5
98	как только	5	4
99	в результате	6	4
100	в частности	2	4
101	от него	3	4
102	показать как	2	4
103	сравнению с	2	4
104	и все	11	4
105	прежде всего	11	4
106	говорит о	3	4
107	у нас	3	4
108	есть не	5	4
109	в своей	3	4
110	от того	2	4
111	в ней	5	4
112	в его	4	4
113	в них	2	4
114	не есть	40	4
115	по сравнению	2	4
116	и именно	2	4
117	только что	2	4
118	из которых	3	4
119	что эта	2	4
120	не могли	2	4
121	в виду	9	4
122	не могут	2	3
123	и уже	4	3
124	при таком	2	3
125	хотя бы	4	3
126	это не	12	3
127	не как	4	3
128	из этих	2	3
129	к этому	3	3
130	чем больше	2	3
131	вовсе не	6	3
132	вопрос о	2	3
133	показывает что	2	3
134	что на	2	3
135	видим что	4	3
136	эти две	3	3
137	об этом	3	3
138	так что	6	3
139	это есть	13	3
140	эти два	2	3
141	что здесь	3	3
142	в свою	3	3
143	когда она	3	3
144	в ее	2	3
145	что и	6	3
146	ни в	8	3
147	так и	5	3
148	со стороны	3	3
149	как в	3	3
150	в их	3	3
151	есть нечто	2	3
152	и только	2	3
153	идет речь	4	3
154	т д	15	3
155	но только	5	3
156	и о	8	3
157	и наконец	3	3
158	той же	5	3
159	мы не	9	3
160	в силу	4	3
161	сам по	2	3
162	и на	5	3
163	в каком	5	3
164	в данном	3	3
165	мы нашли	2	3
166	мы должны	4	3
167	иметь в	2	3
168	в которой	2	3
169	с этой	2	2
170	перед нами	6	2
171	в отношении	2	2
172	такое понимание	2	2
173	с его	5	2
174	ни один	2	2
175	себя и	3	2
176	в противоположность	2	2
177	с этим	3	2
178	в одном	4	2
179	этом смысле	4	2
180	а как	2	2
181	есть то	5	2
182	видим в	2	2
183	не что	8	2
184	можно сказать	5	2
185	и можно	5	2
186	но все	2	2
187	и при	2	2
188	должна быть	7	2
189	не дает	2	2
190	это значит	8	2
191	что по	2	2
192	в нашей	2	2
193	и та	3	2
194	как вещь	2	2
195	два плана	2	2
196	и следовательно	3	2
197	той или	4	2
198	в качестве	2	2
199	мог бы	2	2
200	в котором	2	2
201	себе не	2	2
202	чувстве и	2	2
203	не имеем	2	2
204	себе и	2	2
205	но мы	2	2
206	с той	2	2
207	иное как	8	2
208	осуществляется в	2	2
209	из них	2	2
210	во всех	2	2
211	и той	3	2
212	быть и	3	2
213	отношения к	3	2
214	в словах	3	2
215	мы только	2	2
216	мы хотим	2	2
217	находится в	2	2
218	все это	9	2
219	что есть	2	2
220	того как	2	2
221	в течение	4	2
222	все равно	2	2
223	это и	9	2
224	одной и	3	2
225	в себя	5	2
226	мы находим	2	2
227	и вот	11	2
228	и другое	2	2
229	с точки	9	2
230	и даже	6	2
231	есть только	3	2
232	должно быть	2	2
233	отличие от	2	2
234	ничего не	17	2
235	от одного	2	2
236	и с	4	2
237	и так	2	2
238	само по	4	2
239	даже и	3	2
240	что иное	8	2
241	во всем	2	2
242	в то	6	2
243	что даже	2	2
244	все эти	3	2
245	и ни	2	2
246	едва ли	3	2
247	только о	3	2
248	это будет	3	2
249	нет ни	3	2
